,base_case
CH3 + OH <=> CH2OH + H,0.0
CH2OH + OH <=> CH2O + H2O,0.0
CH2OH + O2 <=> CH2O + HO2,0.0
CH2OH (+M) <=> CH2O + H (+M),0.0
CH3O + M <=> CH2OH + M,0.0
CH2CO + OH <=> CH2OH + CO,0.0
CH3OH + OH <=> CH2OH + H2O,0.0
CH3OH + OH <=> CH3O + H2O,0.0
CH3OH + H <=> CH2OH + H2,0.0
CH3OH + H <=> CH3O + H2,0.0
CH3OH + O <=> CH2OH + OH,0.0
CH3OH + HO2 <=> CH2OH + H2O2,0.0
CH3OH + O2 <=> CH2OH + HO2,0.0
CH3OH (+M) <=> CH3 + OH (+M),0.0
CH2CHO <=> CH2CO + H,0.0
CH2CHO + H <=> CH3 + HCO,0.0
CH2CHO + H <=> CH2CO + H2,0.0
CH2CHO + O <=> CH2O + HCO,0.0
CH2CHO + OH <=> CH2CO + H2O,0.0
CH2CHO + O2 <=> CH2O + CO + OH,0.0
CH2CHO + CH3 <=> C2H5 + CO + H,0.0
CH2CHO + HO2 <=> CH2O + HCO + OH,0.0
CH2CHO + HO2 <=> CH3CHO + O2,0.0
CH2CHO <=> CH3 + CO,0.0
CH3CHO <=> CH3 + HCO,0.0
CH3CO (+M) <=> CH3 + CO (+M),0.0
CH3CHO + OH <=> CH3CO + H2O,0.0
CH3CHO + OH <=> CH2CHO + H2O,0.0
CH3CHO + O <=> CH3CO + OH,0.0
CH3CHO + O <=> CH2CHO + OH,0.0
CH3CHO + H <=> CH3CO + H2,0.0
CH3CHO + H <=> CH2CHO + H2,0.0
CH3 + CH3CHO <=> CH3CO + CH4,0.0
CH3 + CH3CHO <=> CH2CHO + CH4,0.0
CH3CHO + HO2 <=> CH3CO + H2O2,0.0
CH3CHO + HO2 <=> CH2CHO + H2O2,0.0
CH3CHO + O2 <=> CH3CO + HO2,0.0
C2H5OH (+M) <=> CH2OH + CH3 (+M),0.0
C2H5OH (+M) <=> C2H4 + H2O (+M),0.0
C2H5OH + OH <=> CH2CH2OH + H2O,0.0
C2H5OH + OH <=> CH3CHOH + H2O,0.0
C2H5OH + OH <=> CH3CH2O + H2O,0.0
C2H5OH + H <=> CH2CH2OH + H2,0.0
C2H5OH + H <=> CH3CHOH + H2,0.0
C2H5OH + H <=> CH3CH2O + H2,0.0
C2H5OH + O <=> CH2CH2OH + OH,0.0
C2H5OH + O <=> CH3CHOH + OH,0.0
C2H5OH + O <=> CH3CH2O + OH,0.0
C2H5OH + CH3 <=> CH2CH2OH + CH4,0.0
C2H5OH + CH3 <=> CH3CHOH + CH4,0.0
C2H5OH + CH3 <=> CH3CH2O + CH4,0.0
C2H5OH + HO2 <=> CH3CHOH + H2O2,0.0
C2H5OH + HO2 <=> CH2CH2OH + H2O2,0.0
C2H5OH + HO2 <=> CH3CH2O + H2O2,0.0
C2H4 + OH <=> CH2CH2OH,0.0
C2H5 + HO2 <=> CH3CH2O + OH,0.0
