phi,phi Er,blend,T_in,T,U,P,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re,,
1.2005368311,0.0000000000,0.3000000000,294.5615702479,574.6822314050,0.4043472383,101325.0000000000,290545.6356073210,7158.4873537518,343.4109683860,10.1586456078,0.3725623960,20.0200466580,3.9599334443,20.0200565242,87.4024559068,10.0197173271,6.1273777038,0.4015908366,0.1094429285,0.5005014684,0.0000190162,850.5337588286,,
1.2011054653,0.0000000000,0.3000000000,295.4442148760,579.4212121212,0.4057283709,101325.0000000000,289087.4775374380,7156.5862859540,294.1919084859,10.1187543077,0.4915973378,20.0189719519,3.9914808652,20.0189819105,120.1650482529,10.0277987704,6.2297820300,0.4016091850,0.1513938436,0.5004748769,0.0000190162,853.4389349487,,
1.2505654135,0.0000000000,0.3000000000,294.6285123967,566.4768595041,0.3799998282,101325.0000000000,279152.0765391010,7149.0773257034,27.9081264559,10.0138731640,0.4524625624,20.0257671451,5.5435108153,20.0257865397,2733.1658901830,101.0736189032,7.2689755408,0.4021903750,0.1257434276,0.5006445772,0.0000191418,794.0749091060,,
1.2508817745,0.0000000000,0.3000000000,295.6020661157,572.9549586777,0.3813314728,101325.0000000000,282931.9500831950,7152.2589960122,27.3343976705,10.0130274661,1.5468552413,20.0241581433,5.3836772047,20.0241750339,2844.7674708819,101.1436501354,7.2891361065,0.4021670409,0.1669138103,0.5006046235,0.0000191418,796.8576093215,,
1.2995185603,0.0000000000,0.3000000000,295.9280991736,541.1347107438,0.3563985219,101325.0000000000,324161.6888917710,30597.3001310674,-0.6303465614,17.9614831786,2.3395248162,35.9233666688,3.0582199540,35.9237664920,8685.8226638686,768.7095634899,8.3287666231,1.0148133861,0.1728648892,0.8981932504,0.0000192631,740.0647282083,,
1.2997257378,0.0000000000,0.3000000000,294.8111570248,536.1353994490,0.3551827151,101325.0000000000,319229.1259267690,32244.6914038390,0.3499531517,18.5724774093,0.8735231658,37.1449862362,3.0928844961,37.1459986395,8670.7039236385,822.7061963658,8.3970573329,1.0744040033,0.0955294477,0.9286644437,0.0000192631,737.5400944518,,
1.3506726631,0.0000000000,0.3000000000,296.0210743802,517.0001377410,0.3305668853,101325.0000000000,310366.5789327650,65881.8622395184,-13.8184340841,27.0424680846,4.7177160226,53.8005200797,3.5385890933,53.7967761505,13103.7222813281,2679.0800252436,7.9197844920,1.9372301356,0.1792699867,1.3452933522,0.0000193883,681.9933750219,,
1.3510737991,0.0000000000,0.3000000000,295.0409090909,517.6997245179,0.3297208426,101325.0000000000,306143.6736585680,64485.8030202726,-12.1746426928,26.8908101150,1.1302719862,53.5577410253,3.2006475967,53.5611411932,12875.7022800985,2608.7928950659,7.9276685400,1.9235951491,0.0464669352,1.3389641658,0.0000193883,680.2479021684,,
1.3995639073,0.0000000000,0.3000000000,295.2280991736,508.0104683196,0.3057828619,101325.0000000000,268917.8001059800,78142.9760104644,-18.8862603112,31.6753336796,0.4656004748,62.4682420486,2.3240526432,62.4714715763,15053.7905479849,4211.2655835506,7.1677756114,2.3578580214,0.0116532643,1.5617060589,0.0000195064,627.0411777267,,
1.3998838267,0.0000000000,0.3000000000,296.1768595041,506.6318181818,0.3062762265,101325.0000000000,271443.7694616360,81125.8209898926,-20.3781973380,32.2197724616,0.5674944901,63.3655957279,2.2259595769,63.3686169228,14876.3345134563,4288.4148688504,6.9393426575,2.3634446018,0.1760851320,1.5849432491,0.0000195064,628.0528756332,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
