phi,phi Er,fuel,oxidizer,blend,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
0.844207555,0.004467454,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.3752087,451.1654702,0.218584564,102071.3232,-0.387425537,25.0319038,284669.3754,13957.25896,6176.367688,257.8173218,116.4610541,6.898088852,0.338967613,2.756647829,2.974515136,0.660938693,-0.120461897,0.275395966,2.310190575,0.353997226,1.90E-05,461.3515667
0.848866325,0.004517747,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.23,450.1562103,0.318982182,101724.686,-0.432316084,141.0771221,288224.6319,14374.406,6225.60447,265.9710969,115.0360105,7.056740731,0.261339385,2.825572346,6.082316575,0.636815456,-0.115657676,0.282180133,2.253160753,0.3622171,1.90E-05,672.6943222
0.848939565,0.004524404,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.18,449.0567514,0.315656733,101724.686,-0.475306016,141.0936558,288130.2442,14369.9504,6224.632986,265.9736511,115.7301243,7.061708005,0.251040325,2.82501178,8.181535727,0.770129439,-0.115743577,0.282214785,2.254427525,0.362641774,1.90E-05,665.6726589
0.897572689,0.004601452,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.4063742,459.1995861,0.228677644,102071.3232,-0.232465987,25.01826438,310780.6363,14579.3685,5990.793606,250.5014202,79.08693436,6.18150528,0.600750865,2.743256873,3.184574845,0.593539137,-0.124456614,0.273794952,1.358406266,0.345704215,1.91E-05,478.0980277
0.899079042,0.004713397,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,298.1940692,548.6305601,0.223356906,102071.3232,-0.214183572,134.792341,302388.2084,14047.38129,6094.849133,249.3403215,82.83351476,6.098511662,0.574762487,2.793115726,6.117221173,0.721494675,-0.100725836,0.269603404,1.490962605,0.341013788,1.91E-05,466.849521
0.900395628,0.004617099,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,295.6,458.2683521,0.33755166,101724.686,-0.30840234,138.6560413,324920.6595,15084.74414,5824.28893,249.0734302,73.38649032,6.238558713,0.520953509,2.776938271,4.584321783,0.615610456,-0.131171646,0.277347879,1.283125555,0.350196761,1.91E-05,705.3694906
0.945390252,0.004646379,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.6387974,473.2779517,0.240919822,102071.3232,1.527569437,25.06003381,304795.162,8174.356416,5450.974177,117.9254242,17.65085186,4.613980094,3.960074077,2.244818766,5.247627741,0.52814794,0.030185731,0.224313337,0.506748,0.280748583,1.93E-05,499.4679503
0.952058541,0.005022721,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.607429,473.207429,0.240061319,102071.3232,2.559340919,25.19457354,305535.2822,8197.660338,5384.475314,121.8412992,13.65507086,5.153088003,4.558608499,2.265852942,6.662390758,0.564225527,0.090377681,0.238524645,0.469743354,0.282390048,1.93E-05,497.1066604
0.996763145,0.004699217,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.3717138,475.1408209,0.254314918,102071.3232,31.39839793,40.15884071,305164.9311,8221.138597,4399.389173,116.1966826,4.690166148,4.581478297,3.373669259,2.25269349,7.00246003,0.516587467,1.200043687,0.226399574,0.342688163,0.281293424,1.95E-05,522.5295113
0.999111065,0.00510754,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,298.2481697,583.5586522,0.234516706,102071.3232,17.80475083,100.0071942,307056.196,7301.794985,4708.580332,100.7629854,1.159933555,4,3.857076412,2.160298127,8.496677741,0.54299693,0.821625249,0.200675046,0.301756146,0.250083963,1.95E-05,481.6544074
1.000031381,0.004692254,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.399322,475.3188136,0.254376387,102071.3232,31.59382425,40.31476694,300677.7537,8327.708114,4438.690336,116.1061495,4.586661989,4.585818935,3.412842102,2.254817269,8.290256433,0.50962829,1.206400668,0.22573339,0.340414686,0.281453772,1.95E-05,522.3590204
1.001906974,0.004797958,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.91,478.6992424,0.38755084,101724.686,32.53033223,100.0056942,305445.8505,7344.227447,4282.31701,101.9829701,3.527043189,4.021364722,3.299910299,2.004393139,3.197040864,0.418570173,1.294426246,0.2,0.290255814,0.250071159,1.95E-05,795.571984
1.044810754,0.004866879,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.2,477.8405844,0.399093947,101724.686,61.0907309,100.0194134,303375.3256,7268.6889,3027.81113,105.014305,2.848737542,4.11117328,2.509956811,2.003536785,6.12883588,0.419577689,2.465675415,0.2,0.237630565,0.25015152,1.96E-05,813.2078718
1.046331769,0.004795267,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.21,478.03134,0.403496421,101724.686,61.55106312,100.0059622,304073.1329,7265.799691,2991.828239,101.3439032,2.868837209,4.068777004,2.47969103,2.006777538,6.272896678,0.428480648,2.479521927,0.2,0.241350498,0.250081507,1.96E-05,821.9629622
1.047787107,0.004813667,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.7077371,476.0605935,0.263371804,102071.3232,64.3306681,69.03033649,311953.65,8298.748806,2801.185314,119.8173283,4.287510681,4.533886973,2.398758984,2.249219461,6.114616115,0.458947897,2.54275387,0.236443923,0.286396652,0.280692157,1.96E-05,536.3804175
1.049323311,0.00524721,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,298.1900998,585.9600943,0.24247845,102071.3232,50.23006645,100.0083484,303102.9635,7430.923619,3453.169867,100.4262939,0.619036545,4,2.540122924,2.259816969,12.40279037,0.693865791,2.139826578,0.200102406,0.246821595,0.250065508,1.96E-05,493.6985287
1.050205163,0.00525715,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,298.193514,586.2295567,0.242275288,102071.3232,50.55704319,100.0138616,302620.3787,7317.692232,3436.340266,103.0747432,0.892458472,4,2.571265781,2.312961003,10.88315415,0.513983888,2.157514286,0.2043926,0.247975415,0.250129637,1.96E-05,493.2099535
1.053619005,0.005193076,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.24,480.1584582,0.405951996,101724.686,61.70986711,100.0513526,303525.9336,7263.765214,3011.819767,210.0837539,3.12076412,4.067218839,2.440322259,2.009959323,6.075666113,0.44167128,2.652622259,0.2,0.236669103,0.250115394,1.97E-05,825.9278213
1.07438295,0.004940095,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.0366815,475.6795387,0.264841378,102071.3232,77.82686117,81.75474371,299759.286,8117.255584,2182.170038,115.8248818,3.778880406,4.586339736,2.093601649,2.251803295,6.888923886,0.49836677,3.191447973,0.227745765,0.274645341,0.2812575,1.97E-05,536.9126989
1.077042108,0.00502758,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.0077519,474.9684109,0.264314906,102071.3232,77.31895214,81.27470218,301081.6242,8173.543134,2158.723354,117.2725579,3.802956378,4.605667726,2.079494689,2.251763055,6.728522971,0.46147142,3.213743066,0.235746193,0.263839156,0.281055964,1.97E-05,535.6010774
1.09802846,0.005049862,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.19,478.0343468,0.406418289,101724.686,86.29265781,100.0083054,298502.3621,7207.143422,1485.634618,107.8054579,2.32166113,4.131446708,1.582109635,2.00593178,8.120278073,0.446336869,3.778374751,0.2,0.18898804,0.250070846,1.98E-05,820.6031173
