,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO
0,0.800830124,775,297.8851485,538.7582508,99258.229,0.186069114,0.6,"NH3: 0.791693585788322, CH4: 0.208306414211678","O2: 0.21, N2: 0.79",17.753256326830524,18.6069114,0.719923684459253,-2.352790183812788e-14,-2.410856285217047e-14,9.563473604325906e-10,0.031067913980433997,1.1116710241981706e-05,6.133793773148331e-09,7.637146316385838e-06,0.2109749885531269,3.789980618138108e-09,4.722212362553426e-06,6.690163309508463e-06,0.0329058192740782,-2.9461290790233754e-16,-2.7182260479842954e-15,1.304922923920317e-13,1.2486741722795258e-14,-1.2551507864938516e-15,6.784585765050203e-16,-1.1776462739625639e-14,-1.5516512239999175e-15,-5.586164635100068e-16,-1.873371525598566e-15,5.885003840420291e-16,-2.4957932309548835e-15,-6.429031877139589e-16,-1.2709782108357672e-14,-4.305602799106952e-16,-1.7798742644864936e-15,9.805646512543386e-07,-8.18322850018323e-16,-1.8020409376453037e-15,3.095571279336841e-16,9.397341373044831e-17,1.0648700553291171e-13,-3.902614649681114e-15,-8.119974885392488e-16,-2.130412958716267e-15,-4.866453483076706e-15,-6.993460277479605e-16,-1.1830697231007085e-15,1.0736147359211737e-14,-1.5905119257265164e-15,5.004524590339591e-16,8.16795887359579e-15,-1.934151456737865e-15,-1.1182240590305153e-15,-1.9007756343461523e-16,-2.30179099804826e-15,-1.0259739581329502e-14,-2.2476780627082055e-15,-8.887081188072284e-17,3.562512718577275e-16,6.177999099523579e-15,-4.586041152347207e-15,4.883101067943547e-16,-9.469364226759022e-15,-4.007862243485045e-16,0.005031838389838315,6.685093940647494e-07,6.392495664183645e-05,5.506451389173079e-14,4.1999319776341085e-09,-2.3655722731433153e-16,6.7370300741935e-16,-7.9892256649957e-16,-2.0611582260346616e-16,1.01025697887963e-13
0,0.850173811,763,297.8450495,543.7551155,99258.229,0.178638061,0.6,"NH3: 0.791716850460789, CH4: 0.208283149539211","O2: 0.21, N2: 0.79",16.731322526924373,17.863806099999998,0.7165010296300175,2.0754116500464567e-14,2.1482420688718683e-14,2.533850869994055e-09,0.022182240886939136,1.301093153065535e-05,8.122696606916052e-09,1.325481419382129e-05,0.22122591070861056,5.2010723610026425e-09,5.369411273441513e-06,1.0814553176896806e-05,0.034504896467030456,1.5141218133216384e-15,8.882923174357805e-16,1.315832200424947e-13,2.655092701884353e-14,-2.271451248561199e-16,1.8225897564099338e-16,1.7055217400656837e-15,3.407052974734496e-16,-9.851863209030676e-17,-8.46545774578906e-18,1.6674195231944716e-16,-7.044626050083912e-17,-3.720008274998934e-17,4.6116639766424835e-16,-5.017226292065875e-17,-5.773600648605008e-17,9.518741992591094e-07,-1.1532332815427496e-16,1.538149148220425e-17,1.2596467929330142e-16,7.672957967538993e-17,1.1265968409489519e-13,1.0459226671689032e-16,-9.833251460963133e-17,-6.668045332685946e-18,2.301197620180043e-16,-9.72954058780785e-17,-1.3192337494211836e-16,2.412946505235444e-16,3.701003100914237e-18,-2.220695179113446e-17,-1.424379572587879e-16,1.3994531496262787e-17,-9.984134233081964e-17,1.2846145036821338e-17,-2.192748882108287e-16,9.827823164276946e-16,-2.0445247386034976e-17,2.96716971929616e-17,1.2522473763370192e-16,1.858626410284986e-15,-2.5480555953277983e-16,1.4769148780510704e-16,-1.0117594103746478e-15,-4.013461887381185e-17,0.005481226401917973,1.4676179699985905e-07,6.112174469215359e-05,1.2993604304867096e-13,9.956370789449757e-09,2.4489037373048842e-17,2.1264483054483747e-16,-6.656078600364686e-17,3.080458872274329e-17,1.8077969084358562e-13
0,0.899056012,795,297.2099194,568.5147784,99891.5085,0.203167645,0.6,"NH3: 0.791752061515411, CH4: 0.208247938484589","O2: 0.21, N2: 0.79",19.78824300330041,20.3167645,0.7133457514178086,5.1150637541302415e-15,5.345801299303959e-15,1.6277364850244226e-08,0.013058257932690895,1.707547717540207e-05,1.9358241830367357e-08,3.516329836937351e-05,0.2317602332588496,1.2097795896059133e-08,6.1044054150878045e-06,2.5446544486142717e-05,0.03611528919675452,3.974637070922391e-14,2.250141919832769e-15,1.6134121754675513e-13,3.9999284971530524e-14,5.761764948281143e-16,3.198808083061697e-16,1.2948282184156442e-15,1.1256545795945429e-15,5.59189935951616e-16,6.795702144569393e-16,3.2610665947086834e-16,7.649653722101561e-16,3.9238342812221394e-16,1.0628501856618806e-15,4.685552039491278e-16,6.265917063360229e-16,9.682959063109544e-07,5.210308959864087e-16,6.440181363442386e-16,3.4468610947293353e-16,4.389612250242653e-16,1.569020030696279e-13,8.561447095087008e-16,4.4083231804070827e-16,6.807516437088765e-16,7.778231549078751e-16,5.019524779677266e-16,5.120784540280689e-16,-1.1981193327781142e-16,4.826842134192044e-16,5.23089366588253e-16,2.781712629772266e-16,6.880910088010558e-16,5.751965751475534e-16,4.803219925808028e-16,6.973188177304769e-16,1.2825994754647675e-15,6.753019250320304e-16,4.3541932377318206e-16,3.645577106954477e-16,1.1972985509500084e-15,1.2084901573602616e-15,3.670647978577773e-16,1.2192037612139052e-15,4.563183229835386e-16,0.005587369625800023,1.6918764499797755e-07,4.8079766157582796e-05,7.031522433160488e-13,4.3857910931350034e-08,3.90066701680462e-16,6.602039128576559e-16,7.413153924605759e-16,3.915286972655369e-16,4.870017186579076e-13
0,0.949726015,855,297.1067472,581.0860324,99891.5085,0.223501454,0.6,"NH3: 0.791565566264891, CH4: 0.208434433735109","O2: 0.21, N2: 0.79",22.378512354589702,22.3501454,0.7102354011032437,4.60087593965133e-14,1.882712833281963e-14,3.371830467615008e-07,0.0038554941857681735,1.5176467997739061e-05,1.9594385762051174e-08,0.00019738201538771054,0.24242986675458042,4.743255612417015e-08,4.247410724639547e-06,0.00011024455021625679,0.037775561451517094,1.1620432038659911e-11,1.102764668794597e-14,6.178009261443283e-13,2.108654482542421e-13,2.1797402695699625e-15,3.629614839079176e-15,-8.8669264665457e-15,4.181802580824999e-15,2.57084337744218e-15,3.6254199658417766e-15,3.7066369023777975e-15,5.5880093321995114e-15,3.841415621261249e-15,5.656224337161324e-15,3.029661861846382e-15,3.738214232992458e-15,1.007923614305547e-06,3.0177122777113345e-15,4.753170301719492e-15,3.84188568276287e-15,3.582829541501966e-15,4.637133468941373e-13,5.802519109527174e-15,3.577585279458631e-15,4.465807357612144e-15,3.667729793218523e-15,2.917346141521619e-15,2.9126792349711837e-15,8.00570449366175e-15,5.6549062406524165e-15,5.219998762868746e-15,1.4271912575530716e-14,4.693827855438375e-15,3.679935421932079e-15,3.846326882295246e-15,3.4310497443359965e-15,7.022877051530684e-15,4.5925795123724695e-15,3.274836480025594e-15,3.617980755149923e-15,3.576038685689878e-15,7.389071116001602e-15,3.792131720059829e-15,1.6311295938202908e-14,2.851379327497108e-15,0.0053585369690257855,5.768642965529051e-07,1.5215089468095724e-05,1.7708550999795334e-11,8.849687659966031e-07,3.7204648775184925e-15,1.562079158777298e-14,9.262276760277539e-15,4.512675853198799e-15,4.501478472598695e-12
0,0.950337331,854,297.6338981,571.7496301,99574.86875,0.223690869,0.6,"NH3: 0.791681974456772, CH4: 0.208318025543228","O2: 0.21, N2: 0.79",22.33069986483065,22.3690869,0.7102540224383468,-4.596199848777588e-15,-9.043071358801152e-15,3.2463700558334996e-07,0.003755876900916168,1.4596891720963294e-05,1.5981807730746175e-08,0.00020520255085983356,0.24245444868019111,4.553662635511282e-08,4.268021814621221e-06,0.00011429078960116649,0.03781838489214712,1.2112540389091658e-11,6.88387491244728e-15,6.341638697992979e-13,2.4152243297126926e-13,-2.817295073254052e-15,-1.034997844840533e-14,-8.579317211700367e-15,-3.8238118137911635e-15,-3.8595949234359326e-15,-3.005262514901763e-15,-1.017198231458699e-14,7.19362213259761e-15,-9.268126069734986e-15,2.3031110871324463e-15,-6.9379120334774515e-15,-4.0437662128585666e-15,1.0057568357997967e-06,-5.377087890748033e-15,-1.5904611301664347e-15,-9.727804300378564e-15,-6.896011139942039e-15,4.69530792021681e-13,9.477569649742555e-16,-7.800511578464826e-15,-2.1762860929926496e-15,-2.9605412188088275e-15,-5.675268354399999e-15,-6.6346620091791784e-15,7.810507787693018e-15,1.15290464320275e-15,-4.915723185619927e-16,2.1863039147210343e-14,-1.4611415958439218e-15,-4.229514726179149e-15,-4.377561511964625e-15,-4.295031909542739e-15,5.045077973962247e-15,-2.3335327751433867e-15,-6.111944172140222e-15,-8.13809739180397e-15,1.7702169391354628e-15,6.606611924962191e-15,-8.535958108341303e-15,2.1557853050374913e-14,-6.3503504368072135e-15,0.005360958905683953,5.989408561515484e-07,1.5039054717219377e-05,1.91840776970295e-11,9.19983601378731e-07,-8.62903141602414e-15,2.1494173517533016e-16,-9.750260935547472e-16,-8.037944642168178e-15,4.73222881141951e-12
0,1.0003369,854,297.0527334,584.9273641,99891.5085,0.237030264,0.6,"NH3: 0.791689692756651, CH4: 0.208310307243349","O2: 0.21, N2: 0.79",24.025064829785265,23.7030264,0.705855484997631,-7.129375064577947e-14,-6.27117228740759e-14,6.189466926454627e-07,6.890947790347611e-05,2.2670722734040128e-08,6.533189777386694e-12,0.004361407724124466,0.2459501458809373,1.8582689392111252e-09,5.261487727396148e-09,0.0023546353972133606,0.03681396338847045,6.032938117424297e-09,3.502395000054274e-14,2.3300165863681946e-12,1.7608885994073793e-10,2.4418092998354838e-14,3.664054657988498e-14,2.3748428318783856e-14,5.111226648949178e-14,1.904706944325525e-14,3.663010549813958e-14,3.6924122169329055e-14,2.602052710968472e-14,3.739684913465533e-14,2.5034918536928027e-14,3.560534227997221e-14,2.4490798058122732e-14,1.058843276358158e-06,2.548730513724454e-14,2.903888669529976e-14,3.7356807724257765e-14,6.564746821107518e-14,1.3762955507073036e-13,3.058097533914889e-14,3.7421677313011615e-14,2.4786800800013896e-14,2.333909672239808e-14,2.5519888674759334e-14,3.623752205014749e-14,2.567407941980146e-14,2.521873405488672e-14,2.6133937819480667e-14,3.2594736655199976e-14,2.7545869869062805e-14,2.4873762814839152e-14,9.730064121270537e-15,3.620952774550614e-14,2.4876696365600378e-14,2.6842589697168876e-14,1.6753963312289352e-14,2.7861901390084197e-14,2.0331183249327925e-14,1.2414661604123289e-14,3.753413061981053e-14,1.8318638482507978e-14,2.598236881027035e-14,0.0045747623130129745,3.247553638629526e-06,2.2820118651835405e-07,1.9688380906823702e-08,1.5481534208607153e-05,3.751842129002986e-14,6.514644570200133e-14,4.8181064282591125e-14,6.944552631291582e-14,4.356358332801557e-11
0,1.049597736,849,297.6362409,583.9707719,99680.41533,0.243134543,0.6,"NH3: 0.79169711164477, CH4: 0.20830288835523","O2: 0.21, N2: 0.79",24.626687662803533,24.3134543,0.7001436498238067,-6.292192213879264e-14,-5.819023230132862e-14,8.633346768037079e-07,4.6187690775720845e-06,1.6155938794452254e-09,9.606628373666816e-13,0.011679541036363449,0.2447350629874677,2.754613561087733e-10,6.493557652527266e-10,0.0064606648349366,0.03356995126101417,2.8037300107662372e-08,1.4014579897349985e-13,2.956852925622523e-12,1.009145167821594e-09,7.307129083706771e-15,5.510174063189131e-16,1.7967223041190725e-14,1.5032362054925816e-13,6.77276754271667e-15,-4.7324545314951965e-16,1.5709507759349876e-16,1.9548537319145775e-14,-7.296354676805583e-16,5.817981889103319e-15,-2.4479571135351596e-15,5.428628877919302e-15,1.119062999034263e-06,5.518360801356377e-15,5.105824720152848e-15,-6.60259837630437e-16,9.888692755848256e-13,1.1764658205751014e-13,3.74406613574445e-15,-3.151763915596655e-15,1.040416177387117e-14,7.953139216244705e-15,5.56184663703532e-15,-3.4432816510729817e-15,5.1617911417900946e-15,5.3253270792665114e-15,5.170207456092767e-15,3.2463248745174236e-15,4.44981176657186e-15,5.690312280808075e-15,9.651162300365458e-15,-3.758245759096232e-15,5.6855484369313356e-15,4.897463104516849e-15,1.991222187278227e-14,6.762343729111174e-15,3.3829363937902206e-15,1.0090766652028288e-14,-2.9827023692894273e-15,5.8682900849698085e-15,5.437238357026337e-15,0.0033886341016320454,2.814573340799103e-06,1.8035938526996342e-08,1.68882741223828e-07,1.2861598200568207e-05,-2.851205384692179e-15,3.929904930095008e-14,1.3135057616775526e-14,4.711617720666808e-14,1.054740778295163e-10
0,1.099913844,840,297.6021345,581.3286171,99680.41533,0.24074955,0.6,"NH3: 0.791764368651892, CH4: 0.208235631348108","O2: 0.21, N2: 0.79",24.42061209648068,24.074955,0.6945080265051611,6.393248308910222e-14,7.022449659565587e-14,2.3401959319292216e-06,8.641031907615503e-07,1.0862680323282685e-09,2.053638043236554e-12,0.01950451372307144,0.24310661053551824,2.7145587859423313e-10,4.231279210608833e-10,0.01012407206422125,0.030839304418415592,1.1966127825047874e-07,2.009764949197608e-12,6.412387494901812e-11,8.975793852095495e-09,3.639362671353288e-14,3.3186608526757026e-15,-5.7992454835869534e-15,3.800373899050391e-12,-6.277766242543589e-16,-1.871649509717356e-15,3.2813634624279663e-15,8.482055260334599e-16,3.1798891761374718e-15,4.0799207091958474e-16,2.5364936097985013e-15,2.2430996283257798e-15,1.263976631923097e-06,5.002696929195645e-16,1.5963751384634656e-15,3.1916308450183848e-15,1.5845681714337386e-11,1.9161796841856127e-12,1.3657093038786205e-13,2.6207009059169514e-15,-1.4268694668539481e-15,-1.6953265354843283e-16,4.61677947844471e-16,1.9269706984649095e-15,1.6126274166481793e-16,2.8890727168792976e-16,7.339219503233268e-16,-4.3627551972975487e-16,2.3909124474839467e-16,5.615199680255717e-17,-1.0906337373414219e-15,1.945270734395799e-15,4.60313096903327e-16,6.884513212975266e-17,-2.0247477234371936e-15,-5.702550390204432e-16,9.846005203801418e-17,-1.6948050856219313e-16,2.6527983379092996e-15,-6.3376772474523e-16,1.640490982630076e-17,0.0019010167309194748,1.9230363066561954e-06,4.526296765714254e-09,5.375321340769475e-07,9.392037768190692e-06,3.3385803010471034e-15,1.0514085242170412e-13,8.734657988841113e-14,1.7665175441057068e-13,1.0606120379891169e-10
0,1.150186481,787,297.697272,575.284819,99680.41533,0.231807102,0.6,"NH3: 0.791758181910196, CH4: 0.208241818089804","O2: 0.21, N2: 0.79",23.287572399452984,23.180710199999996,0.6891671894568183,-5.474535492647267e-15,-5.044102703276843e-15,1.338461437358784e-05,1.3231464664725476e-07,2.3379615603802706e-09,6.346410032738442e-11,0.027294995097892915,0.24110092304965888,6.339057617687821e-10,4.375194948638335e-10,0.01322772681957869,0.028733212714822758,6.948053657841811e-07,1.2880021496871147e-10,3.359628671486219e-07,1.8428959818541664e-07,2.0795213669833642e-11,5.943394776246497e-15,1.0376124180938384e-12,4.634167879480317e-10,1.5753764431856567e-14,7.034262653251737e-12,2.916717345928178e-15,5.3775862119938775e-12,-3.9398567325255906e-16,-8.870152584317343e-16,-3.552253887737008e-16,3.020141594575015e-13,1.5016995245990324e-06,-7.472888854549725e-16,6.147723021431902e-14,-3.7695117404931895e-16,5.527446382664535e-10,1.245349610033777e-09,4.217127489781322e-11,1.3537293277061285e-14,2.553600727641922e-13,-6.81991737961655e-16,2.9721899892578267e-16,-4.2739891458872333e-16,-1.0477954891061896e-15,-9.39288417291934e-16,-6.336889482190534e-16,-9.66353268894231e-16,-5.654101437169511e-16,1.7590498320734362e-16,-1.355022889441904e-15,-5.046577841942252e-16,-8.86701191382339e-16,-9.000325664364231e-16,-1.8260335348232928e-15,-1.48438487687815e-15,-7.006425745964246e-16,-1.3414702393761748e-15,-4.804149648087146e-16,-1.3632138852775905e-15,-6.294175157688356e-16,0.00039956794974998496,1.95621632339642e-06,5.557551300598033e-10,5.5310066617926776e-05,2.8194580746556247e-06,3.1724471106924453e-13,5.43174819520542e-13,8.688692169099533e-12,1.5494243522050108e-12,5.897702657056003e-08
