,phi,grid,T_in,P,blend,fuel,flame_speed,oxidizer.O2,oxidizer.N2
0,0.8,49,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.28341478434297285,0.21,0.79
0,0.9,49,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.3503618607841291,0.21,0.79
0,1.0,50,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.39919459335973434,0.21,0.79
0,1.1,46,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.4349148721218239,0.21,0.79
0,1.2,46,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.4163229609548206,0.21,0.79
0,1.3,46,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.38494656544937145,0.21,0.79
0,1.4,43,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.33248621917504617,0.21,0.79
