,phi,grid,T_in,P,blend,fuel,flame_speed,oxidizer.O2,oxidizer.N2
0,0.8,37,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.23283110341613897,0.21,0.79
0,0.9,40,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.3104661832515677,0.21,0.79
0,1.0,44,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.3673664415842557,0.21,0.79
0,1.1,44,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.41831188533768765,0.21,0.79
0,1.2,43,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.4183196004885983,0.21,0.79
0,1.3,41,298,100000.0,0.5H2_0.5NH3,"H2: 0.5, NH3: 0.5",0.39808221238740465,0.21,0.79
