,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,NO,NH3,H2,O2,H,O,OH,HO2,H2O,H2O2,NH2,NH,N,NNH,NH2OH,H2NO,HNOH,HNO,HON,NO2,HONO,HNO2,NO3,HONO2,N2O,N2H4,N2H3,N2H2,H2NN,AR,HE,N2
0,1.000848886,946,297.5190141,614.5661972,101325,0.129939198,0,,,0.002355176149716329,2.5068067945247564e-08,0.006730861612306147,1.7492745432186766e-05,4.009017643178286e-06,4.2366526697070647e-10,2.827653130211086e-08,4.457548143710754e-09,0.2881471594182503,4.0966831158600105e-09,3.210137116502745e-11,1.9795058797085935e-13,2.9940091354544624e-15,2.2897979032044247e-13,1.9165344935520903e-12,2.1224046140127442e-09,2.336515070067801e-10,3.7513847947225317e-06,2.5907418918466166e-07,7.925386125636698e-08,6.0387664681190035e-06,1.1057970215655121e-09,1.2036304401928869e-15,2.642919683037225e-10,1.3552068196908918e-06,1.6327563914464084e-15,2.0803540332682978e-13,1.1502630752206603e-15,3.1531750187424332e-15,-4.188625633684769e-15,-2.8902908294820944e-15,0.7027337512872223
0,1.019186738,955,297.2704918,610.4448087,101325,0.129724848,0,,,0.0019629204395068944,4.833477603951796e-08,0.009892951776554774,5.244247475744149e-06,5.0204306385702105e-06,1.6960757039871858e-10,1.3105331953550591e-08,1.988253352202361e-09,0.28726127663481454,1.840182568021777e-09,3.255146173049984e-11,2.374259788262576e-13,3.1651577532640323e-15,2.7509431909986646e-13,1.845717213297379e-12,1.7280173557651093e-09,2.0901500417986616e-10,3.258839316479453e-06,2.5690954042162983e-07,2.418008796593345e-08,3.4276314544442353e-06,6.326648324557437e-10,2.630027253310297e-16,5.965086571097449e-11,1.1462632399203192e-06,6.917444847258077e-16,2.913864873905411e-13,2.660224655087585e-16,1.3016192824150067e-15,-7.133432216776378e-15,-1.0078311412946887e-14,0.7008644045446812
0,1.038392492,881,297.2649254,609.9761194,101325,0.129833488,0,,,0.0014924145567478627,8.537962130320014e-08,0.013393592818519994,1.8352379328673645e-06,7.3884960179786025e-06,1.1584099544318847e-10,9.947093160034459e-09,1.2801033226116028e-09,0.28625000223902847,1.0082908524486572e-09,3.270684848521658e-11,3.6525653377739434e-13,8.026341971095272e-15,4.012091926099592e-13,1.9622532386194063e-12,1.27014156298876e-09,1.724789151339932e-10,2.591165969985709e-06,2.5721443414564345e-07,8.465439844317323e-09,2.1045235131117965e-06,3.897276855566224e-10,-4.150583843028951e-16,2.17410763071785e-11,8.847355194317442e-07,1.0151651983174082e-15,4.344188468110349e-13,-2.5296868106020987e-16,7.228221240864225e-16,-5.1919323993706187e-14,-4.496600117141329e-14,0.6988488209260553
0,1.050882449,861,297.2763158,609.5630326,101325,0.129944705,0,,,0.0011779989352689864,1.1707683159117901e-07,0.01571688378016544,9.813887034847688e-07,1.0028750554703715e-05,1.1489807690161832e-10,9.900148145719065e-09,1.0990712791575967e-09,0.28554381077682883,7.260233768150477e-10,3.048609268936074e-11,5.080468552060874e-13,1.669483636335056e-14,5.368482394817398e-13,2.0777009428164147e-12,1.0008264518656852e-09,1.4360324494887143e-10,2.112932206454171e-06,2.582986602760385e-07,4.405119685623385e-09,1.5236029746022596e-06,2.821365187194404e-10,-4.613356537046617e-15,1.3136622254377947e-11,7.035645493899137e-07,-1.0111353558487794e-15,5.910635005191594e-13,-4.6219958641932096e-15,-2.9578486283400394e-15,-4.283902714380491e-14,-3.761643475316929e-14,0.6975455631741703
0,1.060300257,840,297.1049618,609.1156489,101325,0.129985117,0,,,0.0009385426646238756,1.4768186138898036e-07,0.017486288898575193,6.10281196309827e-07,1.296673622962874e-05,1.2759066938522071e-10,1.0497416215351324e-08,1.0112605617331648e-09,0.2849878287454875,5.713017039958124e-10,2.6925996409362008e-11,6.762144032958883e-13,4.6115879934335534e-14,6.959807067923721e-13,2.207922505093041e-12,8.059628516684392e-10,1.1890816023414914e-10,1.7271096526182119e-06,2.595129453197651e-07,2.5943316191918225e-09,1.1523113876556269e-06,2.1322228932505873e-10,-8.542551414295968e-17,9.18842416901457e-12,5.60844674010211e-07,2.9503283444997824e-15,7.473303133765269e-13,-1.5586198600206057e-16,1.9163739976258344e-15,-3.35403601135603e-14,-2.931990260596402e-14,0.6965698992329427
0,1.070005799,824,297.0453846,608.5884615,101325,0.129861802,0,,,0.0006867751821829873,2.6483321732504005e-07,0.01936378846746902,3.5784831771299335e-07,1.7368117854982613e-05,1.54787846926554e-10,1.1669115605788892e-08,9.127529781549497e-10,0.2843577489533043,4.401755488931324e-10,2.1465644664605657e-11,9.20116082519503e-13,1.1919325114084194e-13,9.283126802052515e-13,3.1701537947288585e-12,6.019496064137429e-10,9.033852659335233e-11,1.2981261836322857e-06,2.6092895986523323e-07,1.3501090669965186e-09,8.007748823408593e-07,1.4800786491979322e-10,2.0234735505651793e-15,6.106138669243598e-12,4.17052029417971e-07,5.317036516153786e-15,1.0407749948276662e-12,1.8537869805930166e-15,4.032398095403542e-15,-5.637374657736894e-14,-5.479486313442721e-14,0.6955709043147091
0,1.089947653,825,296.9265152,607.2939394,101325,0.129870867,0,,,0.00017229209132997564,4.462220479119913e-05,0.023021190547262625,1.0252378235642032e-07,3.262394529844963e-05,4.746784637499496e-10,1.5940130344732564e-08,6.030493033267626e-10,0.2831531038709505,2.4518556313275294e-10,3.8988676467578534e-11,1.8064743147169995e-12,2.6146096338378417e-12,1.710759270217979e-12,3.892998963456347e-10,1.6059089762038174e-10,2.4705895791837117e-11,3.4234013798565984e-07,2.643147209877834e-07,1.5109722155032757e-10,1.790453507905589e-07,3.302613605201203e-11,-5.387055140767742e-15,1.3673577985348677e-12,3.0537434142066907e-06,1.4180888624234232e-11,1.0991985806290927e-09,7.342041391376333e-14,2.3462979363968737e-13,1.570530175688182e-14,1.528724965255043e-14,0.6935722061909962
0,1.100162596,810,296.9321705,606.6518088,101325,0.129855613,0,,,3.547035972861163e-05,0.00033850913785877173,0.024683066576761403,9.781674135322418e-08,2.7099206594840566e-05,5.586661765764608e-09,1.1723481684074971e-08,6.700777310291165e-10,0.2824564584916963,1.7978749506801833e-10,2.497821188085814e-10,1.4803603842130967e-11,8.111551139111338e-10,1.4190298571690691e-12,2.2891613974084713e-09,3.566229592806645e-11,8.212204123397927e-12,6.988335929742298e-08,2.6647105936614583e-07,5.290403639058254e-11,3.2547859128999385e-08,5.981414241925107e-12,4.4017865456179825e-15,2.3471823622365984e-13,6.669361224745288e-06,8.657641070759369e-10,4.86612175277058e-08,3.4093774639438687e-12,1.0401678542000395e-11,1.495472069519279e-14,1.2980388378680952e-14,0.6924521889769666
0,1.130028846,795,296.8246269,604.5109453,101325,0.129745439,0,,,4.882712551046475e-06,0.0024918548414502324,0.02842462445254948,6.554830173931396e-07,8.590894198031864e-06,1.7520814999323915e-08,3.3335478086955245e-09,4.340948111749588e-09,0.2802461749171684,2.036086294669482e-10,2.4467778556211094e-09,7.213881397885414e-10,5.5891493478390506e-08,4.375934873644356e-13,6.4646431898753845e-09,2.940072653468892e-11,1.1814275481598077e-11,9.505553905499285e-09,2.7483870595793265e-07,9.550846797760929e-11,2.7513838442126495e-09,4.960242143629038e-13,-5.933268110118679e-16,5.1320703445487186e-14,5.580602088484808e-06,3.2574526169821066e-08,3.9167415925296375e-07,2.708943397228693e-11,4.5717739007132016e-10,-3.309491174031971e-14,-2.968693706898047e-14,0.6888168332075137
