,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,O,O2,HE,AR,OHEX,H,H2,OH,H2O,HO2,H2O2,HONO,HNOH,HNO2,HONO2,HNO,H2NO,H2NN,HON,N,N2,NO,NO2,NO3,N2O,NH3,NNH,NH2,NH,N2H2,N2H3,N2H4
0,0.939498606,817,297.866,586.8825333,101325,0.129940621,0,,,5.294554200568518e-13,0.004296387919719538,6.363534341688527e-15,6.882703489733522e-15,-3.7086687590624144e-17,4.750936716854534e-10,0.00015355255156356207,3.5851307153485334e-09,0.2848702021041832,1.194159240632928e-10,2.963450337722318e-07,7.528821797993624e-05,2.1919783602172113e-12,2.6900051266702682e-08,3.138104907518987e-07,1.1968246138997613e-06,5.093927374743857e-11,2.3140076033417705e-15,1.380821114050908e-07,5.620074960805451e-16,0.7070214679887187,0.0035581895774727504,2.2495686644497483e-05,8.569283599067076e-16,4.3970450670325994e-07,5.3582521029668344e-11,-1.94960171094965e-17,1.06294847545141e-15,5.498908869311724e-16,2.1317818263285745e-15,3.2646798688431344e-15,2.6065425118496073e-15
0,0.949175285,807,296.8516129,594.3123656,101325,0.1297908,0,,,3.052060566308946e-12,0.0027635769338533087,-7.992887979750068e-16,-9.027705511179796e-16,-2.491723855527584e-16,5.733811970559596e-09,0.0002631799698964687,1.3681469859203476e-08,0.2870580055598805,8.100353387576616e-10,2.668086881414383e-07,7.729131180742594e-05,1.4000221733183318e-11,2.7496346320482848e-08,2.082906990640944e-07,2.7425053125058246e-06,1.192739685502725e-10,-1.5711157100319495e-17,1.371677144638779e-07,-2.1726942755270994e-16,0.7063302984550971,0.003491153121866283,1.242015050200626e-05,9.33258588508821e-16,6.717092725997238e-07,1.574155826778002e-10,2.2268822977819856e-17,5.91162154708224e-15,-8.201015028991395e-17,2.092794057162702e-16,-5.110836021136424e-17,2.1476725653749426e-17
0,0.960184841,818,297.6354962,609.1698473,101325,0.130054549,0,,,2.2369456813508725e-11,0.0012838228982405015,-8.390169862953342e-16,-9.78615664245915e-16,3.48387417574981e-17,8.889256348794728e-08,0.0005734323537015129,6.570933577492444e-08,0.28923977369096254,5.409433025319801e-09,1.6335984749610093e-07,6.970983653371892e-05,1.0399337750025619e-10,2.4299218591886634e-08,9.115585081381988e-08,5.566651681990367e-06,2.0136566140495076e-10,2.728814057933884e-16,1.3557092005643904e-07,4.4903306322828954e-17,0.7053805020849009,0.0034403816916988303,4.979470857280582e-06,2.5423796114173864e-15,1.2560312382026661e-06,5.6509729087878e-10,4.827513214074496e-15,1.7627376847202568e-13,6.136030228316484e-15,1.1280645220804006e-15,1.7545008622066185e-16,2.129026435614795e-16
0,0.979643687,848,297.8590909,616.180303,101325,0.130228787,0,,,2.0363803376371892e-11,0.00014191581296707826,-4.67375766070189e-15,-5.192195193685501e-15,-1.5300960071404114e-16,7.472625359603146e-07,0.0024979357972664375,4.7365055679089424e-08,0.2904279907395642,4.998794932377643e-09,1.697720646599274e-08,2.000413849722662e-05,3.576046006553097e-10,6.7752784697512505e-09,2.7244241754764896e-09,8.010497282468767e-06,1.3207444073150114e-10,4.3240462528054585e-17,1.3304841844773343e-07,-1.3428749236600699e-16,0.7035865586750317,0.0033140329627046497,5.135096767128702e-07,-7.324339664070739e-17,2.073873617145274e-06,4.329334258538711e-09,4.2550067942983336e-14,2.1776905400084463e-12,8.971298183576426e-14,1.7385902042165015e-15,-1.8566886017717269e-16,-2.2981101081794295e-16
0,0.989920905,866,297.6872414,616.3228736,101325,0.130098714,0,,,7.2737453880886266e-12,4.4839732388555796e-05,-1.3654741915951053e-15,-1.4972468904210338e-15,-5.631633989999697e-17,8.286901062862174e-07,0.004139329228441371,1.592641345342585e-08,0.29009502037739837,1.8068684196290984e-09,5.5884401148141e-09,9.229318425117826e-06,3.5118637958435225e-10,3.174259440302014e-09,3.5002026034144523e-10,7.745723107490577e-06,1.2181827878706023e-10,1.5121377602326405e-16,1.3182181553581482e-07,-1.909776800879519e-17,0.7024998505524922,0.003200863889399534,1.6143823195167647e-07,-5.2384514393567956e-17,1.96154744526323e-06,1.0351921309640703e-08,4.7296648009714786e-14,2.400523747328697e-12,1.0037849163897163e-13,1.789536492790836e-15,-5.86458971303925e-17,-9.006553633150146e-17
0,1.000848886,872,297.5190141,614.5661972,101325,0.129939198,0,,,2.7193663559881405e-12,1.6144341998365693e-05,-1.7056361654073273e-14,-1.4537344674596854e-14,-2.6617722672275265e-15,8.456424480348608e-07,0.0060517574208842915,6.12130404583238e-09,0.2895639661667051,7.001246900635506e-10,2.3481115136548913e-09,5.178443999524767e-06,3.341319939796564e-10,1.7936973795227015e-09,7.0337627825766e-11,7.3772131264367215e-06,1.143968960812096e-10,-4.778446678229067e-16,1.3084592111551188e-07,-3.218990711858373e-15,0.7013106258666416,0.00304209325438914,5.97136094412875e-08,-3.0466235323013707e-15,1.7883757273320687e-06,2.1227198321257606e-08,4.4886671413240297e-14,2.4288690002130904e-12,9.596186424326401e-14,2.2296394769335807e-15,-3.3397773606955273e-15,1.5376217603913776e-16
0,1.001305224,872,297.0759843,607.7363517,101325,0.129684752,0,,,2.1430846771759063e-12,1.5578722309373286e-05,5.358182576243062e-16,3.465022593039996e-14,2.6945356398034717e-15,7.979340300179892e-07,0.006119412476864083,5.522321068660676e-09,0.2894614663810522,6.523972833371657e-10,2.2944964433574816e-09,5.099203836707476e-06,3.402975074125251e-10,1.7513935808624898e-09,6.779182997665244e-11,7.489686756010551e-06,1.1280457284571249e-10,4.324352331373685e-15,1.3093520908655702e-07,3.848914187782631e-15,0.7013574014964682,0.0030307503224257307,5.847992678367998e-08,3.4286906598228924e-15,1.7818084662618895e-06,2.1806523458259586e-08,4.5080629320750013e-14,2.291923758163157e-12,8.585034011271076e-14,5.727900812139346e-15,4.125090661047275e-15,4.098002269858135e-15
0,1.019186738,869,297.2704918,610.4448087,101325,0.129724848,0,,,8.98462827193941e-13,4.338350115900813e-06,-7.779250042569502e-17,4.92178355674795e-15,-2.702899051213316e-15,9.667988454204654e-07,0.009438361436728698,2.3871835817195003e-09,0.288557932289386,2.4492964057733836e-10,9.114113738876552e-10,2.799512840126701e-06,3.233132028621495e-10,9.622045559450857e-10,1.32001928477585e-11,6.810568114617644e-06,9.283131392070512e-11,1.7244294470899572e-15,1.3035983115569014e-07,-2.177807513023825e-15,0.6993004383042956,0.00268659798510449,1.757306018974781e-08,-2.487977815523516e-15,1.550924846808712e-06,5.0957822581560806e-08,4.967675622859754e-14,2.87669612640966e-12,1.0687878914251901e-13,3.705846833583055e-15,-2.1143323989944096e-15,1.9624573006113763e-15
0,1.038392492,860,297.2649254,609.9761194,101325,0.129833488,0,,,5.957808214067961e-13,1.5703780377986512e-06,-4.823149666497588e-15,1.2867076605477762e-14,5.06026636788345e-15,1.3547996279337007e-06,0.013102100626285737,1.7681525818368576e-09,0.287487111460067,1.4892055491420305e-10,5.038582045509707e-10,1.837146007339456e-06,3.1920229973796475e-10,6.158351637591079e-10,5.04782290232239e-12,6.09039187129255e-06,6.19359367931996e-11,6.618145884396377e-15,1.3139017797007488e-07,6.65625859088207e-15,0.6971789885397771,0.002219364414937159,7.126070638683456e-09,5.940268297448602e-15,1.3402815546438182e-06,1.0001731208483895e-07,7.797515186794409e-14,4.421806743556734e-12,1.7215305322672123e-13,7.505789820307962e-15,6.370287195768037e-15,6.8081640732003864e-15
0,1.050882449,780,297.2763158,609.5630326,101325,0.129944705,0,,,5.865490138269466e-13,9.089355069185103e-07,-6.3052697031566775e-15,-5.227016051301436e-15,1.1204473230206052e-15,1.8203219161205782e-06,0.015515698373715902,1.7943588022631376e-09,0.28676178652540874,1.3516838991597336e-10,3.857406174567842e-10,1.4614221355638315e-06,3.115286381581174e-10,4.744160770681103e-10,3.4365849451314257e-12,5.520404230578803e-06,4.1340667405561336e-11,4.3813890401979956e-15,1.3280766242457627e-07,3.275061139931562e-15,0.695832102943109,0.0018792217143838324,4.4338888620975664e-09,2.2125250363138153e-15,1.1948084002175782e-06,1.441562827626709e-07,9.854397969132537e-14,6.429983432773277e-12,2.4145865261421016e-13,5.42051342359642e-15,2.3920399160938536e-15,5.543931947719346e-15
