,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,H2,H,O2,O,H2O,OH,H2O2,HO2,NO,N2O,NO2,HNO,HONO,N2H2,NH3,N2H4,N,NH,NNH,NH2,H2NO
0,0.939498606,789,297.866,586.8825333,101325,0.129940621,0,NH3:1,"O2: 0.21, N2: 0.79",11.65771791926312,12.9940621,0.7081223059825514,0.00018697478994154822,1.11912298057522e-08,0.004252832251825459,2.861471000621404e-10,0.2843337038391969,4.010823299531292e-07,5.74272603979773e-07,2.4695866682865986e-09,0.0030126031332768713,4.049626439313157e-07,2.8604996052456087e-05,1.4168396159850133e-06,6.016301991092959e-05,-1.706515555674914e-15,8.965200084395109e-11,-1.9570685992614585e-15,3.33492766609846e-15,3.387114092775121e-15,3.872492415383697e-15,4.3649366261705283e-14,7.933847382582646e-10
0,0.949175285,771,296.8516129,594.3123656,101325,0.1297908,0,NH3:1,"O2: 0.21, N2: 0.79",11.6437706740345,12.979080000000002,0.7073988699367239,0.00030284820726861046,6.978239654652973e-08,0.002770218952364323,7.20010907201051e-10,0.28647540713032155,7.328147064620764e-07,5.236677571146871e-07,9.43883757864865e-09,0.0029684567050762395,5.179409303583943e-07,1.7576854670041424e-05,2.538341415233774e-06,6.22275870239463e-05,3.655294296631146e-15,2.0606985164733318e-10,1.2062565672097114e-15,-1.416498299496075e-15,-1.7039852122078132e-15,1.1562281170463042e-15,4.856567511275154e-13,1.7139384783668421e-09
0,0.960184841,786,297.6354962,609.1698473,101325,0.130054549,0,NH3:1,"O2: 0.21, N2: 0.79",11.602445136785036,13.005454899999998,0.7064359122361554,0.000616348504249203,6.249511896442253e-07,0.0013127436636661744,2.028321680074577e-09,0.28863950449294884,1.4800716015298877e-06,3.4567293448437145e-07,3.786168513659521e-08,0.00292089145013072,7.02083694378477e-07,7.645878758657413e-06,4.318760258078875e-06,5.943961010241719e-05,3.967490209384222e-15,4.838932857635933e-10,-4.1115899602456507e-17,-1.787162346071147e-16,8.583361258896783e-15,3.491300716268389e-14,5.541583556921184e-12,2.244821666791103e-09
0,0.979643687,829,297.8590909,616.180303,101325,0.130228787,0,NH3:1,"O2: 0.21, N2: 0.79",11.474018175512924,13.022878700000001,0.7047118442599825,0.0024367120726896253,4.1723123374722175e-06,0.00016473918055025772,6.632753177619219e-10,0.2898645811534019,5.902104271361284e-07,4.1377241302208916e-08,3.119197491373318e-08,0.0027890300549621473,8.630227084871164e-07,7.276044469447263e-07,5.851316875272377e-06,2.0811754740940306e-05,-6.439522976816793e-15,2.2676662028602337e-09,-1.234574650430132e-14,-1.5226949228504778e-14,8.181773679839517e-14,2.317744636151782e-13,2.5747338525237717e-11,1.5306923070417107e-09
0,0.989920905,839,297.6872414,616.3228736,101325,0.130098714,0,NH3:1,"O2: 0.21, N2: 0.79",11.354740178405564,13.0098714,0.7036925573272356,0.003970600381553361,4.875144901489397e-06,5.593851225376686e-05,2.3085777488826944e-10,0.2895879446980806,1.9134129830554365e-07,1.4884534803666782e-08,1.2704453042099627e-08,0.002671350858234573,8.119847901861415e-07,2.3236672333378655e-07,5.627975139074642e-06,9.835459371561906e-06,1.2043779324908683e-14,4.770588680125703e-09,4.145645534251669e-15,9.11104248965859e-15,1.3839692385456211e-13,3.1203760674345043e-13,2.7467468345726385e-11,1.33204121347726e-09
0,1.000848886,853,297.5190141,614.5661972,101325,0.129939198,0,NH3:1,"O2: 0.21, N2: 0.79",11.202359399059787,12.9939198,0.7025683137211756,0.00579187700707564,5.0517750040059504e-06,2.0753378543940588e-05,8.6909302077174e-11,0.2890944554728525,6.854872838024027e-08,6.680785831244064e-09,5.196849552320887e-09,0.002507829276945218,7.396682974054726e-07,8.601065968723778e-08,5.352589161911442e-06,5.4497756872060004e-06,6.08827700620035e-15,9.578520444621094e-09,4.637337729799423e-16,-3.66525446367018e-15,1.2528729858881705e-13,3.030609418499938e-13,2.7273314942493054e-11,1.2050986713114438e-09
0,1.001305224,853,297.0759843,607.7363517,101325,0.129684752,0,NH3:1,"O2: 0.21, N2: 0.79",11.17930742494957,12.968475199999999,0.7026206304860743,0.005854975087864252,4.7812604608352156e-06,2.005168550164525e-05,7.048955774262316e-11,0.28898934268780196,6.370459759334444e-08,6.531702337629522e-09,4.873979794939293e-09,0.0024984376938253453,7.358058714116533e-07,8.461620907554853e-08,5.502305370642154e-06,5.372022302547783e-06,7.323512928906057e-15,9.853597129299784e-09,1.432184109671778e-15,1.559923579271396e-15,1.070783114746561e-13,2.751650046091516e-13,2.7264374350558532e-11,1.2866946606828433e-09
0,1.019186738,858,297.2704918,610.4448087,101325,0.129724848,0,NH3:1,"O2: 0.21, N2: 0.79",10.908433977801565,12.9724848,0.7006429666546772,0.009027484939160718,5.683486682264975e-06,5.647311742419524e-06,2.983048955447583e-11,0.2881495346939973,2.2989417139487694e-08,2.6147617754544476e-09,1.8373370701498878e-09,0.002160406418948153,6.217549245804193e-07,2.420656818216982e-08,4.803407522338019e-06,2.774620765299931e-06,5.352246019477684e-15,2.4050290786720648e-08,-7.914857487921728e-16,-1.0885769120917765e-15,1.3562724520587546e-13,3.305306211903658e-13,2.7895785552758134e-11,9.550086655065335e-10
0,1.038392492,818,297.2649254,609.9761194,101325,0.129833488,0,NH3:1,"O2: 0.21, N2: 0.79",10.681919682923478,12.9833488,0.6985597176344557,0.012584505611392172,7.575023693268027e-06,1.976561805175974e-06,1.993888981313672e-11,0.2871251322176662,1.3930882368784645e-08,1.3088641959274812e-09,1.0376244955394533e-09,0.0017148998213186045,4.992540975155132e-07,8.719591798030884e-09,3.995438654272573e-06,1.6227964721471045e-06,8.449597916346584e-15,4.995126355308035e-08,2.0242780249386027e-15,2.516246387535619e-15,1.9309463056797268e-13,4.400892811151334e-13,3.1158108512310356e-11,6.404755028832221e-10
0,1.050882449,782,297.2763158,609.5630326,101325,0.129944705,0,NH3:1,"O2: 0.21, N2: 0.79",10.568327358430452,12.994470499999998,0.6972169473762452,0.014959077392693273,9.755710202453991e-06,1.0935842992052656e-06,2.0222951775188217e-11,0.28641615218769323,1.2457198167162337e-08,9.045476564479069e-10,8.642518680896755e-10,0.0013919304556670648,4.1431920749923196e-07,4.824154659508736e-09,3.3728609995492365e-06,1.1621495652231902e-06,9.424736112134647e-15,7.439265977440404e-08,3.4009112555600696e-15,5.681378597322124e-15,2.6078857153432137e-13,5.643726730788641e-13,3.545988813488118e-11,4.6408872234309365e-10
