,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,O,O2,HE,AR,OHEX,H,H2,OH,H2O,HO2,H2O2,HONO,HNOH,HNO2,HONO2,HNO,H2NO,H2NN,HON,N,N2,NO,NO2,NO3,N2O,NH3,NNH,NH2,NH,N2H2,N2H3,N2H4
0,0.687574701,938,296.4140845,493.613615,100791.432,0.218063218,0.2,,,1.1764250962579e-15,0.046950826079375056,-1.6509652404259448e-14,-1.720330578689839e-14,9.663724719829258e-17,1.0969769699021776e-15,5.47954688875246e-06,3.5449744913557636e-12,0.22978752363666807,9.474281662869886e-15,1.6292407631523088e-07,5.880198471940602e-05,1.6533258577889382e-15,2.1505677259201472e-08,7.017573547435043e-07,9.445973935506763e-10,6.805852859554838e-14,8.565594244451695e-16,1.5326661056112103e-07,4.558498113400117e-16,0.7183973538278945,0.0046417206825959375,0.00010917672949679258,4.374737652000983e-16,4.807710852998541e-05,1.917276565862837e-12,9.707066041612592e-17,7.769752858615167e-16,4.2609110549574375e-16,7.768886138080307e-16,6.09345074012525e-16,7.952139151647331e-16
0,0.69954037,939,296.23,427.1768713,101724.686,0.244875764,0.2,,,1.0742197885229977e-15,0.04458275988833042,7.751499704637006e-16,6.7653064913713995e-16,1.9630608689801324e-16,9.394604088288332e-16,6.947289858141192e-06,1.843156044427154e-13,0.23245842016950907,2.5758308605482865e-15,2.0011954589769347e-07,6.776294297965141e-05,2.039635152629758e-15,2.5861426450356264e-08,9.198077026363133e-07,1.8534452223406075e-09,1.048848905146208e-13,7.576341369218346e-16,1.4998210566992136e-07,4.0740083276245414e-16,0.7179197395069489,0.0048078000418699165,0.00011695409924851889,3.857758278696881e-16,3.831843467289434e-05,2.0539024057954218e-12,1.9661481968222994e-16,6.82651414406428e-16,3.754163229805131e-16,8.278768696697433e-16,7.533829688486476e-16,8.563647998393241e-16
0,0.701401031,938,296.45,499.5408805,100791.432,0.225991659,0.2,,,3.575339129686413e-16,0.04454537321002647,-2.1334060570046253e-15,-2.437006135370154e-15,1.0414464214162819e-15,5.338554767038439e-16,5.764328448717086e-06,6.1756753987646255e-12,0.23306932915372458,1.2464171539831953e-14,1.6602103585251746e-07,6.12721383551063e-05,1.392455935947839e-15,2.2754701142559366e-08,7.154683394543113e-07,1.2134323263122384e-09,6.418856468102067e-14,5.207691281264683e-16,1.4765287935611517e-07,7.258092388855595e-16,0.7173039246094701,0.004885090631552324,0.00011052057349663864,1.0890056189574873e-15,1.7672237406293473e-05,8.745676852090215e-13,1.0413139610546777e-15,5.393024044858463e-16,7.463298151971477e-16,5.057057968249515e-16,3.9705684067912554e-16,5.189433784703872e-16
0,0.701552633,940,296.23,427.830636,101724.686,0.246122148,0.2,,,-7.624321335986243e-18,0.04423728894942668,-8.561561376764182e-16,-4.240526834462014e-16,-3.940058529647288e-16,-5.434267482344366e-17,6.9931616430051475e-06,1.975475781545431e-13,0.23292516881405528,1.3650707626164946e-15,2.0055854847021093e-07,6.815260948047907e-05,1.0301486596549124e-15,2.60671329500504e-08,9.218337671735938e-07,1.917971080427637e-09,1.0299743301123687e-13,-1.6261575730105314e-16,1.4916734171571536e-07,-2.7659082422297834e-16,0.7177672052660495,0.00484356146276142,0.00011712922418673586,-2.320125218637618e-16,3.3200965502506504e-05,1.8338566118744254e-12,-3.9407170584642655e-16,-1.5892604300553231e-16,-2.9363560061871606e-16,-1.5877684627715298e-16,-1.1647945199323218e-16,-2.1543063990140197e-16
0,0.718853047,922,296.5,503.8060847,100791.432,0.234770071,0.2,,,-6.103178441813281e-17,0.041461778439322354,2.4550848919251448e-15,3.2876910312581434e-15,-5.774371742172769e-17,2.9412467177859556e-16,6.391433045856037e-06,1.0592608418189668e-11,0.23723506097563934,1.7811001391148632e-14,1.7379124402306247e-07,6.482353140704403e-05,1.0475197216981244e-15,2.4516388737022883e-08,7.508677006039441e-07,1.7241152305003517e-09,7.520653283671261e-14,-3.3590455048544385e-17,1.416331047020143e-07,-1.761863719547271e-18,0.7159622646283709,0.005151163115874174,0.00011271109487508717,1.810215069520133e-16,4.7142378577273846e-06,3.6168352272690843e-13,-5.761201835099898e-17,-4.382554508898117e-17,-4.3866685215249495e-18,4.9150359098944e-17,6.198549794091902e-17,-1.3754437286974064e-17
0,0.737818465,918,296.5586735,508.0607143,100791.432,0.240693564,0.2,,,5.078969650755897e-16,0.03813514919626736,-1.0675807709145265e-14,-8.576832154926838e-15,4.492495568361526e-16,1.3274541168729715e-15,7.270902839636337e-06,1.7711679815714005e-11,0.24173416050606492,2.7736440018752922e-14,1.831600684949617e-07,6.853100078167983e-05,1.8095986903672498e-15,2.6350476410493508e-08,7.899688139624088e-07,2.5092677623176777e-09,1.0000715312592634e-13,4.3442168031123635e-16,1.360646270312988e-07,4.084459555372575e-16,0.7145386254625683,0.005399308330946303,0.00011476260254672544,6.470158017985331e-16,1.05392670061548e-06,2.0254564893025366e-13,4.500415535016108e-16,3.9878121040050776e-16,4.10258077881728e-16,4.3772640225639213e-16,4.740353481497897e-16,4.414764113639464e-16
0,0.748208474,911,296.14,436.6758924,101724.686,0.285810695,0.2,,,2.1510805245327287e-16,0.03574921336523771,-2.2394971780894703e-15,-1.4831602846368291e-15,1.9828066344745613e-16,3.1017478660236183e-16,1.0633592152002597e-05,1.4377696695744794e-12,0.24421459856585417,4.99850637941695e-15,2.4670547743028344e-07,8.230260164717669e-05,2.9974082976313412e-15,3.320227373860339e-08,1.15120597589558e-06,5.925158649477453e-09,2.107558664086646e-13,1.3855084186039486e-16,1.339628806598507e-07,2.2141675889977951e-16,0.7143142953112513,0.005501003521215805,0.00012481023639680146,3.217999819984307e-16,1.571802417710233e-06,4.0564657458490925e-13,1.987944885384994e-16,2.1794995418130576e-16,2.1954056824073572e-16,1.4805121077807943e-16,1.2940749274596395e-16,1.516395394052176e-16
0,0.753396318,923,296.5925,512.5994444,100791.432,0.244478419,0.2,,,3.931743824582173e-16,0.03537593709223667,1.0237731917994896e-15,1.598554163824292e-15,-8.327590899234056e-17,2.2533196824963355e-15,8.264602749839536e-06,2.8108950363860287e-11,0.245478855081063,4.084384775948469e-14,1.9262305933800923e-07,7.170800340975124e-05,1.92734759135708e-15,2.791015960048263e-08,8.269761153436651e-07,3.4731588539204528e-09,1.3111923745828997e-13,9.453210372132462e-17,1.319825470079032e-07,-6.71326933371271e-18,0.7133700257395418,0.005577358246925746,0.00011627330803736317,1.9029755550075922e-16,3.9493251337169623e-07,1.9388200414268688e-13,-8.31808219444027e-17,7.379581050990226e-17,-1.187558564778594e-17,4.6682489407098685e-17,2.8720903748208416e-17,4.7248837952868477e-17
0,0.789254238,924,296.6725,517.4427083,100791.432,0.241887234,0.2,,,3.2557846155975534e-16,0.02921564476199381,-9.948712874457701e-15,1.3945353963021723e-15,-4.864769237778245e-16,8.421737025933435e-15,1.1170159634284361e-05,5.2994814899995115e-11,0.25384721716523845,8.047338125812859e-14,2.130627031396634e-07,7.80048292330902e-05,3.4756547674861566e-15,3.0994930276580244e-08,8.880304811063402e-07,7.1187098119431506e-09,2.4792727543585e-13,-2.1746944269350493e-16,1.2431145155055334e-07,-4.0849592379099535e-16,0.7108366311866582,0.00589273375678514,0.00011713862437899481,-2.0216666912782128e-16,1.9594418682353007e-07,2.915065633849324e-13,-4.862142367015022e-16,-3.0790748701544097e-16,-4.139519253571869e-16,-1.9165586429806658e-16,-1.7286618376751262e-16,-1.7326975769592973e-16
0,0.797442954,929,297.4281609,444.1426108,102071.3232,0.213927657,0.2,,,1.5351044210228436e-16,0.028386958603122694,2.6106093571042594e-15,3.930392247672101e-15,1.7619982005298176e-16,2.589388982307716e-16,9.822246530340176e-06,6.617560268455991e-13,0.2546033569466729,5.059012036720203e-15,2.0004615392685756e-07,7.62371490401173e-05,3.1241648658473157e-15,3.035005810708729e-08,8.259312039868578e-07,6.585257483018214e-09,2.281802450210503e-13,8.937158184263608e-17,1.2480608810538378e-07,1.7661835793834508e-16,0.7108698377432108,0.00593753952614026,0.0001148911294826558,2.628603946774743e-16,1.6893587372437457e-07,2.5851412798444375e-13,1.7661164499485724e-16,1.6797726811765077e-16,1.7690754299154243e-16,7.663549473435529e-17,8.917532965620572e-17,8.167462930091891e-17
