,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,AR,N2,HE,H2,H,O2,O,H2O,OH,H2O2,HO2,NO,N2O,NO2,HNO,HNO2,HONO,HONO2,N2H2,H2NN,NH2OH,HNOH,NH3,N2H4,N,NO3,NH,NNH,NH2,H2NO,N2H3
0,0.648300715,1156,296.3240741,484.7467078,100791.432,0.198093657,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",18.934267005050856,19.8093657,2.4587650297825123e-15,0.7220181105633278,1.939221381469035e-15,5.261820713387888e-06,1.3887899911133785e-14,0.05420820288955037,2.469899195078061e-14,0.21997297204792415,1.992523362205002e-09,2.578369123114165e-07,3.4418556488288185e-13,0.00342812346324074,0.0002062361299745339,0.00011637113602793806,3.0994357440893206e-10,1.1716496576813623e-07,4.1314660216588476e-05,3.029978534682316e-06,4.1961224311444984e-16,2.196750739024399e-16,1.3472733805506015e-15,1.5918553467152357e-15,5.668372990650824e-12,9.881987872391838e-17,6.336393773601164e-16,1.1507677156604121e-14,5.370105642339524e-16,4.51469247554764e-16,6.016115899977512e-16,7.148135664525976e-14,9.790986047533699e-17
0,0.687574701,1092,296.4140845,493.613615,100791.432,0.218063218,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",21.355814958971337,21.8063218,9.816786236527999e-19,0.7190757264285963,4.083924848824053e-16,5.939044551493521e-06,4.3752976817344966e-14,0.04753988147938189,7.367245837780229e-14,0.229154320827631,4.150182755935704e-09,2.725876589629252e-07,7.249247665804368e-13,0.004039081493913032,1.3322321159357786e-05,0.00012125302507261126,6.431210085817865e-10,1.3425128867992244e-07,4.689634718577707e-05,3.1673987345214837e-06,-9.289803033719175e-17,-6.055162265279924e-17,6.368247089280031e-17,5.460965817930481e-16,6.347864857584966e-13,-7.297762105582435e-17,-3.2694952514849173e-16,1.7948919923506e-14,-4.979989532033723e-16,-5.462277376327723e-16,-2.713796894751243e-16,2.864303707677211e-14,-7.230219443147262e-17
0,0.701552633,1114,296.23,427.830636,101724.686,0.246122148,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",24.406187625423627,24.6122148,-5.31898729289829e-16,0.7184397227018576,-5.590829299707673e-16,7.724947164931733e-06,4.873436940751402e-15,0.044746765542472866,7.38268995956874e-15,0.23243146357723696,1.0337541423101164e-09,3.3919524891734297e-07,9.40003977759816e-14,0.004177377042375027,9.262480877250351e-06,0.00012989385041355464,1.2044167252115852e-09,1.551085977463623e-07,5.314675593560808e-05,4.146558852952615e-06,5.268374207085649e-17,4.9896768185330157e-17,2.37538840667529e-16,9.550163893579782e-16,6.352984057448816e-13,3.745217266725733e-17,3.513593639121459e-16,1.0105747605931817e-14,7.069701598753639e-16,7.565219235465433e-16,3.149901508039137e-16,4.201817209155182e-14,3.7730215646055126e-17
0,0.737818465,1100,296.5586735,508.0607143,100791.432,0.240693564,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",24.159913427570928,24.0693564,1.0521793109757448e-15,0.7153596278869305,7.833661443102089e-16,9.108829466101757e-06,3.3022118824562387e-13,0.03852344772082684,4.695703397917868e-13,0.24136797316424147,1.2541282072543596e-08,3.355378663517896e-07,2.7304577348510566e-12,0.004550227537352309,4.48299070937467e-07,0.0001296835480725194,2.035386508539251e-09,1.6229354279114295e-07,5.5080814896962823e-05,3.889787224124954e-06,2.2674744907729815e-16,3.5494037088674364e-16,3.21323932667656e-16,1.5658791805613511e-15,1.9001085854031247e-13,2.29713515301023e-16,4.0447420213170168e-16,5.363101341065724e-14,3.7285633726957617e-16,3.7627236191108804e-16,4.1670332221130175e-16,6.014456809019721e-14,2.3023825165868684e-16
0,0.753396318,1107,296.5925,512.5994444,100791.432,0.244478419,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",24.67623247898746,24.4478419,-2.8214801449987767e-15,0.7142450052121884,-2.526561305585354e-15,1.0559152395946799e-05,6.045844816559548e-13,0.0357575920608282,7.891133513771231e-13,0.24512052303870321,1.702303729965396e-08,3.57968439866473e-07,4.01148716262256e-12,0.004672498358213772,2.871244541073162e-07,0.00013134712924302777,2.906750461655962e-09,1.7138153945389855e-07,5.7518493997279254e-05,4.120144427853213e-06,-2.192071529614683e-16,-1.982494676357885e-16,-1.1804931436016637e-16,1.584610119552917e-15,2.2734875702434506e-13,-2.2789504650726994e-16,-2.8122337864645155e-16,7.186519595947433e-14,-3.710438483629805e-16,-4.007515711889983e-16,-2.5329248398022153e-16,8.267039176732858e-14,-2.2772838530711573e-16
0,0.789254238,1109,296.6725,517.4427083,100791.432,0.241887234,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",24.569072048585213,24.1887234,-3.170054701662045e-17,0.7117955672165163,-4.853046906078641e-16,1.4751496463042716e-05,1.8069666629827968e-12,0.029564641407734665,1.7350228976043136e-12,0.25353126802976717,2.711770140980573e-08,4.076589157570572e-07,7.296093498801144e-12,0.004893868739433624,2.3098889936791025e-07,0.00013198916626080536,6.371703413256515e-09,1.922187562286138e-07,6.251312595166166e-05,4.536450351416431e-06,2.6047524632687505e-16,3.428812464028808e-16,4.705003285278926e-16,4.186754499225799e-15,4.0148487218309146e-13,2.9252262319841415e-16,2.622132920269158e-16,1.1702841123951107e-13,2.6772377277003513e-16,2.8008505463644343e-16,2.7799875345286633e-16,1.8162328496786612e-13,2.9543215289630174e-16
0,0.805892891,1105,296.7090278,520.5979167,100791.432,0.236942403,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",24.046000048156657,23.6942403,-9.6002881986484e-16,0.7106971931010484,-5.664508635376226e-16,1.7390541789927214e-05,3.0793191182039307e-12,0.026767575838657593,2.4857685662015858e-12,0.25735207532956683,3.342258532888081e-08,4.311094229500769e-07,9.748367019084455e-12,0.004965009518207802,2.2493775073321604e-07,0.00013060850757818615,9.249294050759435e-09,2.0256623858023057e-07,6.457253852040271e-05,4.673323066752909e-06,-2.9387580956202514e-16,-2.629597644756531e-16,-7.735505747633493e-18,5.482673373966454e-15,5.3986664035406e-13,-2.9606172288971514e-16,-2.209058010701005e-16,1.4305437799500936e-13,-1.1004106957086782e-16,-7.18943242667627e-17,-2.575254822701672e-16,2.739346011551979e-13,-2.960985969763592e-16
0,0.848939565,1072,296.18,449.0567514,101724.686,0.315656733,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",33.21538741246218,31.5656733,1.4016443900196226e-14,0.7085237023566475,1.273544065502576e-14,4.623143478911462e-05,6.03820857852593e-12,0.01830238394395458,1.986422753299742e-12,0.26784777830860035,2.6070262146598833e-08,7.436198945385483e-07,8.603759723462217e-12,0.005065820329422083,2.886338590220418e-07,0.00012074981639288754,8.123139042610328e-08,3.3602791070685346e-07,8.45342737974161e-05,7.323927272488808e-06,-2.6980659614048027e-15,-2.5526749415769432e-15,3.221234418357801e-16,7.917843215478032e-14,3.838829628082342e-12,-2.7390952519637532e-15,1.2141015250285797e-15,2.8334428372179554e-13,6.306647314817653e-16,4.689011305198143e-16,1.1447233712874166e-15,4.9568851963739455e-12,-2.7709757120157367e-15
0,0.900395628,1073,295.6,458.2683521,101724.686,0.33755166,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",36.07877235063347,33.755165999999996,-2.5684766047898633e-16,0.7053311858271029,-1.3803707443574156e-15,0.00014292630671369782,5.948252189280195e-10,0.009218968852417422,2.5997368473135688e-11,0.28013292437202814,1.1217352023692596e-07,1.0420180925703316e-06,2.71289162985211e-10,0.0049907777809660775,3.951853502656393e-07,7.084903677830989e-05,9.682396122800865e-07,6.874102922842765e-07,0.00010248815311147741,6.673392593788417e-06,-3.75239301763239e-15,-2.8585171690824596e-15,8.793529468940275e-14,3.2670989405490417e-12,4.6067912362749613e-11,-3.5728858764725835e-15,-2.968509814161411e-15,1.0388512926555848e-12,-2.0194445299865447e-15,-1.7154892514826821e-15,-2.506224074211877e-15,3.088701052936057e-10,-2.4636447527849877e-15
0,0.945390252,1104,297.6387974,473.2779517,102071.3232,0.240919822,0.2,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",24.482034010319012,24.0919822,-2.3814643067168308e-14,0.7027246018648738,-2.156996693054695e-14,0.0004021678587303818,4.907058041309981e-08,0.003136988687755767,7.008180830352691e-11,0.28883189858049546,3.326806778639545e-07,7.802090082884432e-07,6.842925859762793e-09,0.00476460714993463,7.10890811175764e-07,2.276226240080552e-05,5.188088663059395e-06,6.824350937964288e-07,0.00010664351354841106,2.5743544407794306e-06,-4.567147743363163e-15,-9.290118648152907e-15,1.7748730893781078e-12,4.7898856624475844e-11,4.2771912458536246e-10,-8.957779168811888e-15,-1.4046897258316498e-14,1.0780533025032373e-12,-1.4787017456884936e-14,-1.4726858861761155e-14,4.2036652365847735e-13,4.9612122963321955e-09,-1.4552232635757986e-14
