,phi,grid,T_in,P,blend,fuel,oxidizer,T_max,flame_speed
0,0.9,869,298,100000.0,1cfd_1atm,"NH3: 0, CH4: 1","O2: 0.21, N2: 0.79",2137.269303206091,0.32736394681376485
0,0.9,826,298,100000.0,1cfd_1atm,"NH3: 1, CH4: 1.579658482","O2: 0.21, N2: 0.79",2088.9007333903455,0.2026295167257289
0,0.9,765,298,100000.0,1cfd_1atm,"NH3: 1, CH4: 0.592371931","O2: 0.21, N2: 0.79",2056.282914625876,0.14090731326822345
0,0.9,753,298,100000.0,1cfd_1atm,"NH3: 1, CH4: 0.263276414","O2: 0.21, N2: 0.79",2026.7130946509758,0.10167714584486742
0,0.9,820,298,100000.0,1cfd_1atm,"NH3: 1, CH4: 0.098728655","O2: 0.21, N2: 0.79",1998.1647629861766,0.07561946062770449
0,0.9,708,298,100000.0,1cfd_1atm,"NH3: 1, CH4: 0","O2: 0.21, N2: 0.79",1969.8676203914522,0.056240600163168945
