,phi,grid,T_in,P,blend,fuel,oxidizer,T_max,flame_speed
0,1,780,298,100000.0,0.0,"H2O:0, NH3:0.7,  H2:0.3","O2: 0.21, N2: 0.79",2126.355261183096,0.15579181093492342
0,1,760,298,100000.0,0.1,"H2O:0.0721649484536083, NH3:0.649484536082474,  H2:0.278350515463918","O2: 0.21, N2: 0.79",2095.7166763683563,0.14152867153461213
0,1,803,298,100000.0,0.2,"H2O:0.148936170212766,  NH3:0.595744680851064,  H2:0.25531914893617","O2: 0.21, N2: 0.79",2059.099750463129,0.1254754210846121
0,1,858,298,100000.0,0.3,"H2O:0.230769230769231,  NH3:0.538461538461538,  H2:0.230769230769231","O2: 0.21, N2: 0.79",2014.2531262905939,0.10748131991278087
0,1,829,298,100000.0,0.4,"H2O:0.318181818181818,  NH3:0.477272727272727,  H2:0.204545454545455","O2: 0.21, N2: 0.79",1959.0477454259265,0.08742136456966373
0,1,769,298,100000.0,0.5,"H2O:0.411764705882353,  NH3:0.411764705882353,  H2:0.176470588235294","O2: 0.21, N2: 0.79",1887.5239108502287,0.06548022136604278
0,1,817,298,100000.0,0.6,"H2O:0.512195121951219,  NH3:0.341463414634146,  H2:0.146341463414634","O2: 0.21, N2: 0.79",1791.5279777850396,0.04210707837655899
0,1,747,298,100000.0,0.7,"H2O:0.620253164556962,  NH3:0.265822784810127,  H2:0.113924050632911","O2: 0.21, N2: 0.79",1653.7728525250036,0.01947310079814939
0,1,712,298,100000.0,0.8,"H2O:0.736842105263158,  NH3:0.184210526315789,  H2:0.0789473684210526","O2: 0.21, N2: 0.79",1441.0545358345314,0.0030413418459527154
0,1,569,298,100000.0,0.9,"H2O:0.863013698630137,  NH3:0.0958904109589041,  H2:0.0410958904109589","O2: 0.21, N2: 0.79",1080.2358091101441,1.1432658754344873e-05
