Mech,Error
Otomo,56.774764746312236
Wang,49.71433103576042
Gotama,351.02522601585326
Jiang,517550.30924935755
UCSD,92379.56320355136
Nakamura,202.72316506752537
Zhang,579.0765183295097
Okafor,106.14098157639896
