Mech,Error
Otomo,722.9272077010573
Wang,372.19146168944513
Gotama,497.50509849759226
Jiang,29228.162693401682
UCSD,3340.161481503134
Nakamura,3298.9205626656535
Zhang,694.5049188404794
Okafor,2742.9390965847015
