Mech,Error
Otomo,98.11603327912576
Wang,76.04200568182802
Gotama,247.49076262289077
Jiang,3796.0158949754587
UCSD,548.0135138926164
Nakamura,171.5553296211314
Zhang,182.6829518059952
Okafor,193.94494236812568
