,NO,NO2,N2O,NH3,H2,O2
Otomo,32.91605104778722,23.406150106764528,0.4089734155581848,12.2739324975122,0.9393712366935819,5.510458504276669
Wang,24.637701326279178,11.21089995001941,0.29496298053291703,6.985251606639416,0.7623558655731781,5.257708885515367
Gotama,3.7665007663882784,11.721600760185867,4.281954006113155,89.41833571406502,3.8155489948129166,3.5022044804751755
Vargas,21.226722960016026,6.541540884417535,2.9080746273530673,171.04444484076728,5.448189220085572,3.416650933145515
Stagni,24.238351610904115,7.147224900731844,3.0821708661953844,149.71462695258055,2.9450949396104917,3.7921046604452058
Jiang,49.12890796922345,16.80694931823689,11.436644979101615,213081.01363725498,30.497049689417388,3.6327520909507647
UCSD,24.526403959063895,31.796789031833658,6.570924159005074,64576.5649443608,19.898843513882944,4.09194783247005
Nakamura,35.01945972150405,51.68055578752221,0.04785610064042989,7.200974821369181,0.5321587055139766,5.2319311892322355
Zhang,3.5349629469617554,15.824472398288005,0.8002351623048789,162.8772014738212,4.649908474569181,4.432633498201167
Okafor,12.422279719914263,20.018553309342664,0.3266865741714248,56.594535027253976,0.7992306138590147,6.519008118323893
