,phi,grid,T_in,T,P,vel,blend,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.83038489,996,296.6941652,505.7769898,101058.076,0.165602534,0.1,0.7116458394233124,1.0382796105594375e-14,9.779049520983742e-15,6.528208670573466e-15,0.022024841906415838,2.3774943265601335e-11,-6.000921920906901e-16,1.563142439984069e-05,0.26094170697712943,1.0933818974707128e-14,2.1871541109643078e-07,9.122739696292018e-15,1.406506470602727e-12,6.157484659673805e-17,4.1334676233295125e-16,-4.203647599647569e-16,-3.530002734680442e-17,-7.708142112434797e-16,-3.0149489693582216e-16,4.1213738892426623e-16,7.941331663351093e-15,-2.070404050129455e-16,1.7221361080486534e-17,-1.5244685262565291e-16,3.918282278256535e-16,2.7815199554736537e-17,-1.181308646670848e-16,-2.0095314098874614e-15,-1.0360781596758412e-17,-1.977687610550783e-16,1.0494164127314764e-14,1.5783389268299237e-16,7.463677492179099e-16,3.260801160456363e-16,1.6807033374111464e-16,-1.497699660815273e-17,-1.6254600791746677e-16,-1.1583964817934575e-16,-1.1186293081502525e-16,-5.6865862300266285e-18,-8.532905335381106e-17,6.175896473805387e-17,-5.966180626773053e-16,-1.2208666911976204e-16,-5.959998312768981e-16,-5.023597597163265e-15,-1.0248790926968583e-16,-1.400856825905546e-16,8.411967091817787e-17,-3.7508881777868973e-16,1.1531728291567048e-15,-2.4541492768706927e-16,1.0711654483811418e-16,2.7659797524500823e-16,5.10688820282154e-16,-4.242003293134411e-16,3.788574183044179e-16,-1.0985791175726219e-15,-1.9054902149712572e-17,6.61669699387087e-17,0.0051925818933926575,0.0001047626154657011,1.9975536924506386e-07,1.5999094106606876e-13,4.965015828717749e-09,1.6913622767769635e-14,4.1428586497622006e-16,-6.590077868962621e-17,1.0359596247709557e-16,-1.223649324892871e-16,-8.706005940171665e-17,-1.6399123407762407e-16,-1.221062081375399e-16,7.411157276728814e-05,7.146942624057296e-17,3.3490830372980404e-11,3.590026321953931e-11,3.266588080369513e-16,1.0065651502227044e-07,2.352155365472038e-16,3.390725475218204e-16,-1.7236295512965574e-16,-1.2576254990752645e-16,-1.0422995878205566e-16,-7.496362790904851e-18,-2.9001395891527733e-16,-6.566840150245471e-17,-5.347319763520561e-16,3.795939614950049e-16,1.3328847494302925e-16,-7.639896839697107e-16,0.9,0.1,0.21,0.79
0,0.850386362,999,296.5362425,510.9972082,101058.076,0.173215634,0.1,0.7103343215718231,-2.2823831976293117e-15,-2.3217496967698453e-15,3.3985257255414365e-14,0.018488828097543222,5.219280295975355e-11,8.701182758596058e-16,2.200191749729481e-05,0.2656806768457484,3.9771951495874014e-14,2.4999095875247523e-07,-1.2156287890411097e-14,-2.1362878736126387e-12,2.0775252210839794e-15,2.272841816476395e-15,4.1259034711910566e-16,7.594202375920284e-16,-1.0091222579638197e-14,1.7755576248977605e-15,2.272509240135558e-15,1.0210903992364929e-14,6.54362478455668e-16,1.8977070616921685e-15,8.037338535387308e-16,2.266710634855709e-15,1.0043587931033295e-15,1.7805768933885548e-15,-6.6240622688433565e-15,1.9139365365154447e-15,1.1581130232560899e-15,-2.203871611117804e-15,2.1583685377060795e-15,8.421291384119969e-16,2.2448208008315942e-15,2.145322081618308e-15,7.777348796208403e-16,-6.173138101785344e-17,1.6452856759793228e-15,8.109055910364173e-16,6.427750968598188e-16,1.7017790527205361e-15,2.114416526528921e-15,1.2429953184297968e-15,8.627978668060385e-16,1.1830201132939656e-15,3.2630142253219193e-15,8.263190389262421e-16,1.492375701205518e-15,2.0492289431714395e-15,9.372097663001003e-16,-3.3183342741095634e-15,7.894386595917439e-16,2.087790241920355e-15,2.214478549828269e-15,8.661259927220926e-16,-8.180883064027635e-16,2.2536583697773463e-15,-3.65158860205275e-15,1.904562458498567e-15,2.0722722578711023e-15,0.005291884370630465,0.00010116771167433283,2.0395652333600184e-07,2.51500548816009e-13,8.4142133150474e-09,2.4259370861067034e-14,2.272737293385903e-15,1.790759819312441e-15,2.111722160861767e-15,7.579649056148002e-16,8.745239993094008e-16,7.040431916183658e-16,8.970149776987232e-16,8.055705873159497e-05,1.0370151581708358e-15,2.8626475590677946e-11,3.147669390157298e-11,2.300401803885726e-15,9.995410106100373e-08,2.192055925273334e-15,-1.4405185278862898e-16,7.036416157820714e-16,6.14036644910164e-16,9.214452782805931e-16,8.313623332345417e-16,1.2278965077044574e-16,8.315895822780109e-16,-1.3706227235427762e-15,2.2327073743471336e-15,1.1056916939971603e-15,-2.6861342909659654e-15,0.9,0.1,0.21,0.79
0,0.899528248,1012,296.55,548.3044977,101058.076,0.195013434,0.1,0.7069817256101525,-2.909710656493785e-15,-2.237007227928967e-15,1.126651476817943e-11,0.009767454280287061,1.0529722729145416e-09,5.52772021531487e-14,6.922557175837845e-05,0.27768474414107525,4.9709462452585436e-12,3.6231345400952415e-07,5.1563196942408154e-15,3.297674455133586e-12,1.4829864493546894e-15,1.0970173109777202e-15,1.7080434096841188e-15,1.2850550101720592e-15,2.382421846640485e-15,1.9343911815363386e-15,1.0983255301227312e-15,-2.0614229479912834e-15,1.4527386649289627e-15,1.7217961513830434e-15,1.3962438039741374e-15,1.1200167449065344e-15,9.580884594099216e-16,1.4362124455875555e-15,1.406221110855659e-15,1.606222080502672e-15,1.5233814592172822e-15,-2.8533645723650593e-15,1.3435999723568817e-15,2.129920118987221e-15,1.1813184459062871e-15,1.4533273503592823e-15,1.4682928268723666e-15,1.4970179154512578e-15,1.5873434170967142e-15,1.5907362334410404e-15,1.5178392234830826e-15,1.6478598087777878e-15,1.2493582237568897e-15,1.9518610933292694e-15,1.5084111815455796e-15,1.882817218666465e-15,4.6871435429507374e-15,1.6583657991647585e-15,1.6118362289199584e-15,1.5313625929284544e-15,1.7172303587962604e-15,5.162698684193298e-16,1.4085813200202178e-15,1.5302503927736234e-15,1.3375207105435245e-15,1.3427623659517886e-15,1.783566073803958e-15,1.270251993667235e-15,2.3013773553628863e-15,1.6021489568013083e-15,1.439700419126248e-15,0.005326474582921266,6.935015339185509e-05,2.2457463565936767e-07,1.2526027513580471e-12,5.844781915382063e-08,6.564343661532722e-14,1.1016057058674882e-15,1.6029933345059593e-15,1.4043836646424116e-15,1.3794006365131579e-15,1.4360196954547237e-15,1.378318347490559e-15,1.458214673503974e-15,0.00010027941172133589,2.8864920424099942e-15,1.2512374494403512e-11,2.4916368886669003e-11,1.4901297775435805e-15,9.980137588999077e-08,1.3794222508826125e-15,1.8337268034592143e-15,1.3681873279289263e-15,1.3482823334838025e-15,1.4579208654521781e-15,1.5575166228536362e-15,1.4924349795584664e-15,1.4942311767937346e-15,1.479087095924785e-15,1.2739235400856091e-15,1.6549171484615785e-15,1.4220875314890358e-15,0.9,0.1,0.21,0.79
0,0.949139785,968,296.7,570.8110924,101058.076,0.211743555,0.1,0.7037278277301621,-1.7737616478802988e-15,-1.1682438294863604e-15,2.3254670700847106e-07,0.001600021223604315,1.3699617419767238e-07,2.640061386236449e-11,0.000635607992632308,0.2888766195847183,1.467897654071342e-08,2.6386143829012626e-07,-3.3025177021684357e-15,7.196901075115847e-13,-2.1805541790134284e-15,-2.33497244186529e-15,7.416423977638542e-16,-8.270572420444831e-15,1.632070275880819e-14,-2.0763863563327798e-15,-2.3336190733370718e-15,-2.671471334954437e-15,-2.0535726276043405e-15,-1.7694806264774799e-15,-4.441815632021643e-15,-2.3504393932231737e-15,6.442784321082743e-16,-2.3599336860497603e-15,1.633994611595159e-15,-2.198058132872678e-15,-2.6862615485565703e-16,-1.8023272534202066e-15,-2.3074155431059197e-15,-1.3785400697897002e-15,-2.3749942856122117e-15,-2.21292018795579e-15,-2.7024937181370627e-15,2.7790690732538077e-15,-2.1549392484930027e-15,5.484527364032641e-16,-9.324366969240903e-16,-2.035379726712191e-15,-2.377021640360277e-15,7.246656925172255e-16,2.7523700675135415e-16,-2.413512887959749e-16,1.584455353116979e-14,5.919347065512947e-16,-1.2321160614759644e-15,-9.841672056073185e-16,-1.7197177361533486e-15,2.0419883932749637e-15,5.70228858235016e-16,-1.707861553225726e-15,-2.1707056030028603e-15,4.740167219941385e-15,2.6948644791603666e-15,-2.1902882565531703e-15,3.5085956930878633e-15,-2.202129834825603e-15,-2.2207442812950926e-15,0.005025825328883667,7.688773265975404e-06,5.157031242389415e-07,5.674615437929175e-11,3.686534844669456e-06,7.625640501977198e-14,6.167196229363939e-15,-1.9245500118741533e-15,5.770436890059173e-16,6.685508412490095e-16,-2.205910078152349e-15,4.680829577308182e-16,-5.14413824864683e-17,0.00012145657447580353,3.75503681813323e-14,6.087713652870895e-13,1.1847380899081817e-11,-1.8672806369185043e-15,1.0237456618439105e-07,-2.173254516214116e-15,-3.942380051280231e-16,5.313057933542443e-16,7.907554651370573e-16,-1.6827591471794769e-15,3.420554104053808e-16,1.4913944750262205e-15,3.6908621720711965e-16,2.3079514550427698e-15,-4.6999858987932e-16,4.7965717781743904e-17,1.0103821301185685e-14,0.9,0.1,0.21,0.79
0,1.000324969,1041,297.3100962,585.6070246,101058.076,0.222146603,0.1,0.698812201420633,-7.317912521708696e-15,-6.4652861086419275e-15,5.4136998660333524e-06,1.2392065405644897e-05,2.3563343184761845e-08,6.361646880397334e-12,0.007892107568124744,0.28902802219052437,2.8808583887732154e-09,3.596606032799229e-09,-8.64755615965759e-13,-8.308084827461478e-12,-7.933339141721749e-17,-7.451928155349296e-16,2.2521343937155863e-15,-4.9704241577574886e-15,5.414323464161138e-15,8.100229970384761e-16,-7.441985509057768e-16,2.3970745306743716e-15,3.167083007907767e-16,9.37410936935975e-16,5.623450767261174e-16,-7.156859411830064e-16,6.117274916548441e-16,-5.9324392429956955e-16,1.0157776825353934e-15,-3.86560725963204e-16,8.240473618896044e-16,-7.497429862703755e-15,-3.7175401642621845e-16,5.687941021817018e-16,-6.509925284253193e-16,5.478335805686092e-16,7.363487499756583e-16,8.562448346666641e-16,-2.1766320328408042e-16,8.68818315826193e-16,9.366875227091056e-16,6.152487232934684e-16,-6.781528853054526e-16,9.078316446675161e-16,7.820821953343812e-16,4.4005711553649293e-16,1.32962987933997e-15,8.891116820466287e-16,1.1138051849358097e-15,1.3593318145754374e-15,3.892113787089406e-18,1.0136674014566266e-15,8.989137203765045e-16,2.061997210872674e-15,8.099245356732135e-16,8.578787239895652e-16,1.1717943861159264e-15,-2.4937464122901305e-16,8.991617225304829e-16,8.471084218806744e-16,4.1025878472070617e-16,0.004230371851173364,6.141607001170486e-08,1.3674294654626255e-06,1.0194965164386545e-08,8.207366340346626e-06,1.1316308097793663e-15,2.2699968824965637e-13,1.0878014216284995e-14,2.5455505964986146e-13,1.271931393341255e-15,-5.032055724485105e-16,9.48701377842518e-16,6.350142324726027e-16,9.706357531378631e-06,5.4171248271587375e-15,2.218918711976441e-14,1.8479232942620432e-13,-4.539743440897749e-16,1.0840117155937339e-07,9.667399715795976e-17,4.162002876441472e-15,8.66064397339972e-16,8.376657880140719e-16,6.159757690824155e-16,7.016434546983062e-16,1.2770304058401214e-15,7.639848329633826e-16,7.374830564871003e-16,3.83364758757178e-15,1.0012400646201282e-15,4.96198826363178e-15,0.9,0.1,0.21,0.79
0,1.051014449,1074,296.8,595.4044369,101058.076,0.234586865,0.1,0.693332606376092,1.0172249231943341e-14,6.643297455317391e-15,1.1540918763038774e-05,1.106097380187698e-06,9.717496077133392e-09,4.227558427774516e-12,0.017678857670758844,0.28629033981843205,7.869031765121965e-10,7.552224500106034e-10,1.5164699880888276e-13,5.974204077346569e-13,2.737417362036497e-16,6.716763317139662e-16,-1.4053623112686755e-15,2.5226589120410672e-15,-2.780618232123067e-15,-3.1895990860581696e-16,6.713401222217839e-16,-1.2552339811118229e-15,-4.340281283342881e-18,-3.0859912466506453e-16,3.449332185320025e-16,6.702154323283643e-16,-6.612923897153726e-16,6.603900952398367e-16,-2.58448274767416e-16,6.189704289843967e-16,-2.723513793254384e-16,1.0670999009589089e-14,5.220575235623784e-16,-9.323498129382092e-17,6.626366917889897e-16,-8.255729735043128e-17,-2.192945658342359e-16,-2.4333671063940946e-16,5.278529788226914e-16,-2.1680296074125633e-16,-3.604524052705968e-16,-1.2116916203366328e-16,6.69792640997399e-16,-2.943462449107922e-16,-2.295357403340162e-16,6.8813616237947406e-18,-4.6837081296584515e-16,-1.8657068437692383e-16,-6.94952390664187e-17,-7.326615613633975e-16,3.6617747087940525e-16,-2.5767275034535497e-16,-2.6557039572609383e-16,-1.1363664238146669e-15,-3.9355037103168973e-16,-1.601891435445341e-16,-4.067401318980017e-16,5.647204753429487e-16,-3.5025801700806797e-16,-2.174390522513565e-16,6.912657395096443e-15,0.0026756605703572986,6.394031884126874e-09,1.0771612875408495e-06,7.823016998734468e-08,5.6432076167732624e-06,-1.2658041212268445e-16,5.28989268459126e-13,6.45458954569108e-14,7.742769943187304e-13,-1.4343092090593114e-16,6.537641810601569e-16,5.632398214346911e-16,-1.3579286966222232e-16,2.9526285882922546e-06,6.562454866862926e-16,2.472084481521703e-15,1.934778791214688e-14,5.651272913065882e-16,1.196605086730308e-07,2.2931323913919304e-16,-1.35427265113429e-15,-2.682758256217015e-16,-2.6556586256437494e-16,-1.666603608711055e-16,-1.8138421479601236e-16,-5.763057356931288e-16,-2.2722379807306394e-16,-1.8186899416197316e-16,-1.0864128701204428e-15,-3.3094839452891054e-16,-2.3580810689773003e-15,0.9,0.1,0.21,0.79
0,1.098083066,941,295.4169142,587.3681793,101058.076,0.233455974,0.1,0.68872575205793,-5.530155632418296e-15,-5.124363940820861e-15,2.629121423049152e-05,2.1788526814302095e-07,9.836302972540027e-09,1.5507395318415734e-11,0.026168575790591,0.28396895805836714,6.498338885548685e-10,3.00558086174597e-10,-1.0382393496972767e-14,7.26603131253596e-14,-6.645096076254266e-15,-6.45236800154382e-15,-6.330185011007229e-15,-1.1133184486017584e-14,-4.04619351673273e-15,-6.9318358363831976e-15,-6.4525521954557635e-15,-6.062518314561941e-15,-6.708015265901671e-15,-6.773979233287284e-15,-5.390090738913909e-15,-6.46667291258459e-15,-6.404637165192342e-15,-6.502649638360962e-15,-6.3568736732953004e-15,-6.491574249166976e-15,-6.44955691571647e-15,-5.596586790538069e-15,-6.6597493539719165e-15,-6.622807438102018e-15,-6.4925229990831286e-15,-6.6694431482862336e-15,-6.337546072770278e-15,-6.196912266032609e-15,-6.629726564297179e-15,-6.175399300472379e-15,-5.795757254570642e-15,-6.628490593359328e-15,-6.467070223101821e-15,-6.16619014439577e-15,-6.37579047195969e-15,-6.679645246769986e-15,-5.8401475929432105e-15,-6.1080357169526805e-15,-5.943580804885968e-15,-5.898015409237822e-15,-6.676084569557903e-15,-6.308446300860576e-15,-6.153742679938733e-15,-5.4458911277510866e-15,-5.474535459008227e-15,-6.108410285002456e-15,-5.735973687345767e-15,-6.620431193353612e-15,-5.5200544476837366e-15,-6.1714775969639184e-15,8.76803810666917e-14,0.0011031866827215092,1.2069139539581375e-09,7.747457373909659e-07,2.3887971784510946e-06,2.775705210846805e-06,-6.235560283612714e-15,1.1035389249970527e-12,7.754438813723651e-12,1.8788670255803184e-12,-4.887304224197133e-15,-6.4696209920527575e-15,3.523736335940585e-14,-6.620907301005246e-15,9.34917870667491e-07,-6.0038075344063456e-15,-6.166092086923018e-15,-2.5760199079718635e-15,-6.6395240817819456e-15,1.3212528184638175e-07,-6.689960282151237e-15,-9.101837634512804e-15,-6.262115418824023e-15,-6.343135891595116e-15,-6.526218751610203e-15,-6.5323921676042066e-15,-6.2019553145765974e-15,-6.078814720787157e-15,-6.56770885477283e-15,-7.397413252568983e-15,-6.124382163141931e-15,-4.9106317738067504e-15,0.9,0.1,0.21,0.79
