phi,phi Er,fuel,oxidizer,blend,T_in,T,U,P
1,0,"H2: 0.42, NH3:0.44, N2: 0.14","O2: 0.21, N2: 0.79",0.56_dissasociated_eq1_750K,750,750,0.383,101325
1,0,"H2: 0.42, NH3:0.44, N2: 0.14","O2: 0.21, N2: 0.79",0.56_dissasociated_eq1_450K,450,450,0.383,101325
