phi,phi Er,fuel,oxidizer,blend,T_in,T,U,P,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
0.6,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.08,493.52,0.25481,101325,226897.4996,9497.801657,6062.538978,148.2141588,160.6172474,26.13289295,97.187751,26.09045229,4.607617785,0.524070702,-0.071701193,0.521318795,6.497874159,0.656023968
1.25057,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.08,561.88,0.38279,101325,279152.0765,7149.077326,27.90812646,10.01387316,0.452462562,20.02576715,5.543510815,20.02578654,2733.16589,101.0736189,7.268975541,0.402190375,0.125743428,0.500644577
