phi,phi Er,fuel,blend,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
1.07438295,0.004940095,"CH4: 0.612351787, NH3: 0.387648228",0.2NH3,297.0366815,475.6795387,0.264841378,102071.3232,77.82686117,81.75474371,299759.286,8117.255584,2182.170038,115.8248818,3.778880406,4.586339736,2.093601649,2.251803295,6.888923886,0.49836677,3.191447973,0.227745765,0.274645341,0.2812575,1.97E-05,536.9126989
1.077042108,0.00502758,"CH4: 0.612351787, NH3: 0.387648229",0.2NH3,297.0077519,474.9684109,0.264314906,102071.3232,77.31895214,81.27470218,301081.6242,8173.543134,2158.723354,117.2725579,3.802956378,4.605667726,2.079494689,2.251763055,6.728522971,0.46147142,3.213743066,0.235746193,0.263839156,0.281055964,1.97E-05,535.6010774
1.09802846,0.005049862,"CH4: 0.612351787, NH3: 0.387648230",0.2NH3,297.19,478.0343468,0.406418289,101724.686,86.29265781,100.0083054,298502.3621,7207.143422,1485.634618,107.8054579,2.32166113,4.131446708,1.582109635,2.00593178,8.120278073,0.446336869,3.778374751,0.2,0.18898804,0.250070846,1.98E-05,820.6031173
1.101303302,0.005225503,"CH4: 0.612351787, NH3: 0.387648231",0.2NH3,297.21,478.9139327,0.409270326,101724.686,86.95614618,100.0072454,298176.6645,7139.392994,1448.628439,115.5055957,2.081295681,4.032291489,1.527325581,2.007824747,8.088103654,0.42469162,3.853375083,0.2,0.18032392,0.250138145,1.98E-05,825.8996262
1.144506611,0.0054912,"CH4: 0.612351787, NH3: 0.387648232",0.2NH3,297.21,447.7755,0.381853677,101724.686,102.5364452,100.0132826,295354.8538,7249.877126,349.9774585,13.15763962,2.079900332,4.04075591,0.679421927,2.003425545,29.62390698,10.14409093,4.921866777,0.2,0.16043289,0.250094722,2.00E-05,764.9307089
1.152092602,0.005938074,"CH4: 0.612351787, NH3: 0.387648233",0.2NH3,297.8613145,578.7259567,0.240504456,102071.3232,92.68501661,100.0112772,297013.9468,7608.33096,727.5210299,114.7220086,0.260299003,4,0.789009967,2.166820615,13.22549269,0.473043956,4.539040864,0.229845544,0.118855482,0.250052457,2.00E-05,481.1607601
1.199645936,0.006480708,"CH4: 0.612351787, NH3: 0.387648234",0.2NH3,297.6809917,573.1913223,0.231748139,102071.3232,105.8783721,100.0064151,293215.1528,7249.589019,82.65429236,10.03963325,0.568172757,4,2.169667774,2.185039813,509.4943522,100.1377292,5.506594684,0.200272772,0.128918605,0.250131251,2.02E-05,459.9402571
1.240922069,0.006575817,"CH4: 0.612351787, NH3: 0.387648235",0.2NH3,297.3282392,466.8547619,0.238367546,102071.3232,126.0488105,128.5202124,295877.134,8496.603733,12.01197115,11.68758264,8.081387512,4.778337769,1.309541391,2.341479955,3933.29848,123.1993219,6.695611412,0.238497894,0.205788124,0.292062658,2.03E-05,469.8210577
1.270049456,0.006945996,"CH4: 0.612351787, NH3: 0.387648236",0.2NH3,297.3016611,466.1780731,0.233071336,102071.3232,138.5618711,140.8437193,310373.3406,10760.9716,5.889412016,12.15538264,10.71066513,4.946621178,0.973795829,2.432747482,6312.271538,192.8757215,7.751133515,0.584825357,0.230032388,0.303729449,2.04E-05,457.1615903
1.299417509,0.008168965,"CH4: 0.612351787, NH3: 0.387648237",0.2NH3,297.8965347,547.8965072,0.203682633,102071.3232,119.62221,148.9518956,312616.6643,15919.51895,6.349635284,14.89223927,2.305069769,5.955737412,0.827275909,3.067468864,6568.562406,298.9277047,7.301279807,0.409788885,0.172205588,0.372340001,2.05E-05,397.5788501
