,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6
0,0.937,880,296.083,468.311,100564.785,0.195,0.8,,,-6.019219547907148e-16,0.7071496070831647,1.5777066977168164e-09,0.0003172670907684403,-1.0647166401086302e-15,4.774643334503375e-11,2.309782838493068e-09,0.28363917588429943,2.864409040865898e-10,6.311656551164236e-07,0.003546307549600313,-7.090292703983623e-16,-8.859971279928435e-16,-9.210963793838708e-16,1.9983167178904296e-15,1.050334136357975e-10,-7.012522601191311e-16,2.0816141305208754e-15,-4.752848119305522e-16,1.3500977454371617e-17,-1.279852006808404e-16,0.0052054541049007304,2.646114368371993e-07,1.870646488056607e-05,4.344653458327639e-06,4.632032113438086e-12,0.00011695136710755503,1.1512356015250806e-09,1.6776766198205968e-11,5.404614788098925e-13,5.799120957682475e-08,5.328579353829386e-07,3.741548612183145e-16,6.936756918979866e-07,-7.300000007338012e-16,-5.373276213250366e-16,-9.55517386634892e-16,-6.555828999433232e-16
0,0.988,872,293.511,465.951,100564.785,0.178,0.8,,,5.993626632420137e-16,0.7035663936412581,5.756709800069359e-08,0.004792536462162107,8.162304149186099e-16,1.710220360395348e-12,8.80969383334835e-10,0.28712783985597656,2.045498828809042e-10,1.2371698618768686e-08,6.0501636209119006e-05,4.1298631865047394e-15,3.5998195690879706e-15,4.052217567504621e-15,1.3894447316862989e-12,1.051295485859236e-08,4.6436086394632874e-15,1.0606212468893647e-14,3.077244279864656e-15,3.4651669522208344e-15,5.0848436799923545e-15,0.0044184140947974146,9.538490462824706e-07,2.613596240152403e-07,2.5546457438730597e-05,1.0081566650316635e-10,7.450443801005249e-06,1.5218366425315908e-08,3.021534700352633e-10,4.230178350912542e-11,3.799593856779971e-09,3.7440149236475907e-10,3.991803995131946e-15,8.216373477846912e-10,5.852758798648475e-16,5.63771358897948e-16,6.075171815570717e-16,5.603998699149536e-16
0,1.038,893,294.153,468.958,100564.785,0.204,0.8,,,2.721567267418695e-15,0.6986184252365741,1.817045796609777e-07,0.01400964963411144,2.5000308609792225e-15,4.663172888924028e-13,2.0662256238800607e-10,0.28427826848975773,5.127073928029973e-11,1.522261616765964e-09,3.4181757681657994e-06,2.8364300297928626e-16,3.5832888687346335e-16,3.2674318325641044e-15,3.5576718783100775e-12,7.767753579669682e-08,1.6698930318316832e-15,9.425640582911641e-15,3.8227272608201187e-16,1.810777249161044e-15,2.7889969506178673e-15,0.003062688291564284,8.009997043800833e-07,1.8072130972055116e-08,2.479710247860767e-05,1.6873733882059318e-10,1.6607509810169038e-06,1.064559330962717e-08,3.1566653699972074e-10,3.93118456831852e-11,8.629020715822959e-10,8.74871561586315e-12,3.0323572128198693e-16,3.9638915189530775e-11,2.6371431346058097e-15,2.6850254606057057e-15,2.4805263036204834e-15,2.552226617131397e-15
0,1.087,807,294.54,468.884,100564.785,0.204,0.8,,,-3.9763111154143775e-15,0.6938834533211417,7.352425681229369e-07,0.022992405798040055,-4.083487197037728e-15,8.279933055530094e-13,2.5230167033135774e-10,0.28149363610338374,7.673807637773944e-11,6.662133586341449e-10,6.790079080515907e-07,2.243176550423626e-16,-3.7071384104416796e-16,1.2402193710276884e-14,5.44477918858967e-12,2.619333276974323e-07,4.5335366002622234e-15,9.348760945008702e-15,-1.2950742501536058e-16,-1.4699213178695038e-15,7.182934621624449e-16,0.001604887905010963,4.96172592033286e-07,4.463971860696636e-09,2.2720649919143455e-05,3.0278859888822884e-10,7.112755631534954e-07,6.1141093855455055e-09,3.112052342295533e-10,3.0073974786665797e-11,3.4718378595318554e-10,2.3763612958059428e-12,4.7601926446302426e-17,1.730878717589892e-11,-3.980025447467198e-15,-3.9668719241931895e-15,-3.9976678307934826e-15,-3.966265628025845e-15
0,1.137,772,294.874,470.048,100564.785,0.199,0.8,,,-9.791480948138454e-15,0.689015732148729,7.239510424284617e-06,0.031843867245824366,-1.1578775545916161e-14,1.712651545560258e-11,6.598012509253674e-10,0.2787499716279759,3.9996622222154773e-10,2.500648226386857e-10,1.0188729016666179e-07,4.988482897452813e-15,4.27251132196562e-15,2.2240845205935687e-14,1.8747616704228895e-12,8.320959160403056e-05,4.4645454060150343e-14,3.864721084569778e-14,5.1520423414928415e-15,2.2875534655229073e-11,4.916183570648194e-15,0.00028844525435475294,1.8735428187377183e-06,5.519222607852939e-10,9.434213255919391e-06,3.464673779284011e-10,1.2051567820813012e-07,1.5864981972609185e-09,1.2161211415299266e-10,4.540117314039048e-10,4.115017597758354e-11,4.405433172270608e-13,4.502164884823757e-15,8.165754681945988e-12,-1.0300527337297002e-14,-9.43448972795797e-15,-1.1149010507257162e-14,-9.825102643190793e-15
0,1.187,762,294.874,470.048,100564.785,0.188,0.8,,,-1.850537418717516e-15,0.6833167861329371,1.527126494484049e-05,0.03882498925290575,-1.6740182219371237e-15,2.9299575955723215e-09,3.905626961129346e-10,0.27542793195307164,2.6000152591676133e-10,7.095388636886168e-11,2.293859500061971e-08,-2.0949138648627565e-16,4.601365066975894e-10,1.3601167432094748e-15,3.290380150466537e-12,0.002395192895226146,8.228443627367617e-14,1.341622876218905e-11,1.3196390509641831e-13,1.3128433122947263e-08,2.719268635802623e-15,1.558834797705311e-05,3.547549796490751e-06,3.370930251986252e-11,6.423219673580755e-07,2.977148397653454e-11,4.488227913091565e-09,1.0832873035209402e-10,1.027314745145641e-11,5.413862953216473e-09,1.147266673768334e-12,1.6390598951961504e-14,-3.9184154250650686e-16,2.828421777810927e-13,-1.8264061856993606e-15,-1.903283606647222e-15,-1.8269365718879436e-15,-1.9290045627741303e-15
0,1.238,698,294.874,470.048,100564.785,0.189,0.8,,,2.9335918475932403e-15,0.6772041826265466,8.287843263193453e-06,0.04430224951137808,2.245390269775725e-15,4.459168392958475e-09,2.028066227539505e-10,0.2720252417182593,5.501977745821709e-10,3.7713172082087854e-11,5.1109229561889524e-08,8.758648929449835e-16,3.948396284997016e-09,1.9266018829015064e-15,1.1621899313560412e-11,0.006452546920715708,5.0400467014694254e-14,1.8483587129674934e-10,5.635305064682555e-13,5.509532830466288e-08,2.1042861321034377e-14,5.250796715250883e-06,1.932516779483351e-06,3.204298805789523e-11,1.8459441375494586e-07,6.794326796104788e-12,9.95204393260956e-10,3.771052556147161e-11,6.367292631887811e-12,6.793319549058786e-09,3.276194549062013e-13,4.632625784839334e-15,8.948770243762181e-16,2.0423374386971495e-13,2.7890037902515597e-15,2.928323733334654e-15,2.53253928779653e-15,2.759737021901829e-15
