,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,O,O2,HE,AR,OHEX,H,H2,OH,H2O,HO2,H2O2,HONO,HNOH,HNO2,HONO2,HNO,H2NO,H2NN,HON,N,N2,NO,NO2,NO3,N2O,NH3,NNH,NH2,NH,N2H2,N2H3,N2H4
0,0.95007358,960,295.0202479,550.9841598,101325,0.398799619,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",45.09308349,39.8799619,6.41E-11,0.001376739,4.47E-14,4.38E-14,2.85E-14,9.38E-07,0.001137718,3.24E-07,0.292665438,3.44E-08,2.63E-07,0.000153644,7.21E-10,5.82E-08,1.86E-07,1.74E-05,2.41E-10,2.86E-14,1.01E-07,3.26E-14,0.697538817,0.007099114,6.61E-06,4.16E-14,2.58E-06,1.39E-09,5.75E-14,2.22E-12,5.76E-14,3.17E-14,3.28E-14,2.70E-14
0,0.999448041,958,296.4640496,565.4217631,101325,0.425686055,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",48.49225158,42.5686055,6.34E-12,2.42E-05,7.23E-15,6.97E-15,2.43E-15,4.46E-06,0.00913161,2.67E-08,0.292191327,3.04E-09,5.53E-09,1.17E-05,1.16E-09,4.45E-09,1.96E-10,2.03E-05,8.26E-11,3.43E-15,9.98E-08,2.31E-15,0.692330041,0.006282685,1.07E-07,2.21E-15,3.39E-06,3.50E-08,1.62E-13,1.49E-11,2.36E-13,1.14E-14,2.18E-15,3.09E-15
0,1.000334135,958,294.1818182,542.9409091,101325,0.424488397,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",48.48211053,42.4488397,2.93E-12,2.28E-05,2.32E-14,2.40E-14,-7.40E-15,3.74E-06,0.009248833,2.04E-08,0.291903677,2.59E-09,5.36E-09,1.15E-05,1.22E-09,4.29E-09,1.88E-10,2.17E-05,8.04E-11,-2.00E-15,1.00E-07,-5.94E-15,0.69253987,0.006244184,1.07E-07,-6.68E-15,3.37E-06,3.67E-08,9.86E-14,1.23E-11,1.11E-13,5.85E-15,-6.59E-15,-3.09E-15
0,1.050238003,927,295.0607438,576.8528926,101325,0.443660114,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",50.77566529,44.3660114,2.38E-12,2.86E-06,-2.42E-16,6.65E-16,-4.16E-16,6.81E-06,0.019602322,7.43E-09,0.28920467,6.54E-10,1.22E-09,4.05E-06,1.01E-09,1.47E-09,1.41E-11,1.68E-05,4.53E-11,1.74E-16,1.02E-07,1.79E-16,0.686189178,0.004970161,1.42E-08,-7.24E-16,2.89E-06,1.56E-07,2.69E-13,2.50E-11,5.06E-13,8.29E-15,-6.55E-16,2.00E-15
0,1.1002915,868,293.8896694,573.3909091,101325,0.44290155,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",50.61461357,44.290155,2.18E-12,7.76E-07,-2.82E-15,7.62E-15,-3.52E-15,1.08E-05,0.029705834,5.10E-09,0.286241902,3.86E-10,5.48E-10,2.10E-06,8.49E-10,6.42E-10,4.73E-12,1.34E-05,1.54E-11,-1.46E-15,1.06E-07,1.78E-15,0.680557261,0.003465176,4.37E-09,-2.95E-15,2.27E-06,3.85E-07,4.05E-13,4.57E-11,8.66E-13,7.56E-15,-3.25E-15,6.74E-15
0,1.149936747,845,295.1190083,583.3253444,101325,0.428861124,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",48.50596587,42.8861124,7.12E-12,2.67E-07,-2.18E-14,-1.54E-14,-8.73E-15,2.14E-05,0.039730807,6.34E-09,0.283454755,3.71E-10,2.88E-10,1.05E-06,5.62E-10,2.32E-10,2.34E-12,8.41E-06,2.89E-12,-2.03E-15,1.13E-07,4.40E-14,0.674786573,0.001994328,1.49E-09,-4.15E-15,1.50E-06,7.68E-07,8.69E-13,1.03E-10,2.53E-12,4.04E-15,-7.65E-15,1.57E-14
0,1.200536831,773,294.5615702,574.6822314,101325,0.404347238,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",45.3110681,40.4347238,7.26E-11,8.01E-08,3.33E-15,4.45E-15,2.50E-16,5.37E-05,0.049356963,8.58E-09,0.280500913,3.73E-10,1.35E-10,2.59E-07,1.97E-10,2.24E-11,8.37E-13,2.88E-06,9.23E-14,2.18E-15,1.20E-07,1.97E-12,0.66949051,0.000557649,2.35E-10,9.47E-17,2.47E-06,3.44E-05,2.01E-12,1.31E-09,1.04E-11,1.47E-13,3.14E-16,5.50E-12
0,1.250565414,782,294.6285124,566.4768595,101325,0.379999828,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",42.11666631,37.9999828,5.74E-08,2.73E-08,-1.19E-15,-1.24E-15,7.19E-16,5.76E-05,0.057234522,8.91E-09,0.277157794,1.79E-10,6.26E-11,8.23E-09,7.54E-12,5.33E-13,1.64E-13,1.12E-07,7.50E-13,2.01E-14,1.27E-07,1.03E-07,0.663674257,2.03E-05,2.93E-10,1.73E-15,9.51E-06,0.001845218,2.04E-12,3.55E-07,8.75E-09,1.99E-09,5.78E-13,4.38E-08
0,1.299725738,725,294.811157,536.1353994,101325,0.355182715,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",38.76085391,35.5182715,4.02E-08,2.24E-08,-7.11E-15,-7.51E-15,3.43E-16,3.03E-05,0.062170128,3.14E-09,0.273811529,1.59E-10,3.39E-11,1.76E-09,2.09E-12,1.61E-13,2.65E-14,3.37E-08,2.58E-12,2.72E-14,1.36E-07,2.40E-07,0.658208108,5.35E-06,1.12E-10,7.95E-16,4.73E-06,0.005768156,8.59E-13,8.47E-07,1.75E-08,1.86E-08,2.98E-12,3.79E-07
0,1.351073799,698,295.0409091,517.6997245,101325,0.329720843,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",35.28829344,32.9720843,1.45E-08,1.18E-07,8.89E-16,1.62E-15,-5.62E-16,1.82E-05,0.066126852,1.20E-09,0.270675555,8.52E-10,2.39E-11,6.65E-10,1.04E-12,7.90E-14,4.98E-15,1.82E-08,2.91E-11,3.91E-14,1.45E-07,1.53E-07,0.652148404,2.72E-06,3.87E-11,-2.76E-16,2.45E-06,0.011022989,5.02E-13,1.23E-06,1.63E-08,4.92E-08,5.56E-12,1.05E-06
