,phi,grid,T_in,T,P,vel,blend,fuel,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH,oxidizer.O2,oxidizer.N2
0,1.270049456,90,297.3016611,466.1780731,102071.3232,0.233071336,0.2NH3,"CH4: 0.612351787, NH3: 0.387648236",0.036210331286740165,3.8185075819702545e-06,1.3013835340244855e-09,5.545166899050651e-08,5.8637810489697955e-09,0.19164220272448515,2.34767661761883e-10,1.8806591229398138e-10,-1.399311404263563e-16,3.6580013392810874e-17,9.391525855541662e-13,1.83107236653307e-15,2.345500165731367e-10,5.2358440161235646e-08,0.040624349073837544,0.05393419781046191,1.5727947969726962e-06,7.499510499324628e-07,1.804705573898263e-09,1.1993693640557512e-10,6.275881906560037e-09,-1.5302282261486279e-16,5.190568784346896e-09,4.725672119634192e-11,1.1781793010904568e-09,3.9945628622673295e-12,3.8716361444208447e-10,6.135586938061658e-15,1.0027504607085244e-10,2.256410980015654e-15,3.598107852351675e-11,5.964513515366535e-09,1.4510319137282389e-11,1.2453510812334532e-05,1.72340515713911e-13,0.0010827478986818382,4.9753642411061195e-09,9.758362024152732e-05,4.209225255777885e-06,1.2760713878426453e-15,4.204321239555226e-05,1.3487170229502003e-06,1.9318799130106728e-13,1.2738590706138966e-10,1.0903713371366229e-10,4.928694129493558e-07,1.0002190828171515e-10,0.676340675086379,1.0019363241391944e-14,1.9871305480115506e-17,1.7154930117421193e-15,7.305774539600047e-11,1.413528561065408e-11,8.52931473395863e-12,1.2387746333634552e-14,1.1601641513191595e-07,1.1418485445945828e-09,1.5357651717358056e-11,9.64372726884469e-07,0.21,0.79
0,1.299417509,96,297.8965347,547.8965072,102071.3232,0.203682633,0.2NH3,"CH4: 0.612351787, NH3: 0.387648237",0.041550258413213186,7.42803163489518e-06,4.8112917570697865e-09,2.7894801919308828e-08,4.308782924079704e-09,0.19101954605990826,1.7744360295931437e-10,1.269281262757199e-10,1.561616165998081e-16,1.8072050648452256e-15,4.018215506160113e-12,4.183770123032332e-15,1.0587882292856046e-09,8.489329589926677e-07,0.04349030725921472,0.05146357880175741,1.391796618577884e-06,6.047683908978811e-07,1.7089070083597937e-09,8.758795474033813e-11,6.24800635651872e-09,7.76998919676046e-17,2.084512859524476e-07,2.084313080040153e-09,5.03235673090206e-08,1.967158768840605e-10,2.0292598420457023e-08,1.8248441130207477e-13,2.6834058493646193e-10,4.612560808572764e-14,2.238727191618736e-10,1.1831252325062371e-08,2.018076935551905e-10,4.192611112217527e-05,6.401676975304652e-13,0.0006389662238767697,2.7619757552375826e-09,6.599890662250414e-05,2.007004363183656e-06,1.0718272385717876e-14,0.00017629959530413377,4.153684815270487e-06,5.636250813343284e-13,1.780575303919898e-10,2.602306088279218e-10,7.738058053734153e-07,8.628093563545586e-11,0.6715346641794956,3.0396216367233743e-15,7.769650098811916e-16,3.338901668751052e-13,1.5787431193692836e-10,4.1574349715987216e-11,5.635434838647477e-12,1.1284131190308206e-13,5.073082618149215e-08,3.731640119109745e-09,9.051196676117134e-11,8.480780810079375e-07,0.21,0.79
0,1.270049456,90,297.3016611,466.1780731,102071.3232,0.233071336,0.2NH3,"CH4: 0.612351787, NH3: 0.387648236",0.036210331286740165,3.8185075819702545e-06,1.3013835340244855e-09,5.545166899050651e-08,5.8637810489697955e-09,0.19164220272448515,2.34767661761883e-10,1.8806591229398138e-10,-1.399311404263563e-16,3.6580013392810874e-17,9.391525855541662e-13,1.83107236653307e-15,2.345500165731367e-10,5.2358440161235646e-08,0.040624349073837544,0.05393419781046191,1.5727947969726962e-06,7.499510499324628e-07,1.804705573898263e-09,1.1993693640557512e-10,6.275881906560037e-09,-1.5302282261486279e-16,5.190568784346896e-09,4.725672119634192e-11,1.1781793010904568e-09,3.9945628622673295e-12,3.8716361444208447e-10,6.135586938061658e-15,1.0027504607085244e-10,2.256410980015654e-15,3.598107852351675e-11,5.964513515366535e-09,1.4510319137282389e-11,1.2453510812334532e-05,1.72340515713911e-13,0.0010827478986818382,4.9753642411061195e-09,9.758362024152732e-05,4.209225255777885e-06,1.2760713878426453e-15,4.204321239555226e-05,1.3487170229502003e-06,1.9318799130106728e-13,1.2738590706138966e-10,1.0903713371366229e-10,4.928694129493558e-07,1.0002190828171515e-10,0.676340675086379,1.0019363241391944e-14,1.9871305480115506e-17,1.7154930117421193e-15,7.305774539600047e-11,1.413528561065408e-11,8.52931473395863e-12,1.2387746333634552e-14,1.1601641513191595e-07,1.1418485445945828e-09,1.5357651717358056e-11,9.64372726884469e-07,0.21,0.79
0,1.299417509,96,297.8965347,547.8965072,102071.3232,0.203682633,0.2NH3,"CH4: 0.612351787, NH3: 0.387648237",0.041550258413213186,7.42803163489518e-06,4.8112917570697865e-09,2.7894801919308828e-08,4.308782924079704e-09,0.19101954605990826,1.7744360295931437e-10,1.269281262757199e-10,1.561616165998081e-16,1.8072050648452256e-15,4.018215506160113e-12,4.183770123032332e-15,1.0587882292856046e-09,8.489329589926677e-07,0.04349030725921472,0.05146357880175741,1.391796618577884e-06,6.047683908978811e-07,1.7089070083597937e-09,8.758795474033813e-11,6.24800635651872e-09,7.76998919676046e-17,2.084512859524476e-07,2.084313080040153e-09,5.03235673090206e-08,1.967158768840605e-10,2.0292598420457023e-08,1.8248441130207477e-13,2.6834058493646193e-10,4.612560808572764e-14,2.238727191618736e-10,1.1831252325062371e-08,2.018076935551905e-10,4.192611112217527e-05,6.401676975304652e-13,0.0006389662238767697,2.7619757552375826e-09,6.599890662250414e-05,2.007004363183656e-06,1.0718272385717876e-14,0.00017629959530413377,4.153684815270487e-06,5.636250813343284e-13,1.780575303919898e-10,2.602306088279218e-10,7.738058053734153e-07,8.628093563545586e-11,0.6715346641794956,3.0396216367233743e-15,7.769650098811916e-16,3.338901668751052e-13,1.5787431193692836e-10,4.1574349715987216e-11,5.635434838647477e-12,1.1284131190308206e-13,5.073082618149215e-08,3.731640119109745e-09,9.051196676117134e-11,8.480780810079375e-07,0.21,0.79
