,NO,NO2,N2O,NH3,H2
Otomo,39.82744334285241,0.021189173494999745,0.043280386957711164,36.425986037176294,136.15468826574477
Wang,164.56017316125593,0.021617512292355007,0.04378117025998707,22.999263734752112,91.58687405852102
Gotama,164.56022006565658,0.021617511484690446,0.043781166030330075,22.999265276793338,91.56508032250784
Jiang,39.8275351308067,0.02118917353607519,0.043280236755828476,36.42578538051076,136.69463486189053
UCSD,116.29758613820853,0.019888004633093162,0.04173149416403587,27.53060110736428,105.57752384695237
Nakamura,164.56012171127173,0.021617489571040396,0.0437811707251437,22.999273685909035,91.55851617224197
Zhang,82.22255185349292,0.020377258026047163,0.04137870414353561,29.989743408801402,114.92310018470283
Okafor,164.5602218510019,0.02161751274455899,0.043781156108515885,22.999250025431518,91.62301747856216
