Mech,Error
Otomo,382.4506569712071
Wang,893.4774708386606
Gotama,893.4078858959128
Jiang,383.42236461029984
UCSD,598.7215934191736
Nakamura,893.3865927351006
Zhang,499.8337331001669
Okafor,893.5932416763158
