,Book number,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in C,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
17,22,0.101351384,0.001728185,0.699083084,0.780525502,"NH3:0.219474498, H2: 0.780525502","""O2: 0.21, N2: 0.79""",0.1,25.14651163,298.2965116,0.444580523,619.5193798,65541.32609,2256.150762,13.60640284,68.59467195,147764.6592,7002.276522,5134.365085,189.9144841,124.0145102,14.36906867,-1.3890829,13.71874558,0.708328822,0.27682112,-0.600246231,13.71867081,-0.113429933,6.859378301,30.15293548,7.235826584,-0.029999339,13.71865036,-3.054077737,0.296666005,5.434677851,0.390399776,0.101160289,0.004528862,0.849195507,0.780345264,"NH3:0.219654736333333, H2: 0.780345263666667","""O2: 0.21, N2: 0.79""",0.1,297.2330309,0.718275692,621.1009191,76834.62249,2929.706366,68.62858745,72.39812778,170073.4342,7897.308726,6124.222953,489.0328795,130.9122999,18.36973831,-0.79944281,14.44044682,0.844352512,0.632858865,-0.465675261,11.79675559,-0.027332431,7.218749522,31.04786566,10.99198505,-0.146443457,14.43383833,-2.758101013,1.140720761,2.389958014,0.770723249
16,22,0.101351384,0.00172774,0.699293782,0.780525502,"NH3:0.219474498, H2: 0.780525502","""O2: 0.21, N2: 0.79""",0.1,25.14157303,298.291573,0.444545212,620.1342697,65541.32609,2256.150762,13.35032544,68.51728054,149639.736,7027.37498,5174.271044,190.3580439,122.8782155,14.33658799,-0.792767695,13.70322012,0.503175166,0.276061672,-0.42384773,13.70319769,0.080074201,6.851642643,30.2536769,7.214043632,-0.033423026,13.70318669,-2.500587711,0.289792243,5.423337084,0.389443489,0.101160289,0.005056376,0.90079026,0.780435298,"NH3:0.219564701666667, H2: 0.780435298333333","""O2: 0.21, N2: 0.79""",0.1,297.3215748,0.79919341,643.0923283,81573.10163,2971.727726,177.3847701,79.29626007,181615.3203,8725.920356,6469.884755,471.0772312,104.5044463,18.88106122,-0.480761032,15.29359383,0.84551605,0.603955356,-0.533267219,12.58920509,0.00206348,7.643695051,33.04050583,12.1826524,-0.105238189,15.28630446,-2.864694941,1.232596036,1.310115274,0.931938647
0,22,0.101351384,0.005137285,0.748104591,0.78048048,"NH3:0.21951952, H2: 0.78048048","""O2: 0.21, N2: 0.79""",0.1,24.70537634,297.8553763,0.536702265,570.2693548,65774.98879,2257.261992,19.4550161,68.24595132,151717.844,7095.080029,5312.600275,195.9594109,131.9272464,14.38971712,-0.660957672,13.64858659,1.18815735,0.277070621,-0.387957295,13.6485719,0.02909308,6.824325969,29.45892922,6.899468126,-0.1127565,13.64856369,-2.476517529,0.288447578,4.8522021,0.379939413,0.101351384,0.005140851,1.147588256,0.780421398,"NH3:0.2195786025, H2: 0.7804213975","""O2: 0.21, N2: 0.79""",0.1,299.055002,0.850083657,679.4195451,68576.69802,2492.7218,26364.4085,71.61052794,195338.4079,7463.778206,5243.909724,210.9423546,4.039595575,15.66289492,6.692168899,14.29814041,4.508039784,0.562544951,-0.918359815,10.5471585,-0.098984909,7.146130179,1.664905125,11.91127711,0.103016784,14.29186747,-2.839316556,0.858226967,0.550816429,0.525667693
1,22,0.101351384,0.005165925,0.74885691,0.780246172,"NH3:0.219753828, H2: 0.780246172","""O2: 0.21, N2: 0.79""",0.1,24.65,297.8,0.536083117,569.8833333,65774.98879,2257.261992,19.66301888,67.76092087,149571.1151,6949.835194,5248.475506,190.6902943,132.9844137,14.28337794,-1.131973689,13.55162466,1.442145926,0.276360623,-0.427820148,13.55157243,0.009669144,6.775826067,28.90113961,6.859517175,-0.109190829,13.55156267,-2.985236637,0.29187272,4.828826826,0.376133562,0.10094253,0.005632259,1.183533923,0.780404517,"NH3:0.219595483333333, H2: 0.780404516666667","""O2: 0.21, N2: 0.79""",0.1,298.0680135,0.797961816,677.766958,64904.2241,2494.244696,34494.72816,65.49284823,198374.7512,6618.401617,4442.410778,408.9295308,1.387691216,33.0258336,5.685260755,13.09805061,4.075922079,0.80257927,-0.253371588,11.2208881,0.376486039,6.551862508,1.409165856,9.43048504,-0.093544386,13.09153004,1.075480748,2.169164686,0.28138456,0.452369918
2,22,0.101351384,0.004739983,0.799586656,0.780251694,"NH3:0.219748306, H2: 0.780251694","""O2: 0.21, N2: 0.79""",0.1,24.76935484,297.9193548,0.626703959,589.1908602,70553.41633,2194.078994,32.78690386,68.42488902,164553.218,7242.037185,5981.797007,208.9911986,138.5982325,14.42720025,-0.916263719,13.68334889,1.032516545,0.277277855,-0.551927793,13.68332522,0.185845477,6.841710556,31.58136674,6.947345451,-0.087598721,13.68331038,-2.400240951,0.287420999,3.899472346,0.365937954,0.100738103,0.004766648,1.304400741,0.780443029,"NH3:0.219556971, H2: 0.780443029","""O2: 0.21, N2: 0.79""",0.1,297.5357143,0.57667732,641.9277778,57390.05298,2881.219347,48319.30754,70.48191908,190716.2737,7922.585758,2052.576898,460.1364115,1.262543448,17.66271246,4.323949528,14.09270861,6.57313024,0.672616713,-0.267039208,12.19607144,1.508359998,7.048516056,1.711636431,9.968682134,-0.292549489,14.08891744,0.925260769,0.786642753,0.117909826,0.606369515
3,22,0.101351384,0.004746338,0.800070805,0.780009681,"NH3:0.219990319, H2: 0.780009681","""O2: 0.21, N2: 0.79""",0.1,24.8452381,297.9952381,0.626624501,591.9214286,70553.41633,2194.078994,32.87514609,68.4845969,162415.8595,7207.643957,5915.094149,207.6503283,139.490248,14.453593,-1.382918199,13.6953156,1.075161534,0.277692853,-0.604102862,13.69524848,0.037592646,6.847670001,31.37789608,6.966404961,-0.058402097,13.69523043,-2.934016661,0.293281604,3.880403455,0.366173324,0.100738103,0.023871051,1.352754587,0.780384434,"NH3:0.219615566, H2: 0.780384434","""O2: 0.21, N2: 0.79""",0.1,297.225356,0.485921253,626.7215589,54334.2737,2972.774944,54685.07778,71.28724925,186695.7819,8589.501268,616.5473059,685.9649171,1.290056867,16.44569196,3.66958557,13.75480279,38.49765944,0.51407894,-0.371258532,13.75403161,76.53266353,6.881610263,3.245031056,7.075076434,0.094921444,13.7520978,1.587042612,0.298321267,0.062829214,0.581289138
5,22,0.101351384,0.004406908,0.847613947,0.780541625,"NH3:0.219458375, H2: 0.780541625","""O2: 0.21, N2: 0.79""",0.1,24.901,298.051,0.717609412,610.839,74879.11503,2157.343737,69.33500174,68.62477613,169675.8159,7260.336474,6391.850142,216.3222917,134.6373614,14.38177143,-1.449732416,13.71787477,1.038135816,0.278137036,-0.637029669,13.71780713,-0.199371763,6.85896045,33.61619521,7.010748777,-0.078655581,13.7177894,-2.864561424,0.291934647,2.911596664,0.356472863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,0.101351384,0.004524572,0.849625609,0.779915815,"NH3:0.220084185, H2: 0.779915815","""O2: 0.21, N2: 0.79""",0.1,25.03669065,298.1866907,0.716325997,616.9699041,74879.11503,2157.343737,70.72209978,68.54058979,172406.4531,7303.331547,6480.447827,218.0930634,133.4375873,14.34814069,-0.77329598,13.7007453,0.761821912,0.276934029,-0.465161102,13.70072958,-0.171948529,6.850424709,32.79688668,6.983968596,-0.08176276,13.7007199,-2.347993065,0.286605409,2.868849691,0.35560597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22,0.101351384,0.004217255,0.897819537,0.780533698,"NH3:0.219466302, H2: 0.780533698","""O2: 0.21, N2: 0.79""",0.1,25.4016,298.5516,0.800401729,638.4497333,79806.70045,2536.365593,164.1952901,79.54682896,180473.2995,8740.419409,6677.987787,262.085936,108.0171837,16.36814047,-0.993417734,15.86197088,1.023972369,0.321054091,-0.809491092,15.86195569,-0.135454945,7.93101512,33.32058479,8.137859852,-0.089824639,15.86192493,-3.423503409,0.344152656,2.024157818,0.404788999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,0.101351384,0.004258539,0.899033193,0.780400205,"NH3:0.219599795, H2: 0.780400205","""O2: 0.21, N2: 0.79""",0.1,25.27961165,298.4296117,0.799432378,633.8279935,79806.70045,2536.365593,168.6783057,79.78215014,185172.7829,8906.428366,6844.287674,268.9852598,107.2277198,16.40735206,-0.4783776,15.90614755,1.028695735,0.321964386,-0.596573143,15.90615354,0.041248987,7.953118244,35.56421848,8.158342061,-0.080096341,15.90613647,-2.659556509,0.335410389,1.970284431,0.405555373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22,0.101351384,0.004194338,0.950787428,0.780201595,"NH3:0.219798405, H2: 0.780201595","""O2: 0.21, N2: 0.79""",0.1,25.63212435,298.7821244,0.865244606,660.2966321,84258.36485,2566.992595,523.7804376,81.76765595,191732.9391,8930.998453,6812.232235,260.5892517,61.62158297,16.05968546,0.608142942,15.90211565,1.017071175,0.321964706,-0.882572769,15.90213465,-0.123662803,7.951107753,32.77227735,8.181712468,-0.011264647,15.90210102,-3.325140779,0.342257106,1.100755084,0.400986341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
