,equivalence ratio error,eq,blend,T1[℃],Uout[m/s],Tw[K],X_CO2,delta_X_CO2,X_CO,delta_X_CO,X_H2O,delta_X_H2O,X_NO,delta_X_NO,X_NO2,delta_X_NO2,X_N2O,delta_X_N2O,X_NH3,delta_X_NH3,X_CH4,delta_X_CH4,X_HCN,delta_X_HCN,X_HNCO,delta_X_HNCO,X_HCHO,delta_X_HCHO,X_H2,delta_X_H2,X_O2,delta_X_O2,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
100524.788,0.005183605,0.94948306,0.208457919,296.2199301,0.2231824,595.7187646,35813.62675,631.4295181,288.7649259,67.0858231,257823.014,5546.052956,5855.811994,94.91124383,23.89584801,13.40357289,2.854805518,13.40082283,0.484873549,0.268085732,-0.658144358,6.700398831,0.378249055,6.700394291,23.85981076,13.40356446,-0.292091351,13.40078574,-2.607412579,0.269819102,0.322568155,0.335055161,99891.5085,0.008036791,1.249759585,0.208350253,"NH3: 0.791649747129796, CH4: 0.208350252870204","""O2: 0.21, N2: 0.79""",9.2,297.6526768,0.201252777,564.0263007,31776.18678,1974.150526,17072.91974,873.7718129,257900.6326,12225.11934,43.99056719,18.02902348,6.295714991,17.01344162,5.846354527,16.90559681,3521.289426,221.8757025,2.163210103,8.45858931,1237.511634,142.3264979,45.88117573,16.99329411,3.394127456,16.90018823,-1.209628359,0.3423293,-0.43628517,0.424311533
99258.229,0.005246513,0.949968971,0.208410948,297.9935644,0.2238205,566.4533003,35801.24045,3092.484325,109.7816261,86.42442992,268780.4406,15238.41969,5995.872724,323.8071395,45.60118831,17.40824176,3.600950287,17.24814181,2.381600375,0.364530096,-1.001131942,8.623917085,0.476091532,8.623690205,23.08851069,17.28826037,-0.083998961,17.24725471,-2.868286824,0.38241786,-0.004648044,0.432859793,99258.229,0.007740343,1.300624365,0.208251111,"NH3: 0.791748888908856, CH4: 0.208251111091144","""O2: 0.21, N2: 0.79""",8.2,298.4695545,0.183971202,547.089934,30062.89686,2026.274396,18534.65739,798.2101742,255939.0174,13532.51644,11.93620665,9.222961182,10.54726185,18.21576175,4.888637862,18.18960466,6669.096325,350.1300947,6.448878451,9.102514763,2677.415601,125.908165,57.79236089,18.36920563,7.09666286,18.18779964,-1.794510195,0.370590112,-0.776694097,0.457577569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"""O2: 0.21, N2: 0.79""",9.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005247394,0.950121358,0.208322194,298.2094059,0.2239946,562.0371287,36336.60022,3098.142801,111.8372311,90.78102375,267532.1729,15908.83289,6057.802755,342.5616221,55.66557029,18.36586868,4.36750874,18.11679893,3.552552049,0.407026644,-0.969797944,9.058013898,0.522713345,9.057786613,16.01724642,18.13582417,-0.100545898,18.11541002,-3.022845172,0.405840202,-0.064633519,0.455137111,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"""O2: 0.21, N2: 0.79""",9.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
99258.229,0.005247525,0.950170761,0.20819496,298.179703,0.2239834,561.910396,36336.60022,761.4498323,112.548521,90.72031693,257309.0654,8408.596456,5913.943347,155.8387083,54.78218521,18.17552621,4.787329477,18.13794173,4.003089883,0.372555346,-1.322063939,9.068881211,0.144552456,9.068832856,17.29257063,18.14141715,-0.054802191,18.13765927,-4.154437938,0.373940414,-0.076930708,0.453534893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005249062,0.950428693,0.208237844,297.9361386,0.2238046,566.9354785,35801.24045,730.6412284,118.908452,86.32218698,268077.5428,7996.112709,5958.529397,144.9412967,41.49658083,17.27717515,3.620337731,17.25832772,3.390604589,0.351312942,-1.16517015,8.629129786,0.357518228,8.629098235,26.0727666,17.26567226,-0.086810756,17.25818803,-3.817783179,0.353483934,0.006350248,0.431521309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.005218273,0.950628513,0.208517104,296.2103448,0.2229809,596.1155172,35813.62675,3015.768346,300.329297,68.17862742,259388.2011,11684.5811,5874.049694,251.4219446,23.12210104,13.44236268,2.694225519,13.40935381,0.221231567,0.268906813,-0.442220677,6.704540847,0.389196362,6.704501374,23.20439731,13.44260234,-0.341801269,13.40896244,-2.14289215,0.285191399,0.305492855,0.335850035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.005227106,0.998295621,0.208589555,296.2656863,0.2368887,600.8166667,33627.96777,640.4236496,4032.943513,79.78280478,258356.1222,5438.831813,5070.37002,86.83071876,1.324981095,13.18027577,6.064097994,13.18043696,1.058166892,0.263854799,-0.398297832,6.590137369,0.210776215,6.590135266,1.748556378,13.18028155,-0.331950101,13.1802694,-1.999280102,0.264660088,0.035451745,0.329529737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005248905,1.000207364,0.208139192,297.9252475,0.2375675,570.559901,34592.82123,730.4430659,2746.910237,102.0865786,268953.8897,8050.244505,5183.261892,133.896146,3.027436778,17.30924583,8.729984433,17.30998994,6.991826574,0.372208393,0.000447926,8.654576193,0.510543012,8.65458055,2.896930299,17.30923734,-0.13972096,17.30914782,-3.83435914,0.354692658,-0.411715692,0.432895357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005249384,1.000228607,0.208160626,297.778,0.2374286,569.054,34592.82123,3132.999774,2618.48737,162.5612628,289635.7666,16383.25691,5107.781342,282.0362881,1.563438327,17.31131013,7.994165758,17.31597713,7.144046525,0.503206549,-0.107228864,8.655658243,0.552461134,8.655656788,4.372015505,17.31253709,-0.144784003,17.31117936,-2.795612422,0.382675238,-0.364411124,0.435390871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.005276352,1.002616009,0.208351857,296.242,0.2362363,599.2788889,33627.96777,3098.446044,4387.094479,192.4702331,260111.4984,11672.55724,4999.989718,216.3797997,1.834691157,13.18230883,5.300813175,13.18382977,0.961556989,0.266345872,-0.222511228,6.591103485,0.471588381,6.591096557,1.953620132,13.18233536,-0.362328093,13.18214658,-1.503495994,0.27308912,0.053241079,0.330114659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005423853,1.049194435,0.208217424,298.2282178,0.2434387,571.4443894,31792.51601,3223.524979,7307.55721,395.4314572,265245.5384,15247.94749,4046.887706,230.3842694,6.000750383,17.19578624,6.095312192,17.1958754,3.506976816,0.386351049,-0.409605876,8.596665157,0.544451764,8.596612712,4.034320741,17.19426088,-0.137170688,17.19310219,-2.935428048,0.384065815,-0.520120137,0.433058539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.005343797,1.049391887,0.208353938,296.4443662,0.2425787,608.4086854,29990,0,9116.318072,50,265483.7928,3500.06,3706.97412,50,1.678096386,10,4.845542169,10,2.59750988,0.2,-0.10686747,5,0.80119759,5,1.668763855,10,-0.250746988,10,1.276112352,0.2,0.05057914,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005431234,1.050206886,0.208337303,298.2361386,0.2433862,572.0592409,31792.51601,726.8659759,7349.639112,168.447335,258666.2447,7903.894143,3937.819504,116.0428079,5.831753798,17.27823251,7.036757414,17.27840437,4.888988378,0.358408692,-0.58897172,8.638942166,0.066742082,8.638932473,3.004416398,17.27795698,-0.138731044,17.27786091,-3.93602377,0.354500565,-0.537224648,0.432171207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005791266,1.099783235,0.208246872,298.2311881,0.2410518,569.7166667,29538.55942,3310.786251,10843.45166,584.0817524,262912.7546,15239.49192,2397.979173,153.8459698,4.926032627,17.14391714,5.365066026,17.144274,5.845100625,0.455967973,-0.05124422,8.571109502,0.567853653,8.571113822,3.314736741,17.14288095,-0.111405226,17.14210674,-2.785886235,0.380223901,-0.593249754,0.432085175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.005792322,1.099855279,0.208281877,298.2232673,0.2410199,570.0717822,29538.55942,728.4750341,10733.875,226.692869,255023.7703,7803.483876,2357.663714,97.35953853,5.039415654,17.15196611,6.175690496,17.15210631,6.285425236,0.363981334,-0.490020165,8.575854605,0.233610604,8.575848195,2.729201122,17.15176978,-0.077297385,17.15169127,-3.870944855,0.351649852,-0.603380572,0.429050324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.005707863,1.100103018,0.208178145,296.3519481,0.2401770,604.1974026,27686.34126,0,11114.74685,50,263238.2979,3500.07,1940.133916,50,0.639062937,10,3.946083916,10,3.192238182,0.2,-0.13565035,5,1.32559021,5,1.281296503,10,-0.233972028,10,1.933881895,0.2,0.021372787,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.006245418,1.149493458,0.208300908,296.3076577,0.2311742,599.634985,27198.92,0,13731.32,50,260236.64,3500.08,449.1796,5,0.224,10,3.8212,10,47.79932,5,0.012,5,31.30432,5,2.92136,10,-0.23,10,2.520684468,0.2,-0.037686505,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.006347723,1.150433849,0.208219917,298.3311881,0.2320989,563.8968647,28196.4508,3367.897129,13651.26374,758.0687094,258857.9235,15558.97831,869.3694484,48.742406,5.251365342,17.67289203,4.695069465,17.67243999,18.09572359,1.046276044,1.559955099,8.835719416,12.13457978,8.859696352,3.360036669,17.67157244,-0.02801543,17.67074794,-2.605716848,0.388629031,-0.69815945,0.44630742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.006350308,1.150632138,0.208204629,298.4529703,0.2321482,562.3226073,28196.4508,741.6836967,13212.52201,288.9604323,246296.324,8050.094893,873.9127093,20.23521494,6.557322752,17.73336456,5.335010693,17.73318911,18.998002,0.530140717,1.148939429,8.866456093,11.95800941,8.869879428,3.116149817,17.73296388,-0.047536242,17.73285078,-4.017701103,0.364804627,-0.719547674,0.443690784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.006967142,1.197132232,0.208161365,296.6681395,0.2179257,594.2627132,30381.33012,0,15324.32047,50,256911.7921,3500.09,88.57115756,5,1.380900322,10,6.640257235,10,1180.779035,50,1.464533762,5,375.0360386,5,22.97187031,10,0.875101822,10,2.860770452,0.2,0.02528937,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
