P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
0.101391381,0.00831493,0.649873961,0.612096944,"NH3: 0.3879030565, CH4: 0.6120969435","""O2: 0.21, N2: 0.79""",0.2,297.3401876,0.286398527,524.0008899,55290.80624,1751.179132,10.60665551,83.75701038,143812.5352,7643.939329,4699.826424,195.144833,125.0725845,17.3017615,40.47330237,16.83216851,-0.487735149,0.348587195,-0.278162833,8.376491907,1.258456111,8.376722315,22.49995308,16.76928086,-0.041962839,16.7512382,-3.717324347,0.778261197,5.104142966,0.453260076
0.101371383,0.007899135,0.699533012,0.612220809,"NH3: 0.3877791915, CH4: 0.6122208085","""O2: 0.21, N2: 0.79""",0.2,297.834618,0.327161047,540.7784952,58109.93196,2656.927222,8.256198063,81.67457947,153718.2043,9436.08538,5831.522919,280.32021,131.0241004,18.09103985,-0.524521221,16.3379312,-0.018067092,0.577692686,-0.404330059,8.178209178,0.466129414,8.184554591,26.78360789,16.98960713,-0.109658686,16.33416465,-3.533307932,0.650065649,4.746051072,1.005336846
0.101371383,0.007228185,0.749940011,0.612139068,"NH3: 0.38786093225, CH4: 0.61213906775","""O2: 0.21, N2: 0.79""",0.2,297.8464894,0.385745402,558.4945965,61661.64413,2637.062924,12.93996899,82.46328253,164179.4311,10008.33594,6676.774631,322.1005996,141.7411965,18.36140009,-1.097203723,16.49842802,0.092286154,0.537341309,-0.245046736,8.260084508,0.483478944,8.269522054,29.37507325,17.30326388,-0.086424426,16.49130989,-3.468448945,0.654416636,3.636805966,1.145151095
0.101371383,0.006579633,0.799922993,0.612068499,"NH3: 0.3879315015, CH4: 0.6120684985","""O2: 0.21, N2: 0.79""",0.2,297.7412027,0.455036468,581.1211762,65596.11675,2656.791469,28.5829639,82.0246774,175838.7405,10232.98986,7329.483156,332.2904648,141.9008404,17.80943123,-1.172300057,16.41151542,0.311694752,0.54697826,-0.431220831,8.21614368,0.477500563,8.235479103,33.13251241,17.4662039,-0.093815764,16.40149827,-3.332877223,0.640532277,2.541648486,1.209485409
0.101358051,0.003991337,0.84934797,0.611950663,"NH3: 0.388049337, CH4: 0.611950663","""O2: 0.21, N2: 0.79""",0.2,297.4330221,0.524897834,582.1592283,66114.71208,2824.620444,35.69775607,89.19054699,176964.6896,10837.74939,7429.677059,378.0310488,146.0476719,20.88041884,-0.979476443,17.84782494,0.902598171,0.806126416,-0.647439597,8.918361649,0.631139475,8.930815476,32.09549808,18.69178943,-0.049672449,17.8322512,-3.66351544,0.796217991,2.294964249,1.467082517
0.101358051,0.00377421,0.899290784,0.612063624,"NH3: 0.387936376, CH4: 0.612063624","""O2: 0.21, N2: 0.79""",0.2,297.4525434,0.589008409,598.3633629,69479.47499,2882.575796,79.72728721,89.88043679,186474.0203,11152.97547,7762.648608,394.670771,127.6038151,19.89545675,-0.913855858,17.97655891,0.389599658,0.62829768,-0.769829378,8.981220221,0.69117901,8.988534102,34.70594398,18.85455242,0.009860208,17.96004292,-3.60680413,0.787972634,1.187653047,1.619836771
0.101358051,0.003695783,0.949416194,0.612216742,"NH3: 0.387783258, CH4: 0.612216742","""O2: 0.21, N2: 0.79""",0.2,297.5784722,0.638121324,613.3333993,72862.10105,2966.412313,236.940737,91.28582304,197268.1031,11756.33785,7907.526626,403.816786,84.54662627,18.85967694,-0.086500836,18.11208504,0.168919322,0.624378037,-0.780410876,9.047474203,0.604623862,9.062731776,36.07056792,19.30044996,0.010037698,18.09036067,-3.54867003,0.780371576,0.09505727,1.781067577
0.101358051,0.003750133,0.997963889,0.612099449,"NH3: 0.387900551, CH4: 0.612099449","""O2: 0.21, N2: 0.79""",0.2,297.7090932,0.665368367,634.3357572,75353.98829,2953.312769,1076.747055,149.687492,205892.0085,11720.49256,7719.914237,386.7898834,23.6317297,18.42698673,6.83647503,18.04452718,0.06435296,0.622522811,-0.834856079,9.007731818,0.466501777,9.024515321,22.90033247,18.74775033,0.04526313,18.00786021,-3.457657807,0.752694037,-0.757733544,1.879342354
0.101374716,0.002873622,1.04852571,0.612174591,"NH3: 0.38782540875, CH4: 0.61217459125","""O2: 0.21, N2: 0.79""",0.2,296.7527661,0.671096571,635.3443272,71966.39755,2730.47029,7802.653813,722.1954522,208129.5604,11105.5137,7191.403978,337.8209087,4.000287973,17.24466235,10.50211649,17.23690345,1.682001544,0.482390798,-0.90299388,8.615848807,-0.074944489,8.615849612,1.979928883,17.23855633,0.147829995,17.23087889,-3.311378027,0.821108739,-0.949880875,1.090613125
0.101358051,0.004309615,1.09941892,0.611987375,"NH3: 0.38801262475, CH4: 0.61198737525","""O2: 0.21, N2: 0.79""",0.2,297.5655141,0.647131957,637.6975425,66425.61772,2796.332573,15198.46114,1134.851458,208118.5929,11919.46094,6509.790758,339.9762628,3.485654331,17.71430561,8.04657093,17.71300758,2.067674337,0.455974317,-0.874640518,8.858538327,-0.008651653,8.857701165,1.677874943,17.71923636,0.194630539,17.70902397,-3.468697159,0.773282877,-0.510676597,1.271510147
0.101358051,0.004873919,1.148836453,0.612048589,"NH3: 0.387951411, CH4: 0.612048589","""O2: 0.21, N2: 0.79""",0.2,297.6450175,0.601813352,635.3663771,61312.14062,2263.478033,20748.69286,1272.061852,207782.3034,10793.37804,5559.441522,271.8782131,3.503944951,17.29206018,6.804902985,17.29095871,2.293786984,0.473082943,-0.731066474,8.65451479,0.038385917,8.645558692,1.808668561,17.29284363,0.143234738,17.28772675,-3.311582728,0.879264349,-0.52994581,1.242151314
0.101358051,0.005742647,1.199407704,0.612237582,"NH3: 0.387762418, CH4: 0.612237582","""O2: 0.21, N2: 0.79""",0.2,297.7291096,0.538478856,629.8121145,56440.64244,2307.577819,26934.62987,1634.043706,208499.2897,10708.87822,4293.019422,250.1686945,2.707199653,16.42077963,5.826580608,16.35789011,2.521903597,0.443257166,-0.690129525,8.18173724,0.046178751,8.17900098,1.287245935,16.36393428,0.109904948,16.35461735,-2.338757472,1.815619925,-0.4368506,1.091883876
0.101369161,0.005673929,1.249214784,0.612186488,"NH3: 0.387813512333333, CH4: 0.612186487666667","""O2: 0.21, N2: 0.79""",0.2,297.4782447,0.464890224,626.8654403,51150.62753,1676.526488,34869.45701,824.4018178,211865.5053,7372.7576,2504.767018,251.6131823,0.867814147,11.36369707,3.974133633,11.3431402,3.816801708,0.506634303,-0.466905232,5.679241439,0.721195286,5.670695605,1.110930517,11.35038684,-0.012763634,11.3410363,1.931720348,0.798064168,-0.596754794,0.843547874
0.101381382,0.012993268,1.299463785,0.612228501,"NH3: 0.38777149925, CH4: 0.61222850075","""O2: 0.21, N2: 0.79""",0.2,297.0887167,0.396846217,598.5576869,50273.7393,783.977609,46164.4304,752.3745896,205866.1854,5525.182688,104.3542089,10.73688381,2.173961986,11.62008816,6.777725607,11.55785633,792.3097531,78.1641788,0.722525743,5.776418897,669.9963289,11.7343993,16.58438234,11.61081328,1.998286094,11.55350366,3.165382677,1.992399627,0.572484341,3.618619497
0.101381382,0.016481971,1.350032846,0.612222616,"NH3: 0.38777738375, CH4: 0.61222261625","""O2: 0.21, N2: 0.79""",0.2,297.09916,0.327058231,549.6540108,47568.44475,4514.958603,53030.38204,5874.247203,218458.6078,34202.00359,25.37835671,17.05743691,8.182579054,28.92347197,5.390019141,28.13571317,3142.751942,439.7196532,15.83810183,14.22682073,3325.959866,459.435974,43.67732665,37.81997126,10.30551994,28.27883669,-2.766302237,15.10694202,10.18524939,22.95163867
0.101351384,0.021086386,1.398869897,0.612428796,"NH3: 0.387571204, CH4: 0.612428796","""O2: 0.21, N2: 0.79""",0.2,298.4883856,0.267354012,490.9086044,63813.79834,50253.84979,73790.33566,76722.59145,331312.2022,370984.7265,-8.68347767,179.3877696,115.2545105,379.8540161,7.870942616,358.3743729,7386.414313,7859.322923,116.917621,218.5535839,10216.94488,10709.36714,55.3629667,362.7293489,31.24460455,359.8245727,-90.98625303,95.0892136,216.3808909,220.4677239
