,base_case
C2H4 + OH <=> C2H3 + H2O,-5.681733742152031e-05
C2H4 + O <=> CH3 + HCO,0.00017890520625659916
C2H4 + O <=> CH2CHO + H,5.739397633349031e-05
2 C2H4 <=> C2H3 + C2H5,3.691963277131532e-06
C2H4 + O2 <=> C2H3 + HO2,5.522645929138971e-07
C2H4 + HO2 <=> C2H4O + OH,-1.516952005008964e-06
C2H4O + HO2 <=> CH3 + CO + H2O2,2.365833313033495e-09
C2H4 + M <=> C2H3 + H + M,8.999658263226665e-06
C2H4 + M <=> C2H2 + H2 + M,6.617938989718989e-06
C2H3 + H <=> C2H2 + H2,0.0002705178470431628
C2H3 (+M) <=> C2H2 + H (+M),9.166035370708012e-05
C2H3 + O2 <=> CH2O + HCO,1.1724608498076628e-05
C2H3 + O2 <=> CH2CHO + O,-0.0005593121212964813
C2H3 + O2 <=> C2H2 + HO2,-4.842953977595913e-06
C2H2 + O <=> H + HCCO,-0.00022584707525802366
C2H2 + O <=> CO + T-CH2,3.527507531067135e-05
C2H2 + O2 <=> CH2O + CO,1.8470134242225792e-07
C2H2 + OH <=> CH2CO + H,0.00046985564517705857
C2H2 + OH <=> C2H + H2O,-2.6974444327925217e-06
CH2CO + H <=> CH3 + CO,2.695868474449675e-05
CH2CO + O <=> CO2 + T-CH2,-4.611035856899048e-05
CH2CO + O <=> HCCO + OH,-2.915843584915553e-05
CH2CO + CH3 <=> C2H5 + CO,-8.909616987468768e-06
H + HCCO <=> CO + S-CH2,0.00011500847107436086
HCCO + OH <=> CO + H + HCO,2.1033560733692473e-06
HCCO + O <=> 2 CO + H,9.449742138634997e-06
HCCO + O2 <=> 2 CO + OH,8.402958647677257e-06
HCCO + O2 <=> CO + CO2 + H,-3.0008676921133894e-05
C2H + OH <=> H + HCCO,-2.015510471408899e-07
C2H + O <=> CH + CO,3.366281118001989e-08
C2H + O2 <=> HCCO + O,-1.136906897195244e-06
C2H + O2 <=> CH + CO2,-4.780801111054533e-06
C2H + O2 <=> CO + HCO,5.286007499332231e-07
CH2OH + H <=> CH2O + H2,1.0666385350442719e-06
CH3 + OH <=> CH2OH + H,0.002292807566511328
CH2OH + OH <=> CH2O + H2O,-5.9635224029096985e-06
CH2OH + O2 <=> CH2O + HO2,-6.798247052124686e-05
CH2OH (+M) <=> CH2O + H (+M),0.0005714864554713612
CH3O + M <=> CH2OH + M,1.0181198974266997e-05
CH2CO + OH <=> CH2OH + CO,0.00011650863719138745
CH3OH + OH <=> CH2OH + H2O,-4.090330511147797e-06
CH3OH + OH <=> CH3O + H2O,3.4705944746738256e-06
CH3OH + H <=> CH2OH + H2,3.3433337511506695e-05
CH3OH + H <=> CH3O + H2,5.672658645821393e-06
