,base_case
CH2OH + HCO <=> CH3OH + CO,-2.106488111007199e-06
CH2OH + CH3O <=> CH2O + CH3OH,-8.478142433457967e-08
CH2OH + OH <=> CH2O + H2O,-0.00047003499939832357
CH2OH + O <=> CH2O + OH,-0.00010554258528153587
2 CH2OH <=> CH2O + CH3OH,-1.3302224738929278e-07
CH3O + O2 <=> CH2O + HO2,-0.0016924082386690588
CH3O + H <=> CH2O + H2,-4.961058898915593e-05
CH3O + HO2 <=> CH2O + H2O2,3.2240841082421813e-06
CH3 + CH3O <=> CH2O + CH4,-3.142472986074206e-05
2 CH3O <=> CH2O + CH3OH,2.0584109941421792e-05
H + HCO (+M) <=> CH2O (+M),2.191516786471792e-05
CO + H2 (+M) <=> CH2O (+M),1.0046318949715875e-05
CH2O + O2 <=> HCO + HO2,6.952213515731796e-05
CH2O + O <=> HCO + OH,1.943583311639823e-05
CH2O + H <=> H2 + HCO,-0.0012527594599591213
CH2O + OH <=> H2O + HCO,-6.600643072759443e-06
CH2O + HO2 <=> H2O2 + HCO,8.11017883675268e-05
CH2O + CH3 <=> CH4 + HCO,0.0002568302344522124
CH2O + OCHO <=> HCO + HOCHO,1.0030450922488472e-12
CH2O + CH3O <=> CH3OH + HCO,-9.858486641224425e-06
CH2O + CH3O2 <=> CH3O2H + HCO,-8.377598611660426e-07
HCO + M <=> CO + H + M,0.03529048709453776
HCO + O2 <=> CO + HO2,-0.015836965219517874
HCO + O <=> CO + OH,-0.0003665652730517488
H + HCO <=> CO + H2,-0.012096545657658562
HCO + OH <=> CO + H2O,-0.0019518672592926097
CH3 + HCO <=> CH4 + CO,-0.0035861135477369137
2 HCO <=> CH2O + CO,-1.5631950152098574e-05
HCO + O <=> CO2 + H,-0.00033620873959456333
HCO + HO2 => CO2 + H + OH,3.7715660243082e-05
2 HCO => 2 CO + H2,-2.315723845535011e-06
CH2O + H (+M) <=> CH2OH (+M),0.016217190623897888
CH3O (+M) <=> CH2O + H (+M),0.0009683683252559147
HOCHO <=> CO + H2O,-1.2073962883714393e-07
HOCHO <=> CO2 + H2,4.261429304474752e-09
HO2 + OCHO <=> HOCHO + O2,7.358227779683442e-13
H2O2 + OCHO <=> HO2 + HOCHO,2.717160159407075e-11
HOCHO + H => CO2 + H2 + H,1.4773589802248538e-07
H + HOCHO => CO + H2 + OH,-7.715445639913871e-08
HOCHO + O => CO + 2 OH,-6.712253833363069e-09
HOCHO + OH => CO2 + H + H2O,9.56377501723789e-08
HOCHO + OH => CO + H2O + OH,-2.051978831853846e-08
CH3 + HOCHO => CH4 + CO + OH,-6.492735304745948e-09
HO2 + HOCHO => CO + H2O2 + OH,1.4070673196636372e-09
OCHO + OH <=> HO2CHO,1.2917589812183792e-13
2 CH3 (+M) <=> C2H6 (+M),0.0054240806291442675
C2H5 + H (+M) <=> C2H6 (+M),-0.00018510355723366223
C2H6 + O2 <=> C2H5 + HO2,-2.1772754076540383e-07
C2H6 + O <=> C2H5 + OH,-0.00038402997428095293
C2H6 + H <=> C2H5 + H2,-0.001409977902042401
C2H6 + OH <=> C2H5 + H2O,-0.0002322045564833543
C2H6 + HO2 <=> C2H5 + H2O2,1.9035534849194508e-05
C2H6 + CH <=> C2H5 + CH2,2.768851471408419e-06
C2H6 + CH2(S) <=> C2H5 + CH3,-2.879965749036123e-05
C2H6 + CH3 <=> C2H5 + CH4,4.222874107809447e-05
C2H6 + CH3O <=> C2H5 + CH3OH,6.549642468656349e-08
C2H6 + CH3O2 <=> C2H5 + CH3O2H,7.516249948935425e-08
C2H5O2 + C2H6 <=> C2H5 + C2H5O2H,-4.299318607370989e-09
C2H4 + H (+M) <=> C2H5 (+M),0.011821352760870239
C2H5 + H <=> C2H4 + H2,-7.774332223427452e-05
2 C2H4 <=> C2H3 + C2H5,-2.7948065208354564e-06
C2H5 + CH3 <=> C2H4 + CH4,-0.00015610546728620823
C2H5 + O <=> CH3CHO + H,-0.00045529896200878804
C2H5 + HO2 <=> C2H5O + OH,-1.8176046776983942e-05
C2H5 + CH3O2 <=> C2H5O + CH3O,-3.756594503271826e-07
2 CH3 <=> C2H5 + H,-0.0006785027337536894
C2H5 + O2 <=> C2H5O2,1.4954573562515326e-05
C2H5 + O2 <=> C2H4O2H,-6.54355392530091e-08
C2H5 + O2 <=> C2H4 + HO2,-0.00018974259007789574
C2H5 + O2 <=> C2H4O1-2 + OH,-4.5211083104153296e-06
C2H5 + O2 <=> CH3CHO + OH,-1.8368298366010603e-05
C2H4O2H <=> C2H5O2,-7.773945383092498e-09
C2H5O2 <=> CH3CHO + OH,-2.4724953261619535e-09
C2H5O2 <=> C2H4 + HO2,-2.251181366530712e-05
C2H5O2 <=> C2H4O1-2 + OH,-9.221369042367976e-08
C2H4O2H <=> C2H4O1-2 + OH,4.35844519708269e-09
C2H4O2H <=> C2H4 + HO2,5.133447540611086e-09
C2H4O2H <=> CH3CHO + OH,-1.6790935701732788e-15
C2H5O2 + H2 <=> C2H5O2H + H,-1.541842619199961e-07
C2H5O2 + HO2 <=> C2H5O2H + O2,2.336073177346684e-06
C2H5O2 + CH2O <=> C2H5O2H + HCO,-2.960150114397561e-07
C2H5O2 + CH4 <=> C2H5O2H + CH3,-6.84698607624182e-08
C2H5O2 + CH3OH <=> C2H5O2H + CH2OH,-8.080207002442562e-09
C2H5O2H <=> C2H5O + OH,-1.165202603313642e-06
C2H4O1-2 <=> CH3 + HCO,5.5459432803942905e-06
C2H4O1-2 <=> CH3CHO,-5.490676277694172e-06
C2H4O1-2 + H <=> C2H3O1-2 + H2,-1.0622549427335605e-07
C2H4O1-2 + OH <=> C2H3O1-2 + H2O,-5.11336503421248e-08
C2H4O1-2 + HO2 <=> C2H3O1-2 + H2O2,7.880670677328957e-12
C2H4O1-2 + CH3 <=> C2H3O1-2 + CH4,-5.488034948887356e-09
C2H4O1-2 + CH3O <=> C2H3O1-2 + CH3OH,-3.54025441218217e-11
C2H4O1-2 + CH3O2 <=> C2H3O1-2 + CH3O2H,-3.05665537018805e-14
C2H4O1-2 + C2H5O2 <=> C2H3O1-2 + C2H5O2H,-3.8493357927801724e-14
C2H3O1-2 <=> CH3CO,-2.955560301417773e-06
C2H3O1-2 <=> CH2CHO,-2.5135084266801188e-05
C2H3 + H (+M) <=> C2H4 (+M),-0.00015053184874203474
C2H4 + M <=> C2H2 + H2 + M,0.00025094260127862366
C2H4 + O2 <=> C2H3 + HO2,-1.994509722393912e-06
C2H4 + H <=> C2H3 + H2,-0.0004011726859191115
C2H4 + OH <=> C2H3 + H2O,-0.00028778854497165957
C2H4 + CH3O <=> C2H3 + CH3OH,-1.5702565374223573e-07
C2H4 + CH3O2 <=> C2H3 + CH3O2H,5.586974604804851e-09
C2H4 + C2H5O2 <=> C2H3 + C2H5O2H,1.0928977303460049e-11
C2H4 + CH3 <=> C2H3 + CH4,3.586426437547738e-05
C2H4 + CH3 <=> C2H3 + CH4,1.1427185639049912e-06
C2H4 + O <=> CH3 + HCO,-0.0017935992240337918
C2H4 + O <=> CH2CHO + H,-0.00018539126125027218
CH + CH4 <=> C2H4 + H,3.821823169272611e-05
CH2(S) + CH3 <=> C2H4 + H,1.6797002939057329e-06
C2H4 + OH <=> CH2O + CH3,-1.779268177200952e-05
C2H4 + OH <=> CH3CHO + H,1.1571387616775665e-05
C2H4 + OH <=> PC2H4OH,1.833111698185895e-06
C2H4 + HO2 <=> C2H4O1-2 + OH,1.7051077046912276e-06
C2H4 + CH3O2 <=> C2H4O1-2 + CH3O,1.1182206517329424e-07
C2H4 + C2H5O2 <=> C2H4O1-2 + C2H5O,-1.0979851596337716e-08
C2H2 + H (+M) <=> C2H3 (+M),0.008651495046143029
C2H3 + O2 <=> CH2CHO + O,0.00043888845708942926
C2H3 + O2 <=> CH2CHO + O,0.0021409613405581848
C2H3 + O2 <=> C2H2 + HO2,-8.777376893659731e-05
C2H3 + O2 <=> C2H2 + HO2,-6.860682104107233e-05
C2H3 + O2 <=> CH2CO + OH,-1.4368620241014495e-05
C2H3 + O2 <=> CH2CO + OH,-2.737963659110633e-06
C2H3 + O2 <=> CH2O + HCO,1.6722564790436957e-05
C2H3 + O2 <=> CH2O + HCO,0.0002244853763127567
C2H3 + O2 => CH2O + CO + H,7.303435625728491e-05
C2H3 + O2 => CH2O + CO + H,0.0009584102937418569
C2H3 + O2 <=> CH3O + CO,1.1495617909278319e-05
C2H3 + O2 <=> CH3O + CO,5.9923898263964095e-06
C2H3 + O2 <=> CH3 + CO2,-2.297166122903826e-06
C2H3 + O2 <=> CH3 + CO2,-2.3912835286581687e-05
C2H3 + H <=> C2H2 + H2,-0.00850871111064525
C2H3 + OH <=> C2H2 + H2O,-0.0010060349711923198
C2H3 + CH3 <=> C2H2 + CH4,-3.576461858424961e-05
2 C2H3 <=> C2H2 + C2H4,-3.9788619461882277e-07
C2H + H (+M) <=> C2H2 (+M),-1.3139272529533357e-05
C2H2 + O <=> CH2 + CO,-0.0003863572167825751
C2H2 + O <=> H + HCCO,0.0005015417868407541
C2H2 + HO2 <=> CH2CO + OH,-5.130072445565371e-08
C2H2 + HCO <=> C2H3 + CO,-2.043565372426803e-05
C2H2 + CH2 <=> C3H3 + H,-9.883045428453985e-05
C2H2 + CH2(S) <=> C3H3 + H,-5.2127358777532684e-05
C2H2 + HCCO <=> C3H3 + CO,-1.954087143757394e-06
C2H2 + OH <=> C2H + H2O,2.1452523735340795e-05
C2H2 + OH <=> CH2CO + H,-0.00011010783081022257
C2H2 + OH <=> CH3 + CO,-0.00016713727192160937
C2H + O2 <=> CO + HCO,0.00014789748190506094
C2H + O <=> CH + CO,-4.380637570988412e-06
C2H + H2 <=> C2H2 + H,2.607516434811363e-05
C2H + OH <=> H + HCCO,-2.553425503334763e-06
CH3CHO (+M) <=> CH3 + HCO (+M),-0.00010630752419839718
CH3CHO (+M) <=> CH4 + CO (+M),-7.837374399555286e-08
CH3CHO + O2 <=> CH3CO + HO2,1.4817585674336045e-07
CH3CHO + O <=> CH3CO + OH,-6.837389544967527e-07
CH3CHO + OH <=> CH3CO + H2O,-8.938816548972865e-07
CH3CHO + HO2 <=> CH3CO + H2O2,7.140988028277015e-08
CH3CHO + CH3O2 <=> CH3CO + CH3O2H,-2.287413863708247e-09
CH3CHO + H <=> CH2CHO + H2,-6.49632516608597e-06
CH3CHO + OH <=> CH2CHO + H2O,-2.285703197851357e-06
CH3CHO + OH <=> CH3 + HOCHO,3.0137649322211126e-07
CH3CO <=> CH3 + CO,2.2824451468670608e-05
CH3CO + O2 <=> CH3CO3,4.268416775681342e-07
CH3CO + O2 <=> CH2CO + HO2,-3.1140485026341364e-06
CH3CO (+M) <=> CH2CO + H (+M),1.1182622694807833e-06
CH3CO + H <=> CH2CO + H2,-5.417706110347502e-06
CH3CO + O <=> CH2CO + OH,-4.2422600634224816e-07
CH3 + CH3CO <=> CH2CO + CH4,-1.3853265815728833e-05
CH2CHO (+M) <=> CH2CO + H (+M),0.0004857853722550333
CH2CHO (+M) <=> CH3 + CO (+M),-3.1889832601882146e-05
CH2CO (+M) <=> CH2 + CO (+M),-0.0013218211311438984
C2H3 + O <=> CH2CO + H,-0.00023217191802144682
CH2CO + H <=> CH3 + CO,-0.0007421152112875169
CH3 + HCO <=> CH2CO + H2,-1.2307288073934782e-05
CH + CH2O <=> CH2CO + H,-0.00010484434945432306
CH2CO + O <=> CH2 + CO2,4.8555754966288015e-06
CH2CO + OH <=> CH2OH + CO,0.00017841311310691366
CH2(S) + CH2CO <=> C2H4 + CO,-4.116434830434237e-07
CH2CO + CH3 <=> C2H5 + CO,3.0628266315435896e-05
HCCO + OH => 2 CO + H2,-0.0003338254683744297
HCCO + O => 2 CO + H,-5.8899445101978156e-05
CH + CO + M <=> HCCO + M,0.0003170504225195791
H + HCCO <=> CH2(S) + CO,-0.0015373039598305888
HCCO + O2 => 2 CO + OH,0.00014274171703317404
HCCO + O2 => CO + CO2 + H,0.0018116975957656503
CH + HCCO <=> C2H2 + CO,-1.8338670482747595e-06
C2H5OH <=> C2H4 + H2O,2.95451438910611e-07
C2H5OH <=> CH2OH + CH3,-1.261927343820944e-05
C2H5OH <=> C2H5 + OH,-5.72054108659408e-05
