,base_case
CH2CO + OH <=> H2O + HCCO,0.003689548253501352
2 HO2 <=> H2O2 + O2,0.003571697604240726
2 HO2 <=> H2O2 + O2,0.003074606823818243
CH2 + HO2 <=> CH2O + OH,0.003398000453374777
CH3 + HO2 <=> CH4 + O2,0.001773334946825416
CH3 + HO2 <=> CH3O + OH,0.09696068648260191
CO + HO2 <=> CO2 + OH,-0.008476829923014488
CH2O + HO2 <=> H2O2 + HCO,0.003196809799585108
C + O2 <=> CO + O,0.0048868530184841994
C + CH2 <=> C2H + H,0.0034837526762052265
C + CH3 <=> C2H2 + H,0.0036157091844823104
CH + O2 <=> HCO + O,0.013949490382927619
CH + H2 <=> CH2 + H,0.01882939778961275
CH + H2O <=> CH2O + H,0.04563056461007502
CH + CH2 <=> C2H2 + H,0.004146845369018036
CH + CH3 <=> C2H3 + H,0.0037475485779467073
CH + CH4 <=> C2H4 + H,0.005328627245290088
CH + CO (+M) <=> HCCO (+M),0.005831385368421438
CH + CO2 <=> CO + HCO,0.007100864109724989
CH + CH2O <=> CH2CO + H,0.002895672233102175
CH + HCCO <=> C2H2 + CO,0.0034865128843220993
CH2 + O2 => CO + H + OH,0.018662135547835322
CH2 + H2 <=> CH3 + H,0.0076806400626761905
2 CH2 <=> C2H2 + H2,0.0026326902098052483
CH2 + CH3 <=> C2H4 + H,0.013259370934702959
CH2 + CH4 <=> 2 CH3,0.003844567200831004
CH2 + CO (+M) <=> CH2CO (+M),0.012764700201602116
CH2 + HCCO <=> C2H3 + CO,0.004245477317620299
CH2(S) + N2 <=> CH2 + N2,0.011232008987480212
AR + CH2(S) <=> AR + CH2,0.004986770437122465
CH2(S) + O2 <=> CO + H + OH,0.012736801191412113
CH2(S) + O2 <=> CO + H2O,-0.006205392456650196
CH2(S) + H2 <=> CH3 + H,0.014266119485471929
CH2(S) + H2O (+M) <=> CH3OH (+M),0.006786879445561333
CH2(S) + H2O <=> CH2 + H2O,0.008476809613834922
CH2(S) + CH3 <=> C2H4 + H,0.004737050051112256
CH2(S) + CH4 <=> 2 CH3,0.0034102641603096164
CH2(S) + CO <=> CH2 + CO,0.0038873022691750824
CH2(S) + CO2 <=> CH2 + CO2,0.003795930780788686
CH2(S) + CO2 <=> CH2O + CO,0.02192191389943499
C2H6 + CH2(S) <=> C2H5 + CH3,0.0032762328051620885
CH3 + O2 <=> CH3O + O,0.018881744559484433
CH3 + O2 <=> CH2O + OH,0.009701152668026453
CH3 + H2O2 <=> CH4 + HO2,0.004378879909711227
2 CH3 (+M) <=> C2H6 (+M),-0.003238050406630651
2 CH3 <=> C2H5 + H,-0.00892186299821062
CH3 + HCO <=> CH4 + CO,-0.006785498624587484
CH2O + CH3 <=> CH4 + HCO,-0.00039941094139943307
CH3 + CH3OH <=> CH2OH + CH4,0.003602787996702357
CH3 + CH3OH <=> CH3O + CH4,0.0036533651000708028
C2H4 + CH3 <=> C2H3 + CH4,0.003479034569671868
C2H6 + CH3 <=> C2H5 + CH4,0.003299671173064753
HCO + H2O <=> CO + H + H2O,0.06427651226731379
HCO + M <=> CO + H + M,0.045647568649368885
HCO + O2 <=> CO + HO2,-0.04653708759632679
CH2OH + O2 <=> CH2O + HO2,-0.010270000428058952
CH3O + O2 <=> CH2O + HO2,-0.006313805338046488
C2H + O2 <=> CO + HCO,0.00449076913040062
C2H + H2 <=> C2H2 + H,0.0035588569362017455
C2H3 + O2 <=> CH2O + HCO,0.0078094670762449735
