,base_case
C2H2 + OH <=> H + HCCOH,4.399207932987556e-06
C2H2 + OH <=> C2H + H2O,6.780293078714645e-06
C2H2 + OH <=> CH3 + CO,-6.658619472946099e-06
C2H3 + OH <=> C2H2 + H2O,-8.874964708428397e-05
C2H4 + OH <=> C2H3 + H2O,-0.00014888068556158195
C2H6 + OH <=> C2H5 + H2O,-0.0005245324225715024
CH2CO + OH <=> H2O + HCCO,2.4085429049023513e-05
2 HO2 <=> H2O2 + O2,0.0017715851818075584
2 HO2 <=> H2O2 + O2,0.001438189549484831
CH2 + HO2 <=> CH2O + OH,-1.9024084565796846e-05
CH3 + HO2 <=> CH4 + O2,0.002001847532040974
CH3 + HO2 <=> CH3O + OH,-0.008561111433247734
CO + HO2 <=> CO2 + OH,-0.00014771962088351646
CH2O + HO2 <=> H2O2 + HCO,1.7209436253798833e-05
C + O2 <=> CO + O,-2.282752012572557e-05
C + CH2 <=> C2H + H,-1.4488200395021328e-07
C + CH3 <=> C2H2 + H,-5.122294809444072e-06
CH + O2 <=> HCO + O,0.0010785029361558536
CH + H2 <=> CH2 + H,-0.0001513354593587075
CH + H2O <=> CH2O + H,2.7407471737689026e-05
CH + CH2 <=> C2H2 + H,-1.9856316805915532e-06
CH + CH3 <=> C2H3 + H,1.4889232519244975e-05
CH + CH4 <=> C2H4 + H,3.101534277737835e-05
CH + CO (+M) <=> HCCO (+M),0.0001239721311780408
CH + CO2 <=> CO + HCO,-7.070016855386176e-06
CH + CH2O <=> CH2CO + H,-4.701303810509277e-05
CH + HCCO <=> C2H2 + CO,-1.4460184101321154e-06
CH2 + O2 => CO + H + OH,0.002336652994099885
CH2 + H2 <=> CH3 + H,0.00013743200710077184
2 CH2 <=> C2H2 + H2,-8.459121223591132e-05
CH2 + CH3 <=> C2H4 + H,0.0003464536448790698
CH2 + CH4 <=> 2 CH3,8.784464837561794e-06
CH2 + CO (+M) <=> CH2CO (+M),0.0007456225389438891
CH2 + HCCO <=> C2H3 + CO,-1.03374236336854e-06
CH2(S) + N2 <=> CH2 + N2,0.0008121444008646211
AR + CH2(S) <=> AR + CH2,0.0
CH2(S) + O2 <=> CO + H + OH,0.0013131615420549042
CH2(S) + O2 <=> CO + H2O,-0.0009823496578328307
CH2(S) + H2 <=> CH3 + H,0.0005582136547333062
CH2(S) + H2O (+M) <=> CH3OH (+M),-0.00020965693512796916
CH2(S) + H2O <=> CH2 + H2O,0.0005605220952532368
CH2(S) + CH3 <=> C2H4 + H,1.1709519778532714e-05
CH2(S) + CH4 <=> 2 CH3,-5.626718198438458e-06
CH2(S) + CO <=> CH2 + CO,4.371955918653999e-05
CH2(S) + CO2 <=> CH2 + CO2,1.7712109340518135e-05
CH2(S) + CO2 <=> CH2O + CO,-0.00026386280125536085
C2H6 + CH2(S) <=> C2H5 + CH3,-6.850629278385432e-06
CH3 + O2 <=> CH3O + O,0.0022292020573166887
CH3 + O2 <=> CH2O + OH,0.000596018085642803
CH3 + H2O2 <=> CH4 + HO2,4.284590775319508e-05
2 CH3 (+M) <=> C2H6 (+M),0.008494643759858653
2 CH3 <=> C2H5 + H,0.0001508870702844247
CH3 + HCO <=> CH4 + CO,-0.0009659704641872414
CH2O + CH3 <=> CH4 + HCO,-0.00032091467552503483
CH3 + CH3OH <=> CH2OH + CH4,-1.4845738306217655e-05
CH3 + CH3OH <=> CH3O + CH4,0.0003624660277957329
C2H4 + CH3 <=> C2H3 + CH4,-1.0415566552155761e-05
C2H6 + CH3 <=> C2H5 + CH4,-4.2950929825498085e-05
HCO + H2O <=> CO + H + H2O,0.004481875463300317
HCO + M <=> CO + H + M,0.003123884952434043
HCO + O2 <=> CO + HO2,-0.004024551962885546
CH2OH + O2 <=> CH2O + HO2,-0.0005914432902668635
CH3O + O2 <=> CH2O + HO2,-0.005078711794436053
C2H + O2 <=> CO + HCO,6.222049251109955e-05
C2H + H2 <=> C2H2 + H,-3.90311447106412e-06
C2H3 + O2 <=> CH2O + HCO,0.00026306467945117607
C2H4 (+M) <=> C2H2 + H2 (+M),-2.1768073086378774e-07
C2H5 + O2 <=> C2H4 + HO2,-0.001544362152420346
HCCO + O2 <=> 2 CO + OH,0.0019246695456566717
2 HCCO <=> C2H2 + 2 CO,-5.744754871521159e-07
C2H4 + O <=> CH2CHO + H,-0.0006460481927949049
C2H5 + O <=> CH3CHO + H,-0.0003391450887068254
CH + H2 (+M) <=> CH3 (+M),-5.727521393342036e-05
CH2 + O2 => CO2 + 2 H,0.003475116171324669
CH2 + O2 <=> CH2O + O,0.001139018419430592
2 CH2 => C2H2 + 2 H,7.77545877428722e-07
CH2(S) + H2O => CH2O + H2,-3.0707781740634725e-05
C2H3 + O2 <=> CH2CHO + O,0.0023088520110015804
C2H3 + O2 <=> C2H2 + HO2,-0.0001843677388432019
CH3CHO + O <=> CH2CHO + OH,-2.7379426904074e-06
CH3CHO + O => CH3 + CO + OH,-1.6556901810105925e-06
CH3CHO + O2 => CH3 + CO + HO2,2.6663434774723933e-07
CH3CHO + H <=> CH2CHO + H2,2.473034626336541e-06
CH3CHO + H => CH3 + CO + H2,-5.587117572743427e-06
CH3CHO + OH => CH3 + CO + H2O,1.8900609801144964e-06
CH3CHO + HO2 => CH3 + CO + H2O2,4.77261591889796e-07
CH3CHO + CH3 => CH4 + CO + CH3,-4.085825306744188e-07
CH2CO + H (+M) <=> CH2CHO (+M),-0.00040066552732726993
CH2CHO + O => CH2 + CO2 + H,1.498079576422159e-06
CH2CHO + O2 => CH2O + CO + OH,0.00039761899811494933
CH2CHO + O2 => 2 HCO + OH,-0.0006057431035500092
CH2CHO + H <=> CH3 + HCO,3.4035809696317686e-06
CH2CHO + H <=> CH2CO + H2,-1.4917781247788514e-06
CH2CHO + OH <=> CH2CO + H2O,-2.525596650111754e-06
CH2CHO + OH <=> CH2OH + HCO,7.274412702873202e-06
C2H5 + CH3 (+M) <=> C3H8 (+M),0.00026664054073618923
C3H8 + O <=> C3H7 + OH,-1.4094309905172495e-05
C3H8 + H <=> C3H7 + H2,-3.8221740151267245e-06
C3H8 + OH <=> C3H7 + H2O,5.081352612896572e-06
C3H7 + H2O2 <=> C3H8 + HO2,6.733736929863246e-08
C3H8 + CH3 <=> C3H7 + CH4,-2.373459847616218e-07
C2H4 + CH3 (+M) <=> C3H7 (+M),8.535634007646742e-07
C3H7 + O <=> C2H5 + CH2O,-4.425240384390565e-07
C3H7 + H (+M) <=> C3H8 (+M),1.630603262834987e-07
C3H7 + H <=> C2H5 + CH3,3.16490431711265e-07
C3H7 + OH <=> C2H5 + CH2OH,8.777558377011263e-08
C3H7 + HO2 <=> C3H8 + O2,1.5099477262897043e-07
C3H7 + HO2 => C2H5 + CH2O + OH,-1.7065860626217213e-06
C3H7 + CH3 <=> 2 C2H5,-6.060427352558102e-07
N + NO <=> N2 + O,-0.005342680321951596
N + O2 <=> NO + O,0.005168880210088173
N + OH <=> H + NO,3.1291475079998376e-06
N2O + O <=> N2 + O2,-7.940399993817562e-06
N2O + O <=> 2 NO,2.677826647300164e-05
H + N2O <=> N2 + OH,-0.0011187823981114627
N2O + OH <=> HO2 + N2,1.96963119599624e-06
N2O (+M) <=> N2 + O (+M),0.0009788401360132728
HO2 + NO <=> NO2 + OH,-0.013518395576248187
NO + O + M <=> NO2 + M,-3.126875637841043e-05
NO2 + O <=> NO + O2,5.58341001923316e-05
H + NO2 <=> NO + OH,0.0071113853446724004
H + NH <=> H2 + N,0.0015461704426463546
NH + O <=> H + NO,0.0027026224052757192
NH + OH <=> H + HNO,0.0030640651423794697
NH + OH <=> H2O + N,0.0001442043941115293
NH + O2 <=> HNO + O,0.008969651557364951
NH + O2 <=> NO + OH,0.006064604613819241
2 NH <=> 2 H + N2,0.00017269049013529764
N + NH <=> H + N2,-0.00021922871939364215
NH + NO <=> H + N2O,-0.03487583436777192
NH + NO <=> H + N2O,0.009206265838965137
NH + NO <=> N2 + OH,-0.010096930258395467
HONO + NH <=> NH2 + NO2,1.0499245907557377e-05
NH + NO2 <=> N2O + OH,-0.00028862199699448765
H + NH2 <=> H2 + NH,0.0036832947607727223
NH2 + O <=> H + HNO,0.030187668588517902
NH2 + O <=> NH + OH,0.0005328004451729223
NH2 + OH <=> H2O + NH,0.00034615930536530386
HO2 + NH2 <=> NH3 + O2,0.0030604670091378522
NH2 + O2 <=> H2NO + O,0.0005099582538361202
2 NH2 <=> NH + NH3,0.0029062529085745964
NH + NH2 <=> H + N2H2,0.011557157226928782
NH + NH2 <=> N + NH3,5.3272822906977357e-05
N + NH2 <=> 2 H + N2,0.00041184717301095584
HNO + NH2 <=> NH3 + NO,5.9261820426915316e-05
NH2 + NO <=> H2O + N2,-0.044269613374302776
NH2 + NO <=> NNH + OH,-0.031262280034622406
HONO + NH2 <=> NH3 + NO2,3.6006203425937676e-05
NH2 + NO2 <=> H2O + N2O,0.0007160144689215693
NNH <=> H + N2,0.0014311221945269232
H + NNH <=> H2 + N2,-0.00011382455406574695
NNH + O <=> H + N2O,0.0002728121391578578
NNH + O <=> NH + NO,-0.0005442879477776476
NNH + OH <=> H2O + N2,-2.4210130487007515e-05
NNH + O2 <=> HO2 + N2,-0.0015743870202467273
NNH + O2 <=> H + N2 + O2,0.00037127270430753305
NH + NNH <=> N2 + NH2,-3.4501669515614953e-06
NH2 + NNH <=> N2 + NH3,-1.8047825429992324e-05
NNH + NO <=> HNO + N2,-5.337222965922591e-05
CH3 + NNH <=> CH4 + N2,-2.5188404731346328e-05
H + NO + M <=> HNO + M,0.004147415888444791
HNO + O <=> NO + OH,-1.1827964860485807e-05
H + HNO <=> H2 + NO,-0.0019142698012413204
HNO + OH <=> H2O + NO,-0.00019322444025060329
HNO + O2 <=> HO2 + NO,0.0008764252555010511
HNO + NO2 <=> HONO + NO,4.9676744261862016e-08
H + NH3 <=> H2 + NH2,0.009071685701144978
NH3 + OH <=> H2O + NH2,-0.01789779860064018
NH3 + O <=> NH2 + OH,-0.004600329471456079
CO2 + NH <=> CO + HNO,-0.0008346645546648289
2 NH2 <=> N2H4,0.015420393207061974
N2H4 + O <=> NH + NH2OH,2.4860168767256466e-06
N2H3 <=> H + N2H2,0.0016341192741326058
H + N2H3 <=> H2 + N2H2,2.619020589334186e-05
HO2 + N2H3 <=> H2O2 + N2H2,0.013089199307136732
HO2 + N2H3 <=> N2H4 + O2,0.0006486351116178607
N2H3 + NH <=> N2H2 + NH2,-0.0007454090517040908
H + N2H2 <=> H2 + NNH,-0.007664472104959406
N2H2 + O <=> NNH + OH,-0.0008809703995842
N2H2 + O <=> NH2 + NO,0.00017553935597940134
N2H2 + OH <=> H2O + NNH,-0.0003113530424034138
N2H2 + NH <=> NH2 + NNH,-0.000436660939430059
H2NO + OH <=> H2O + HNO,3.490144163244648e-05
CN + NO2 <=> NCO + NO,-1.2692153167136997e-08
NCO + NO2 <=> CO2 + N2O,-3.0389148050869416e-06
CO2 + N <=> CO + NO,-5.865306515756248e-05
CN + O <=> CO + N,-7.295040328139808e-06
CN + OH <=> H + NCO,-5.065164700384077e-05
CN + H2O <=> HCN + OH,3.871976890322663e-06
CN + O2 <=> NCO + O,8.093783321635487e-05
CN + H2 <=> H + HCN,5.6753951228998994e-06
NCO + O <=> CO + NO,3.5655922335150085e-05
H + NCO <=> CO + NH,4.3200846645555184e-05
NCO + OH <=> CO + H + NO,4.784517893014649e-05
N + NCO <=> CO + N2,-6.119624973689441e-06
NCO + O2 <=> CO2 + NO,1.1301117979317771e-05
NCO + M <=> CO + N + M,7.6026677194923984e-06
