,base_case
2 O + M <=> O2 + M,-2.355868014289899e-08
H + O + M <=> OH + M,-3.094280060956634e-08
H2 + O <=> H + OH,1.2846190677804273e-06
HO2 + O <=> O2 + OH,-8.754189048522321e-08
H2O2 + O <=> HO2 + OH,-9.042072723511079e-08
CH + O <=> CO + H,-9.092940412464395e-08
CH2 + O <=> H + HCO,-8.93650819920463e-08
CH2(S) + O <=> CO + H2,-8.668259460327966e-08
CH2(S) + O <=> H + HCO,-8.347881185677263e-08
CH3 + O <=> CH2O + H,-3.767067624295351e-07
CH4 + O <=> CH3 + OH,1.1565664163540776e-07
CO + O (+M) <=> CO2 (+M),-2.947009182659851e-08
HCO + O <=> CO + OH,-4.037145359719288e-08
HCO + O <=> CO2 + H,-4.863860792811155e-08
CH2O + O <=> HCO + OH,-5.02064866699987e-08
CH2OH + O <=> CH2O + OH,-4.585112561759901e-08
CH3O + O <=> CH2O + OH,-5.0366929266836644e-08
CH3OH + O <=> CH2OH + OH,-5.229816811104107e-08
CH3OH + O <=> CH3O + OH,-5.429965339542722e-08
C2H + O <=> CH + CO,-5.706729500430939e-08
C2H2 + O <=> H + HCCO,2.695923468304792e-09
C2H2 + O <=> C2H + OH,-1.173329492666307e-08
C2H2 + O <=> CH2 + CO,-9.285652765848273e-09
C2H3 + O <=> CH2CO + H,-3.525279785995538e-08
C2H4 + O <=> CH3 + HCO,-2.4067197598222614e-07
C2H5 + O <=> CH2O + CH3,-1.596482329225242e-07
C2H6 + O <=> C2H5 + OH,-4.520634369517836e-08
HCCO + O <=> 2 CO + H,-3.72357233671296e-08
CH2CO + O <=> HCCO + OH,-4.135168782183532e-08
CH2CO + O <=> CH2 + CO2,-4.3188233647063464e-08
CO + O2 <=> CO2 + O,-4.751357473676281e-08
CH2O + O2 <=> HCO + HO2,-4.9235028140308155e-08
H + O2 + M <=> HO2 + M,-5.716450899155602e-08
H + O2 + O2 <=> HO2 + O2,-4.933487211066925e-08
H + O2 + H2O <=> HO2 + H2O,-1.0887161224461803e-07
H + O2 + N2 <=> HO2 + N2,-4.3907145663487704e-08
H + O2 + AR <=> HO2 + AR,-4.788234470071969e-08
H + O2 <=> O + OH,2.54259459151416e-05
2 H + M <=> H2 + M,-8.21471819089554e-09
2 H + H2 <=> H2 + H2,-2.16037987043754e-08
