,base_case
C2H4 + O <=> CH2CHO + H,-0.0005193470341200882
2 C2H4 <=> C2H3 + C2H5,-2.9267622595827733e-05
C2H4 + O2 <=> C2H3 + HO2,-4.224155144868597e-06
C2H4 + HO2 <=> C2H4O + OH,-2.208357431000358e-05
C2H4O + HO2 <=> CH3 + CO + H2O2,6.643493255588351e-08
C2H4 + M <=> C2H3 + H + M,-0.0001064599687940768
C2H4 + M <=> C2H2 + H2 + M,-2.9978569755530512e-05
C2H3 + H <=> C2H2 + H2,-0.002877949600631713
C2H3 (+M) <=> C2H2 + H (+M),0.0001229370834097137
C2H3 + O2 <=> CH2O + HCO,-0.00024102313473969438
C2H3 + O2 <=> CH2CHO + O,0.004262969104110157
C2H3 + O2 <=> C2H2 + HO2,6.797409728137855e-05
C2H2 + O <=> H + HCCO,0.0017505217499234741
C2H2 + O <=> CO + T-CH2,-0.0006437666832779148
C2H2 + O2 <=> CH2O + CO,-5.971669961588657e-06
C2H2 + OH <=> CH2CO + H,-0.004746204193579712
C2H2 + OH <=> C2H + H2O,3.185663117557252e-05
CH2CO + H <=> CH3 + CO,-0.0001369764504775663
CH2CO + O <=> CO2 + T-CH2,0.00036771929465899053
CH2CO + O <=> HCCO + OH,0.00025331534990895467
CH2CO + CH3 <=> C2H5 + CO,7.08571977012979e-05
H + HCCO <=> CO + S-CH2,-0.001140453614850405
HCCO + OH <=> CO + H + HCO,-1.9095172385455912e-05
HCCO + O <=> 2 CO + H,-0.00010141919490844839
HCCO + O2 <=> 2 CO + OH,-0.0003917944650950935
HCCO + O2 <=> CO + CO2 + H,9.299444911559298e-05
C2H + OH <=> H + HCCO,3.1157280729854316e-07
C2H + O <=> CH + CO,-4.837040116709213e-07
C2H + O2 <=> HCCO + O,8.531639385904094e-06
C2H + O2 <=> CH + CO2,3.015185402913325e-05
C2H + O2 <=> CO + HCO,-1.7236198446675155e-05
CH2OH + H <=> CH2O + H2,-0.00025307063746541475
CH3 + OH <=> CH2OH + H,-0.021826637670804526
CH2OH + OH <=> CH2O + H2O,-2.339135702167779e-05
CH2OH + O2 <=> CH2O + HO2,0.00021016794347206537
CH2OH (+M) <=> CH2O + H (+M),-0.004658468585120542
CH3O + M <=> CH2OH + M,-8.568074170866925e-05
CH2CO + OH <=> CH2OH + CO,-0.001141440634381382
CH3OH + OH <=> CH2OH + H2O,2.404831933307002e-05
CH3OH + OH <=> CH3O + H2O,-4.238711359164428e-05
CH3OH + H <=> CH2OH + H2,-0.00033823529678323963
CH3OH + H <=> CH3O + H2,-5.178623661352885e-05
CH3OH + O <=> CH2OH + OH,0.00017737501848682968
CH3OH + HO2 <=> CH2OH + H2O2,5.135163999510962e-06
CH3OH + O2 <=> CH2OH + HO2,-8.370812975458853e-08
CH3OH (+M) <=> CH3 + OH (+M),-0.006594087187095129
CH2CHO <=> CH2CO + H,1.4427793876101151e-05
CH2CHO + H <=> CH3 + HCO,-3.371596980689308e-06
CH2CHO + H <=> CH2CO + H2,-1.0296588546095097e-05
CH2CHO + O <=> CH2O + HCO,-3.7839776401911337e-06
CH2CHO + OH <=> CH2CO + H2O,-3.96744332916853e-06
CH2CHO + O2 <=> CH2O + CO + OH,4.063579297154332e-06
CH2CHO + CH3 <=> C2H5 + CO + H,1.3187411941919689e-05
CH2CHO + HO2 <=> CH2O + HCO + OH,2.758223646573389e-07
CH2CHO + HO2 <=> CH3CHO + O2,-1.706890274058402e-07
CH2CHO <=> CH3 + CO,-6.429694298793863e-06
CH3CHO <=> CH3 + HCO,-9.55946856587452e-05
CH3CO (+M) <=> CH3 + CO (+M),-4.562890375645251e-10
CH3CHO + OH <=> CH3CO + H2O,-9.379519513389244e-06
CH3CHO + OH <=> CH2CHO + H2O,-7.198656383582933e-07
CH3CHO + O <=> CH3CO + OH,-1.2071864467276642e-07
CH3CHO + O <=> CH2CHO + OH,-1.169594546821291e-07
CH3CHO + H <=> CH3CO + H2,-2.066079136492277e-05
CH3CHO + H <=> CH2CHO + H2,-5.5654314259501505e-05
CH3 + CH3CHO <=> CH3CO + CH4,-1.0396727808597786e-05
CH3 + CH3CHO <=> CH2CHO + CH4,-2.914518047018284e-07
CH3CHO + HO2 <=> CH3CO + H2O2,8.660311326840004e-08
CH3CHO + HO2 <=> CH2CHO + H2O2,7.200990294416563e-08
CH3CHO + O2 <=> CH3CO + HO2,1.0075034825595531e-07
