,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,H2,H,O2,O,H2O,OH,H2O2,HO2,NO,N2O,NO2,HNO,HONO,N2H2,NH3,N2H4,N,NH,NNH,NH2,H2NO
0,0.937,907,296.083,468.311,100564.785,0.195,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",18.974149718362924,19.5,0.7077613461521938,0.00022958690253315923,4.259971528793307e-09,0.004419439391630993,1.6728444073255878e-11,0.2832177995084951,1.1466937744626412e-07,7.578381207830781e-07,9.67461741126754e-10,0.004244433902288453,4.800728530378488e-07,3.401904548329233e-05,2.6269483986588606e-06,8.93881692113476e-05,2.8376181879622824e-15,1.440353762757298e-10,6.052025341707372e-16,-2.377266760999923e-16,1.0645813457724242e-15,1.5646222523085424e-15,1.7336262561249678e-14,2.011193816262549e-09
0,0.988,872,293.511,465.951,100564.785,0.178,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",16.227793553402535,17.799999999999997,0.7042174411697839,0.004041976865274335,1.4922699501054047e-06,7.192260714816643e-05,4.683806688275252e-12,0.28790446365809264,1.0651763830319665e-07,2.1694698706096495e-08,5.886471378564003e-09,0.003730048124063969,1.0190799123843432e-06,4.477409221473477e-07,1.4306909900662081e-05,1.6732298419897766e-05,5.5245763946744026e-15,6.104144770543716e-09,2.7714592723443613e-15,-2.270290327474473e-15,-1.843262676168558e-15,1.5588920607007182e-14,2.8194140347315362e-11,9.040681027831568e-09
0,1.038,863,294.153,468.958,100564.785,0.204,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",19.567153700980725,20.4,0.6990274128168715,0.013455362919416717,2.8191828885337233e-06,2.9083941524913434e-06,5.144283066644225e-13,0.28474991325996885,7.695726495544402e-09,1.9062184873952928e-09,5.89321410524514e-10,0.002746246506632985,7.276164697148465e-07,1.8412719950206216e-08,1.212941504575356e-05,2.388743639174316e-06,7.45969643873898e-15,5.7700222344311665e-08,5.2738323726406546e-15,4.1434256479148634e-16,1.807214710064161e-15,3.4227669354008544e-14,3.88219403545628e-11,4.80132006966886e-09
0,1.087,822,294.54,468.884,100564.785,0.204,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",19.303698835849445,20.4,0.6941223974392395,0.02261091238822598,6.72146925065072e-06,5.123832706242845e-07,1.001203449881123e-12,0.28173829138176276,3.6752356052158648e-09,6.28840758390104e-10,4.174001663699542e-10,0.001511303490693099,4.2912124313554267e-07,3.3817410937442298e-09,8.386801205528432e-06,8.510762072733974e-07,6.9652363296864414e-15,1.8455332671537786e-07,1.3850153294191297e-14,2.874890840090388e-16,5.0343023421195795e-15,7.693526183127789e-14,5.997952273381511e-11,1.7312735584340777e-09
0,1.137,752,294.874,470.048,100564.785,0.199,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",18.35654563875096,19.900000000000002,0.6892251489439005,0.031544681927226155,3.0923659209837625e-05,6.437773179150695e-08,1.1692625913629992e-10,0.27889789943455334,3.107174894151366e-09,1.7806746736156468e-10,4.918778730007718e-10,0.00023005221331298675,4.320546818378985e-06,1.7227047504276468e-10,1.68545792933745e-06,1.0213258027060775e-07,8.127048479635345e-14,6.511406987833237e-05,1.8098214484726955e-09,2.539721321050702e-12,1.1731439709670473e-12,3.5318401693172056e-13,1.1606889497691584e-09,1.958845699793997e-10
0,1.187,745,294.874,470.048,100564.785,0.188,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",16.539687963968618,18.8,0.6834997780551201,0.03829435388036984,2.2613115311698217e-05,2.249920691978788e-08,1.0457498059331453e-07,0.27561337536702335,4.162175520342819e-09,6.844909201170002e-11,2.312582363348058e-10,1.492832004732627e-06,5.8238845955213915e-06,1.0949751754479742e-10,1.1701897115390643e-08,9.737728227256697e-10,7.88358298979462e-09,0.0025595310433037264,9.274430829684864e-07,1.7294025215827045e-06,1.3793767918269536e-08,3.2383980769055806e-13,2.0897547403648722e-07,2.2799786697919717e-12
0,1.238,744,294.874,470.048,100564.785,0.189,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",16.879889590817697,18.9,0.6772963000555752,0.04366979192996972,1.2933519413134602e-05,1.726088862981804e-08,3.4877608774309435e-08,0.2721994374382413,9.394994431748696e-10,3.785406300776838e-11,1.6523383944585594e-10,4.40471961669368e-07,3.4879516462028932e-06,1.828958132031754e-11,4.208163219441683e-09,2.476866646916948e-10,2.3027058158675708e-08,0.006811668477269756,2.933964524150326e-06,2.4133736213348994e-06,3.123757385440846e-08,2.5719448815295494e-13,4.807947136023743e-07,2.9504827237736265e-12
0,1.371,714,295.88,479.76,100564.785,0.136,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",8.846288290793382,13.600000000000001,0.661354702150225,0.05354856172217325,5.547222713658584e-06,4.051145100694572e-08,4.198075252549508e-09,0.26471086676203026,1.261564265417006e-10,1.4141966405204066e-11,3.15639912298119e-10,1.2723127894086955e-07,1.1130607678816009e-06,1.5973509375764688e-12,1.2448933692268903e-09,3.6245408043118156e-11,5.401473578326169e-08,0.02036973826670025,6.9600332872761645e-06,1.4370617443228768e-06,4.0831053785198686e-08,1.8731794607730886e-13,8.051774974484516e-07,1.7404604387452902e-11
0,1.378,739,295.93,480.325,100564.785,0.188,decomposed_0.2,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",17.455879454534852,18.8,0.6600797818927043,0.05320168662793336,5.536735321724614e-06,8.246673514727672e-07,4.6831334741115936e-09,0.2637435343853373,4.865767597433709e-10,7.430008483149578e-11,6.279803852246594e-09,1.5216348729589556e-07,1.3679522754918194e-06,7.72263695555322e-12,1.565099100375415e-09,4.007200072562943e-11,7.181491183011293e-08,0.022956363866544836,8.216014374787243e-06,1.455366440509479e-06,4.581895536178933e-08,2.200607300860046e-13,9.491561679206536e-07,4.012660179909883e-10
