,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO
0,0.937,865,296.083,468.311,100564.785,0.195,0.8,,,0.7070408576355383,-9.414328145580405e-15,-7.89827733427681e-15,1.51767207805877e-09,0.003699002905709272,1.750368760298784e-09,2.9693414716785406e-14,0.00024496331865227916,0.28321469374354763,2.827711350568999e-10,4.0107526419061276e-07,-3.755891338775685e-14,-1.2298113847179906e-12,-5.052324813955908e-15,-8.216388386576783e-15,-3.1613170504904206e-15,-5.6054085745701536e-15,1.0059004921809449e-14,5.383118358060676e-16,-8.207809298873903e-15,-4.140579857519333e-15,-4.170884779953202e-15,-2.978434609169615e-15,-3.13090212362389e-15,-8.098459642073306e-15,-2.780650673213342e-15,-2.280513879934046e-15,-7.256960434964223e-16,-2.6788695932985053e-15,-3.1777248743444016e-15,-9.77010668982781e-15,-6.446505051197674e-15,-4.771481783867499e-15,-7.642367991475221e-15,-4.063434312886418e-15,-8.478617131139909e-15,-2.4544827605001452e-15,-1.8760525280598413e-15,-2.3831443711911085e-15,-4.2035233146003926e-15,-2.3453595629897576e-15,-3.3508004193210687e-15,-2.524004833224223e-15,-2.9520037786710474e-15,-2.2523300541130814e-15,1.0419338474891804e-14,-2.4188998685767868e-15,-2.6488379885941318e-15,-3.337348017828357e-15,-1.5918701822410262e-15,-1.2859704883031349e-14,-1.5105596015611787e-15,-3.487730575496465e-15,-5.323026779219791e-15,-9.627736546444247e-16,-1.1661910538896845e-15,-7.860227789500524e-15,-9.142796100152706e-16,-2.380769727920216e-15,-5.688067513588563e-15,0.005648431171742096,2.2178773342021792e-05,2.5220450350017113e-07,1.1140629291753416e-11,9.704383918099023e-07,1.408110567023829e-13,-8.192006475530869e-15,-3.779535310953635e-15,-6.127592275991814e-15,-2.6919638940581314e-15,-3.2808952885548614e-15,-2.1968438843447032e-15,-3.2465552531106313e-15,0.00012814203695533724,1.1824439663735148e-14,2.619555348219898e-12,1.6066863886588286e-11,-7.356164327560882e-15,1.0311703951965559e-07,-4.886993029285244e-15,1.4237215491763997e-15,-1.8774611241263556e-15,-2.9245786523845073e-15,-4.101237356786673e-15,-2.466015234786538e-15,-1.1644238716166677e-15,-2.753863069289157e-15,-1.2538392085375371e-15,-6.35987260911162e-15,-3.155968926557586e-15,5.2124352393949555e-15
0,0.988,891,293.511,465.951,100564.785,0.178,0.8,,,0.703382650395061,5.091346669485977e-15,3.816325168980184e-15,1.2768742651629248e-06,3.6131971991195454e-05,1.112904027910333e-08,9.86191339982644e-14,0.004717732684573507,0.2868501290259845,2.5518059005637017e-09,8.422411805531866e-09,3.359667776887278e-14,8.286781570985942e-13,1.4385062322305465e-15,2.207047705076429e-15,-2.0903319284251825e-17,-3.704915921980057e-16,-2.803638595571703e-15,5.915775386632283e-18,2.206104587622239e-15,-5.912595821463155e-16,6.461627331940424e-16,5.938620790380266e-16,2.803080655885042e-15,2.183553505501173e-15,3.0291425677651195e-16,8.49820814812834e-16,5.277505558009701e-16,2.122489639703411e-15,2.779010301195234e-16,5.1931539752352475e-15,1.8108363849270476e-15,5.124959247854481e-16,2.086354817618941e-15,5.975812537136104e-16,2.933788802037671e-16,4.424067661184955e-16,7.0664361916425435e-16,3.263753190319097e-16,-7.8298973078376e-17,4.76249178131031e-16,1.1041819075656697e-15,3.956801915450938e-16,3.944072267993298e-16,6.022920760858587e-16,6.319240599766901e-16,4.884458343406078e-16,6.429069716105478e-16,4.047037812360664e-16,7.399542837766524e-16,5.866568770633298e-16,2.2104073051405983e-16,-6.200062939618209e-16,6.415517076234801e-16,4.945853044240865e-16,-9.629594272280243e-16,1.146547625374043e-15,-9.287953680457366e-16,3.8041300869340766e-16,1.6408492857439632e-15,0.004978307302025456,2.408602615719082e-07,1.3106078285346303e-06,3.741897843942996e-09,1.3309326459629975e-05,1.7296532775176169e-15,1.492064059661514e-14,9.166144865381244e-16,3.919194713729867e-15,6.102023707226579e-16,1.9678498400951775e-15,4.723211528910092e-16,4.415602140008676e-16,1.8777392908384996e-05,1.019302371331253e-14,6.302588397919787e-14,4.632473729951298e-13,2.0197013739209596e-15,1.0771192145594829e-07,8.023178493953056e-16,-2.660437709810405e-15,4.019092493476009e-16,3.7842299003141757e-16,2.6183231904031746e-16,3.9591237292213527e-16,-4.330654408319928e-16,3.995863406846954e-16,2.9690875604089442e-16,2.5235678839001714e-16,5.053098511036189e-16,-3.44555747947045e-15
0,1.038,952,294.153,468.958,100564.785,0.204,0.8,,,0.6983456585972367,-1.8416339285939064e-14,-1.8254056581102095e-14,2.7722134876031266e-06,1.826765260978437e-06,1.7093244970928796e-09,2.523230042871477e-14,0.014175993543056141,0.28383652246535107,3.7301713032256544e-10,1.0464871452791327e-09,-4.6036612440188e-13,-1.9819511008080774e-12,3.0231542066609096e-16,2.726516668231215e-16,-6.456796434307236e-16,4.014597217144358e-15,-2.28776793338781e-15,2.082276663729137e-16,2.7268233782980904e-16,-1.0176418076499352e-15,-1.110244377949149e-16,-6.153967182211674e-17,4.657451622324994e-16,2.750338131422243e-16,-3.1439164173867336e-16,2.72395499050611e-16,-4.0015819037594173e-16,2.7829216062303913e-16,-2.987016809622209e-16,-1.8292053495046433e-14,3.1311976755285806e-16,-7.237541283397634e-17,2.87113527450082e-16,-7.924043891846493e-17,-3.014331831446926e-16,-3.5365401789471326e-16,1.4161805275001394e-16,-4.865846628698109e-16,-4.357829433540391e-16,-1.142959425695272e-16,3.2172239079899347e-16,-3.7726124512799753e-16,-2.669852097386738e-16,3.0605622639214452e-18,-9.20995185813101e-16,-3.8997037226066624e-16,-6.175917359383314e-16,-5.701650250751642e-16,-1.450961167619498e-17,-3.972835001007983e-16,-5.734563859554684e-16,-7.872372075043929e-16,-3.3305630243903787e-16,-3.2293253430309616e-16,-5.322292399537095e-16,7.259016500991227e-17,-6.875712219439897e-16,-3.436860126465832e-16,3.255231956334063e-16,0.003619920441533925,1.3905823824017072e-08,1.2144635351877965e-06,5.4525939100827915e-08,1.1850213381285479e-05,-8.39343932002428e-17,2.9109848402256234e-14,2.2103624890814545e-15,7.110807626507702e-15,-2.1839708991500913e-16,2.8693532410886573e-16,1.5307245716892683e-16,-1.3490769241445144e-16,4.0532670305723205e-06,1.254990578651973e-15,9.854032828563398e-15,3.117841159484438e-14,2.981489265826364e-16,1.1647193890822364e-07,1.8027384991212037e-16,-5.639541509479346e-16,-3.836410708238667e-16,-3.286564705096864e-16,-3.5374517119912144e-16,-2.011081859876376e-16,-6.845851871510443e-16,-3.3575167528886437e-16,-1.7493667175841617e-16,-6.434029844592638e-16,-3.7913679070912814e-16,-3.276022156015492e-15
0,1.087,874,294.54,468.884,100564.785,0.204,0.8,,,0.6936806135915689,5.3147583228533485e-15,4.3165978402052864e-15,6.787264421374459e-06,3.3886667585250046e-07,1.2860659212852674e-09,7.381959215604007e-14,0.023120914015682822,0.281199565094949,2.926563221844876e-10,3.9978779087870616e-10,9.72970378701649e-13,2.597540409813704e-12,6.421820507218574e-16,9.182826243682852e-16,1.0310762023923768e-15,7.177180045607258e-16,1.347660825643535e-15,4.611386845618465e-16,9.176837591785963e-16,1.1652750967630258e-15,8.776262382225735e-16,7.736613438089822e-16,1.6159599172397863e-15,9.057876785521232e-16,6.2192143243999e-16,5.792778427615082e-16,9.313080469120033e-16,9.099384206393657e-16,8.807963550469182e-16,5.495820499603223e-15,6.887164971467784e-16,7.72320830129036e-16,8.500409935760434e-16,7.791034541382853e-16,8.917970172674497e-16,8.975141442853036e-16,6.574320712780369e-16,1.0081397880906372e-15,8.30983246349403e-16,7.977699625902086e-16,6.131147019903225e-16,8.782886537184107e-16,8.440206930098637e-16,7.292485870420271e-16,1.1286310114325649e-15,9.744855191152805e-16,1.2018177868612777e-15,8.602899243255573e-16,9.848547644702392e-16,9.320149747287145e-16,8.958482119985831e-16,6.209357149554398e-16,9.49498036958361e-16,9.440010134286533e-16,7.809429673301674e-16,8.213011447302389e-16,1.0840762665986843e-15,9.13976733062873e-16,8.182276896652655e-16,0.001980683162568572,2.8664211411533315e-09,8.043858421616176e-07,2.1976703955988118e-07,8.345743247615508e-06,8.368156032534868e-16,7.087325119802354e-14,1.2392255512982627e-14,2.37316769172103e-14,1.2044564046694319e-15,8.92261791085415e-16,3.4325697802476827e-15,8.054650688438092e-16,1.5951949985577384e-06,1.3224352343000395e-15,1.980859418838187e-15,7.3398670684224e-15,7.679671749531999e-16,1.2806423245001997e-07,6.424446530123743e-16,3.356566095106306e-15,8.748188363506944e-16,8.857922971423917e-16,8.170320804548245e-16,8.286010837132981e-16,9.063210676224643e-16,8.511688129828673e-16,8.128405217556045e-16,3.651976777590033e-15,8.7941959329123545e-16,1.6712648450126385e-15
0,1.137,794,294.874,470.048,100564.785,0.199,0.8,,,0.6889844082781504,-7.842332438590212e-15,-7.656452422091422e-15,2.8695505666215994e-05,4.770182347313064e-08,1.5258662935689055e-09,1.0518607854677196e-11,0.031921509900170314,0.278612354134794,4.217438662879915e-10,1.3558485698980202e-10,-3.8894293831540166e-13,-7.420036546302719e-13,-5.423662937791201e-16,-3.1449057399166286e-16,-8.084814980066138e-16,4.101143377180469e-15,-2.705789856732647e-15,-5.99622439850844e-16,-3.1483071430132e-16,-1.3254503325361225e-15,-6.414352794464519e-16,-4.3950144614157544e-16,-1.193893743970185e-15,-3.1964047004294763e-16,-3.7072021598583735e-16,-4.176334310398323e-16,-4.775675106654218e-16,-3.152582865061398e-16,-6.209693456915922e-16,-7.802954972587046e-15,-4.233903116756224e-16,-4.795754493244799e-16,-3.451607280746509e-16,-4.717547785425255e-16,-8.079685560076739e-16,-7.705764142902465e-16,-4.510443954316525e-16,-8.642653028394387e-16,-8.363978083133996e-16,-4.920189510173005e-16,-4.206842287393896e-16,-7.749901297398619e-16,-6.552507668399852e-16,-4.484207681053941e-16,-1.2432923480662275e-15,-7.188519297993701e-16,-6.224715627376607e-16,-3.8575604859984117e-16,-6.661783751198666e-16,-4.751417793573497e-16,-7.646763137871729e-16,-1.2826105559250824e-15,-6.939863677509789e-16,-7.819209524204001e-16,-8.634421515390576e-16,-5.236139388489928e-16,-6.759590342224208e-16,-6.630004737265065e-16,7.955861839282814e-14,0.0003763869295337662,2.286533899464009e-10,4.209770491373766e-06,6.987881318620332e-05,2.1255876906232312e-06,2.1342038435756303e-15,2.986021618542831e-13,1.7541553776216057e-10,3.470670074980157e-13,1.3102711624780336e-13,-2.778137845198575e-16,2.7225312203514937e-11,-5.065706412221113e-16,2.4025808891087764e-07,3.117160536849321e-15,-7.101157520731404e-16,1.6433912043743467e-16,-4.114967464314973e-16,1.4059574118969788e-07,-4.3777984835969417e-16,-7.081580214549885e-15,-7.893932207622196e-16,-8.570507785300702e-16,-9.814563637960936e-16,-5.696991593846669e-16,-1.1796041948929903e-15,-7.313555047357789e-16,-5.299348776298043e-16,-8.411953211380383e-15,-7.980598429973157e-16,-1.3121516227720441e-15
0,1.187,715,294.874,470.048,100564.785,0.188,0.8,,,0.6832754595812841,1.3834800909759392e-14,8.065369308722387e-15,2.5412282548800576e-05,1.4870815427267632e-08,2.842769826308059e-09,4.565937421695579e-08,0.0383925516499683,0.27532679394771203,2.1511415990297977e-10,5.120866019293314e-11,3.2974980614023895e-13,5.246782462620521e-13,-2.4378561533146596e-16,1.6837340986090402e-16,-6.985622896358743e-16,-8.278503980201529e-15,-1.839209704096729e-15,-3.5099554055855434e-16,1.6838329957530865e-16,-1.0377681529191571e-15,-2.356093991011854e-16,-8.286901626297563e-18,-3.8969546492781605e-16,1.6860737864123378e-16,-1.0109869632633632e-15,5.832308907203522e-17,-1.020241163931269e-16,1.6943605601261964e-16,-3.039785631774261e-16,1.4562911917349162e-14,-7.87858347437393e-17,-6.550182048725688e-17,1.7281265911009847e-16,-7.470636437999799e-17,-2.680845576667084e-16,-2.900063146437687e-16,-8.7702688687513e-17,-5.471510237600977e-16,-3.125151949226017e-16,-1.0486761085740907e-16,1.276046878609241e-16,-3.5335304671427453e-16,-2.660026411216142e-16,1.3660613258663794e-17,-7.007701829687707e-16,-1.0447691618674479e-16,4.71848536240428e-16,-1.2040847879197605e-16,-4.1075987415191064e-16,-1.0551641969559491e-16,-1.8868986772540962e-16,-5.07174498735916e-16,-1.3648692855533032e-16,-1.8937510059026675e-16,-3.0898112008291913e-16,-2.628625163424545e-16,-2.003252081072182e-16,-4.244245317645121e-16,9.9417346415805e-08,6.10266510672016e-06,2.4111912439680596e-10,7.337157226657854e-06,0.0029643674596052864,3.4698936471204665e-08,5.811926367304051e-12,3.9180428457707694e-13,1.0892584827087587e-06,1.0539710283796037e-08,8.137397376379409e-09,9.762163369302288e-13,5.120230223671871e-07,9.349614696423368e-16,3.6952142347723277e-09,6.688199335027347e-14,-3.0487217526331143e-16,9.039866495161909e-15,2.3199562445001377e-15,1.535978424293256e-07,2.0114822776739717e-17,2.830632724948726e-14,-3.3046647911024306e-16,3.292073673527116e-16,-4.185627745744221e-16,-1.9982968252196713e-16,-8.019379923345869e-16,-3.3578640963754507e-16,-1.5130927192859543e-16,3.854759536151362e-14,-3.228697090032833e-16,-3.246498598007883e-16
0,1.238,661,294.874,470.048,100564.785,0.189,0.8,,,0.6768694838327246,9.39211983730288e-15,6.2586978708478355e-15,1.2617487704353163e-05,3.0559231345264927e-07,1.4582666732628795e-09,6.4700199733694305e-09,0.042239921330546375,0.2720006545740132,3.6898834874538666e-09,4.2907119386027376e-11,-3.7467122830659453e-13,-4.206287401305736e-13,5.547318154617123e-16,2.577183888334568e-16,9.723441073295962e-16,-1.1043835322768283e-14,3.2278247290840063e-15,5.512295365295548e-16,2.5789717651327077e-16,1.3762276195366447e-15,5.705864805309879e-16,3.631767529599169e-16,1.3413532906183137e-15,2.5756827080919683e-16,1.1851312357126626e-15,2.1453611793372082e-16,6.693556151436699e-16,2.575603658870216e-16,5.967792719050819e-16,9.696617646406236e-15,4.0509841206951733e-16,3.926131452801676e-16,2.5057038287681655e-16,3.9583376894349153e-16,6.821000593182038e-16,7.063499749432341e-16,3.4603936556277886e-16,1.0314862403841398e-15,7.962976606963435e-16,4.265331330701161e-16,1.8850898053903318e-16,6.787432212964173e-16,5.764774028462074e-16,3.278085398411168e-16,1.1335953630709471e-15,7.069885425933447e-16,9.319635387545352e-16,6.716328846621791e-16,5.522712736071003e-16,6.722710457149517e-16,6.952462690948142e-16,1.183459950026097e-15,7.378191127392616e-16,7.083989042062366e-16,8.96469562181614e-16,4.661484394523459e-16,7.54177716224143e-16,7.072539511102238e-16,5.226714516432684e-08,1.779181701881203e-06,3.618441423062128e-11,2.826520669337447e-06,0.008867422038617076,9.170444402042934e-09,2.978786253660467e-10,2.389152490079439e-13,2.0673077601036407e-06,1.2845320874989216e-08,3.861852786079778e-08,4.86517678548971e-12,2.6284809225353574e-06,1.2937046250261823e-14,7.729071570880604e-10,2.4299831122328828e-12,6.320196173496363e-16,1.334353646235392e-13,5.218740018977993e-16,1.6797690794465286e-07,2.517169193573937e-16,-1.47204908334861e-13,6.614665664500855e-16,-2.0980068277084874e-15,7.531569522848865e-16,5.093919862607948e-16,1.195140281626719e-15,7.123704903546893e-16,4.675905409533003e-16,-1.5418995267095067e-13,7.015409651129206e-16,6.933013667876842e-16
0,1.279,723,295.473,471.171,100564.785,0.187,0.8,,,0.6716697471888682,-3.735258829196757e-15,-3.756283039171716e-15,8.571510444595803e-06,2.49059043564563e-06,3.126451900892859e-09,1.5966640143303393e-09,0.0443298288507448,0.2694405829802212,2.53980085214119e-08,1.9416999521449886e-10,-5.901799204177914e-14,-5.0071149700350184e-14,-4.547000354041264e-16,-7.853463386652257e-16,-1.1362362328387723e-16,-1.7669820345286037e-14,1.9589235755125452e-16,-2.348011701277914e-16,-7.850710630571802e-16,-4.626652407976617e-18,-4.370462669138647e-16,-4.468607776268413e-16,-8.181775130613849e-16,-7.842173188973156e-16,5.461080990659778e-16,-6.354832399784797e-16,-4.1407388859714137e-16,-7.838550062476899e-16,-4.1389968852066397e-16,-3.6167673301837015e-15,-4.627025426598716e-16,-4.740043150103297e-16,-7.771480436460381e-16,-4.628725238195912e-16,-4.260605680134638e-16,-4.2304641945247294e-16,-4.875959688413969e-16,3.8811977063371884e-17,-4.3188574944170093e-16,-4.563662431725072e-16,-7.089655676573227e-16,-4.232682823919474e-16,-4.4185430905355622e-16,-5.053662678612698e-16,-3.0050930118591847e-16,-2.720138821900187e-16,-1.7735198760919065e-16,-1.5305984667456826e-16,-3.508750030506687e-16,-4.079590029258566e-16,-2.707148319505002e-16,-7.736389816979067e-16,-3.8678886681663546e-16,-4.071045294006528e-16,-3.922773997532279e-16,-4.1270193811163396e-16,1.3327179805427173e-16,-3.8991524342388086e-16,2.491037398084998e-08,9.919114143565101e-07,9.216954976659734e-11,1.73197505464058e-06,0.01453869241119655,4.701059502335785e-09,3.5585213082040594e-09,1.8649671561199085e-13,2.4916320929280207e-06,9.905538508258084e-09,5.7806009471738405e-08,9.565950659161464e-12,4.558960302563205e-06,3.8634016155475363e-14,4.183398172107083e-10,2.605913397064789e-11,-3.9717725757150455e-16,4.1518753186933983e-13,-3.6853277166310993e-16,1.8024587153712153e-07,-6.054681254757943e-16,-3.0539973930621873e-14,-4.246077232246566e-16,-9.110082017449764e-16,-5.133386343377682e-16,-4.463701124765763e-16,-1.876295202838485e-16,-3.577199570266421e-16,-4.490131347595955e-16,-2.7398628919599908e-14,-4.1318110930245545e-16,-4.1407865910725564e-16
