,phi,grid,T_in,T,P,vel,blend,NO,NH3,H2,O2,H,O,OH,HO2,H2O,H2O2,NH2,NH,N,NNH,NH2OH,H2NO,HNOH,HNO,HON,NO2,HONO,HNO2,NO3,HONO2,N2O,N2H4,N2H3,N2H2,H2NN,AR,HE,N2,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.850386362,1033,296.5362425,510.9972082,101058.076,0.173215634,0.1,0.004330462608002748,1.4561036524718565e-12,3.9052394189755935e-05,0.016988904440967772,3.41687343449473e-14,5.440092047938415e-12,3.611647789623748e-11,8.17250113527094e-14,0.26752629979203885,1.924539561666417e-07,-3.924572225733687e-17,-2.5278081163451277e-17,-3.1848874086480504e-17,1.1964974771611495e-18,3.7362642191488803e-16,3.826328447508388e-14,2.715200886976566e-16,7.531756934465181e-09,2.720662303299567e-07,0.00014012346597873845,2.98973999437895e-05,5.649304152968573e-09,1.0628143663143216e-15,7.586421227004592e-07,3.041607751798041e-07,-2.097585300291778e-17,-2.1005346354390378e-17,-2.873461625508185e-17,-2.9831168827537855e-17,2.265477090327937e-15,1.4911493640715228e-15,0.7109437193515608,0.9,0.1,0.21,0.79
0,0.949139785,984,296.7,570.8110924,101058.076,0.211743555,0.1,0.003777934309639495,1.8530138602364637e-09,0.0013501354916314692,0.000886899657586585,9.307690347743056e-07,6.869538558119203e-09,3.1607315254897624e-07,3.886382922919128e-08,0.28970882598759046,1.4480666134865954e-07,6.619657437968402e-12,-2.4544264996718936e-15,-1.4203982175189835e-14,2.0797904143092845e-14,3.2591135721506123e-12,2.6377782607770597e-09,2.0908163926562167e-10,4.578220843545851e-06,2.3350831678039108e-07,5.348862491160828e-06,5.6974389002575656e-05,1.0431304086651274e-08,4.294411961669238e-14,1.715492209828164e-07,1.2874453666697894e-06,-2.649818156048545e-14,-2.441899605973823e-14,-1.4185731671320366e-14,-2.154057387243315e-14,-3.741259591856031e-14,-4.552314813823135e-14,0.7042061580551596,0.9,0.1,0.21,0.79
0,1.000324969,944,297.3100962,585.6070246,101058.076,0.222146603,0.1,0.002846792353817528,4.764727370552214e-08,0.009053869078107091,1.4040213175184493e-05,7.210193551000435e-06,5.170796667242599e-10,3.3553473945872644e-08,5.698685436804039e-09,0.28880906461740685,4.099235225311227e-09,3.86116744587694e-11,1.9660439960900131e-13,-1.5877405414366537e-15,3.067034759318154e-13,2.7565827827149172e-12,2.877104309671254e-09,3.3462897448532703e-10,5.185523911123303e-06,2.2132992822537764e-07,6.948197653118621e-08,6.588196069558888e-06,1.3004295395735537e-09,5.876687956798652e-17,2.3950339591460536e-10,1.66732587945003e-06,-5.013561139546438e-15,4.044137943174531e-13,1.2665996824313233e-15,-6.602370392413859e-15,-1.3074649577236422e-14,-7.266107249013954e-15,0.6992551953765195,0.9,0.1,0.21,0.79
0,1.051014449,970,296.8,595.4044369,101058.076,0.234586865,0.1,0.0014882849834459936,1.488888697635617e-07,0.018739349582520864,1.2417057604765584e-06,1.9208258345999307e-05,2.988397697407276e-10,1.5350893929945226e-08,2.0450222345403756e-09,0.2859482768333456,9.181390628832657e-10,3.3915389051986245e-11,7.352849411377062e-13,4.6782895925057185e-14,8.768421609732749e-13,2.7894846520614853e-12,1.396623048483304e-09,1.9735555447546686e-10,2.8933964623595513e-06,2.2306700533773587e-07,5.396240021778898e-09,1.8474333701057235e-06,3.7436420868261145e-10,-9.088252528745806e-16,1.8800503001114117e-11,9.073099992871402e-07,5.779434325146669e-16,1.1382964879929735e-12,-8.5098917599667e-16,2.618574074987209e-16,9.608291289446085e-16,6.954563909898852e-16,0.6937975925050929,0.9,0.1,0.21,0.79
0,1.098083066,873,295.4169142,587.3681793,101058.076,0.233455974,0.1,0.0002850716130466882,2.6650202825155638e-05,0.02733088810864475,1.4331635635767237e-07,4.942952100427462e-05,6.559670460659748e-10,1.5802865466838995e-08,8.953963700419198e-10,0.2831872941060036,2.83237028436956e-10,1.414894493360544e-11,1.5909288615870906e-12,1.8307615024742267e-12,2.0781351524759013e-12,2.407184722809533e-10,3.049543439809991e-10,4.310571081187472e-11,6.208642086760646e-07,2.3120532668309488e-07,2.2577116365439757e-10,2.573533974045832e-07,5.2019869585219194e-11,-7.614512603440824e-16,1.9845649531032176e-12,2.5345650331084278e-06,4.180987802039585e-12,4.492960586602452e-10,2.106062040564686e-14,6.307632195540785e-14,-2.3634214049001245e-15,-2.1480065250027226e-15,0.6891168601649287,0.9,0.1,0.21,0.79
